,retweet_count,reply_count,like_count,quote_count,name
0,239.0,129.0,2780.0,44.0,IAmAlanWalker
1,150.0,36.0,1066.0,21.0,IAmAlanWalker
2,72.0,32.0,607.0,4.0,IAmAlanWalker
3,131.0,48.0,1912.0,11.0,IAmAlanWalker
4,163.0,44.0,1575.0,11.0,IAmAlanWalker
5,91.0,34.0,806.0,5.0,IAmAlanWalker
6,160.0,44.0,1945.0,5.0,IAmAlanWalker
7,63.0,0.0,0.0,0.0,IAmAlanWalker
8,110.0,0.0,0.0,0.0,IAmAlanWalker
9,122.0,43.0,1085.0,20.0,IAmAlanWalker
10,89.0,25.0,743.0,3.0,IAmAlanWalker
11,82.0,27.0,728.0,3.0,IAmAlanWalker
12,118.0,33.0,890.0,6.0,IAmAlanWalker
13,338.0,0.0,0.0,0.0,IAmAlanWalker
14,96.0,30.0,765.0,2.0,IAmAlanWalker
15,212.0,61.0,1453.0,22.0,IAmAlanWalker
16,54.0,18.0,753.0,2.0,IAmAlanWalker
17,99.0,51.0,1583.0,9.0,IAmAlanWalker
18,197.0,66.0,3419.0,11.0,IAmAlanWalker
19,40.0,0.0,0.0,0.0,IAmAlanWalker
20,138.0,47.0,1346.0,27.0,IAmAlanWalker
21,172.0,65.0,1261.0,16.0,IAmAlanWalker
22,162.0,46.0,1228.0,24.0,IAmAlanWalker
23,48.0,0.0,0.0,0.0,IAmAlanWalker
24,59.0,19.0,823.0,2.0,IAmAlanWalker
25,70.0,25.0,1224.0,1.0,IAmAlanWalker
26,608.0,236.0,7484.0,55.0,IAmAlanWalker
27,212.0,55.0,1248.0,24.0,IAmAlanWalker
28,172.0,49.0,1762.0,8.0,IAmAlanWalker
29,95.0,31.0,842.0,10.0,IAmAlanWalker
30,90.0,58.0,854.0,11.0,IAmAlanWalker
31,68.0,34.0,733.0,0.0,IAmAlanWalker
32,220.0,536.0,1290.0,29.0,IAmAlanWalker
33,136.0,77.0,1256.0,10.0,IAmAlanWalker
34,13.0,4.0,192.0,1.0,IAmAlanWalker
35,2.0,3.0,347.0,0.0,IAmAlanWalker
36,1.0,3.0,131.0,1.0,IAmAlanWalker
37,0.0,4.0,90.0,0.0,IAmAlanWalker
38,149.0,156.0,1869.0,22.0,IAmAlanWalker
39,3.0,5.0,302.0,0.0,IAmAlanWalker
40,72.0,41.0,1829.0,16.0,IAmAlanWalker
41,90.0,68.0,1056.0,6.0,IAmAlanWalker
42,196.0,0.0,0.0,0.0,IAmAlanWalker
43,238.0,0.0,0.0,0.0,IAmAlanWalker
44,28.0,0.0,0.0,0.0,IAmAlanWalker
45,383.0,93.0,3943.0,12.0,IAmAlanWalker
46,189.0,78.0,1546.0,6.0,IAmAlanWalker
47,6027.0,526.0,18236.0,544.0,IAmAlanWalker
48,114.0,50.0,1460.0,2.0,IAmAlanWalker
49,101.0,29.0,1494.0,5.0,IAmAlanWalker
