,retweet_count,reply_count,like_count,quote_count,name
0,160.0,32.0,2707.0,10.0,edsheeran
1,122.0,15.0,2069.0,5.0,edsheeran
2,117.0,35.0,1994.0,8.0,edsheeran
3,226.0,81.0,3105.0,31.0,edsheeran
4,117.0,16.0,1666.0,10.0,edsheeran
5,185.0,57.0,2864.0,16.0,edsheeran
6,138.0,43.0,2105.0,12.0,edsheeran
7,102.0,17.0,1498.0,4.0,edsheeran
8,1975.0,126.0,13175.0,619.0,edsheeran
9,281.0,74.0,5258.0,34.0,edsheeran
10,120.0,33.0,1518.0,7.0,edsheeran
11,221.0,38.0,3756.0,19.0,edsheeran
12,156.0,231.0,2778.0,54.0,edsheeran
13,101.0,27.0,1533.0,9.0,edsheeran
14,160.0,42.0,2093.0,25.0,edsheeran
15,759.0,212.0,3830.0,124.0,edsheeran
16,1373.0,145.0,12178.0,196.0,edsheeran
17,220.0,59.0,3155.0,41.0,edsheeran
18,169.0,52.0,2264.0,13.0,edsheeran
19,195.0,0.0,0.0,0.0,edsheeran
20,275.0,23.0,3920.0,4.0,edsheeran
21,915.0,57.0,10655.0,89.0,edsheeran
22,132.0,21.0,1978.0,17.0,edsheeran
23,189.0,58.0,2326.0,26.0,edsheeran
24,286.0,44.0,4484.0,37.0,edsheeran
25,630.0,124.0,5639.0,77.0,edsheeran
26,190.0,30.0,2137.0,13.0,edsheeran
27,1279.0,418.0,9947.0,447.0,edsheeran
28,687.0,199.0,4823.0,351.0,edsheeran
29,159.0,21.0,1291.0,12.0,edsheeran
30,407.0,34.0,5893.0,38.0,edsheeran
31,172.0,15.0,1382.0,41.0,edsheeran
32,122.0,12.0,1069.0,7.0,edsheeran
33,321.0,47.0,4819.0,53.0,edsheeran
34,80.0,19.0,1381.0,1.0,edsheeran
35,117.0,10.0,1074.0,9.0,edsheeran
36,314.0,59.0,3886.0,61.0,edsheeran
37,186.0,55.0,1858.0,84.0,edsheeran
38,166.0,19.0,2049.0,10.0,edsheeran
39,462.0,46.0,2919.0,220.0,edsheeran
40,113.0,20.0,1715.0,4.0,edsheeran
41,62.0,16.0,1017.0,2.0,edsheeran
42,146.0,24.0,1385.0,9.0,edsheeran
43,254.0,79.0,2839.0,54.0,edsheeran
44,117.0,9.0,2356.0,4.0,edsheeran
45,113.0,7.0,1921.0,5.0,edsheeran
46,106.0,48.0,1485.0,8.0,edsheeran
47,284.0,36.0,2816.0,52.0,edsheeran
48,122.0,20.0,1010.0,16.0,edsheeran
49,225.0,43.0,3453.0,27.0,edsheeran
