,retweet_count,reply_count,like_count,quote_count,name
0,5363.0,5288.0,56134.0,717.0,justinbieber
1,2588.0,0.0,0.0,0.0,justinbieber
2,6839.0,2965.0,38529.0,3299.0,justinbieber
3,9862.0,0.0,0.0,0.0,justinbieber
4,1191.0,0.0,0.0,0.0,justinbieber
5,4450.0,3543.0,29831.0,790.0,justinbieber
6,2110.0,0.0,0.0,0.0,justinbieber
7,1541.0,0.0,0.0,0.0,justinbieber
8,6860.0,1875.0,57707.0,631.0,justinbieber
9,2077.0,466.0,15610.0,34.0,justinbieber
10,3876.0,727.0,28926.0,75.0,justinbieber
11,2269.0,302.0,15779.0,45.0,justinbieber
12,4771.0,643.0,32704.0,288.0,justinbieber
13,5032.0,502.0,36782.0,582.0,justinbieber
14,16993.0,1879.0,130779.0,2477.0,justinbieber
15,2004.0,0.0,0.0,0.0,justinbieber
16,7093.0,0.0,0.0,0.0,justinbieber
17,34468.0,0.0,0.0,0.0,justinbieber
18,6247.0,789.0,72763.0,150.0,justinbieber
19,3869.0,709.0,49263.0,244.0,justinbieber
20,2905.0,700.0,25281.0,188.0,justinbieber
21,5792.0,1222.0,39644.0,285.0,justinbieber
22,4191.0,673.0,20488.0,95.0,justinbieber
23,3530.0,433.0,17779.0,266.0,justinbieber
24,5255.0,1155.0,31008.0,502.0,justinbieber
25,8152.0,1863.0,62444.0,758.0,justinbieber
26,4430.0,604.0,44145.0,76.0,justinbieber
27,1772.0,617.0,18040.0,125.0,justinbieber
28,8281.0,1703.0,82530.0,3693.0,justinbieber
29,1577.0,450.0,14770.0,127.0,justinbieber
30,4016.0,719.0,31016.0,224.0,justinbieber
31,4448.0,681.0,37763.0,126.0,justinbieber
32,9337.0,1134.0,79841.0,703.0,justinbieber
33,5873.0,595.0,42882.0,1061.0,justinbieber
34,5913.0,272.0,43464.0,578.0,justinbieber
35,18527.0,1938.0,127016.0,4846.0,justinbieber
36,7973.0,2037.0,40045.0,1768.0,justinbieber
37,2683.0,325.0,25086.0,104.0,justinbieber
38,2746.0,265.0,25696.0,107.0,justinbieber
39,6951.0,1475.0,63416.0,599.0,justinbieber
40,3106.0,684.0,21202.0,95.0,justinbieber
41,983.0,202.0,9243.0,20.0,justinbieber
42,1854.0,531.0,18351.0,109.0,justinbieber
43,2914.0,711.0,14674.0,89.0,justinbieber
44,2623.0,1192.0,14131.0,184.0,justinbieber
45,1433.0,216.0,10324.0,13.0,justinbieber
46,3052.0,539.0,22479.0,126.0,justinbieber
47,1963.0,333.0,14630.0,55.0,justinbieber
48,3639.0,722.0,29379.0,130.0,justinbieber
49,3135.0,637.0,19713.0,202.0,justinbieber
