,retweet_count,reply_count,like_count,quote_count,name
0,318.0,188.0,2941.0,79.0,katyperry
1,167.0,0.0,0.0,0.0,katyperry
2,1449.0,516.0,12226.0,101.0,katyperry
3,860.0,327.0,7845.0,62.0,katyperry
4,461.0,179.0,3184.0,31.0,katyperry
5,1958.0,708.0,14837.0,376.0,katyperry
6,498.0,3797.0,7951.0,2667.0,katyperry
7,293.0,160.0,3319.0,15.0,katyperry
8,323.0,136.0,3488.0,19.0,katyperry
9,552.0,142.0,4159.0,90.0,katyperry
10,711.0,333.0,4816.0,270.0,katyperry
11,436.0,169.0,4717.0,173.0,katyperry
12,752.0,384.0,5723.0,286.0,katyperry
13,517.0,272.0,5225.0,56.0,katyperry
14,625.0,251.0,4710.0,45.0,katyperry
15,670.0,231.0,8814.0,50.0,katyperry
16,945.0,277.0,7534.0,92.0,katyperry
17,953.0,287.0,10110.0,42.0,katyperry
18,1108.0,415.0,7568.0,177.0,katyperry
19,562.0,235.0,6328.0,37.0,katyperry
20,238.0,216.0,2865.0,44.0,katyperry
21,574.0,188.0,5830.0,12.0,katyperry
22,358.0,120.0,3433.0,6.0,katyperry
23,1915.0,442.0,9909.0,474.0,katyperry
24,383.0,151.0,4389.0,59.0,katyperry
25,971.0,238.0,6241.0,112.0,katyperry
26,1391.0,248.0,13722.0,119.0,katyperry
27,720.0,137.0,8610.0,48.0,katyperry
28,2470.0,634.0,27410.0,452.0,katyperry
29,971.0,295.0,8584.0,101.0,katyperry
30,2217.0,611.0,16790.0,345.0,katyperry
31,561.0,194.0,5811.0,44.0,katyperry
32,781.0,250.0,9739.0,42.0,katyperry
33,3259.0,1053.0,32789.0,976.0,katyperry
34,458.0,178.0,4249.0,9.0,katyperry
35,656.0,232.0,6956.0,52.0,katyperry
36,692.0,0.0,0.0,0.0,katyperry
37,8126.0,1533.0,66347.0,1423.0,katyperry
38,1824.0,754.0,22189.0,381.0,katyperry
39,235.0,72.0,2456.0,18.0,katyperry
40,857.0,200.0,7140.0,148.0,katyperry
41,580.0,126.0,4388.0,29.0,katyperry
42,314.0,79.0,3356.0,17.0,katyperry
43,467.0,361.0,7690.0,39.0,katyperry
44,243.0,86.0,2380.0,5.0,katyperry
45,2063.0,467.0,22131.0,293.0,katyperry
46,693.0,352.0,7508.0,37.0,katyperry
47,140.0,0.0,0.0,0.0,katyperry
48,917.0,520.0,7514.0,88.0,katyperry
49,414.0,218.0,4536.0,44.0,katyperry
