,retweet_count,reply_count,like_count,quote_count,name
0,56.0,20.0,594.0,4.0,maroon5
1,46.0,35.0,471.0,3.0,maroon5
2,129.0,173.0,917.0,27.0,maroon5
3,46.0,25.0,482.0,8.0,maroon5
4,50.0,14.0,408.0,6.0,maroon5
5,47.0,46.0,593.0,8.0,maroon5
6,40.0,10.0,392.0,4.0,maroon5
7,96.0,51.0,657.0,53.0,maroon5
8,44.0,22.0,456.0,6.0,maroon5
9,67.0,33.0,735.0,19.0,maroon5
10,41.0,0.0,0.0,0.0,maroon5
11,36.0,0.0,0.0,0.0,maroon5
12,43.0,13.0,406.0,4.0,maroon5
13,113.0,158.0,1147.0,41.0,maroon5
14,220.0,52.0,2161.0,38.0,maroon5
15,57.0,19.0,613.0,9.0,maroon5
16,97.0,99.0,623.0,7.0,maroon5
17,128.0,0.0,0.0,0.0,maroon5
18,111.0,50.0,1320.0,8.0,maroon5
19,228.0,0.0,0.0,0.0,maroon5
20,208.0,0.0,0.0,0.0,maroon5
21,126.0,51.0,825.0,50.0,maroon5
22,113.0,25.0,880.0,32.0,maroon5
23,156.0,103.0,1137.0,155.0,maroon5
24,433.0,136.0,4161.0,69.0,maroon5
25,97.0,52.0,898.0,33.0,maroon5
26,86.0,0.0,0.0,0.0,maroon5
27,200.0,42.0,2364.0,13.0,maroon5
28,118.0,38.0,1168.0,12.0,maroon5
29,101.0,18.0,719.0,6.0,maroon5
30,116.0,50.0,857.0,45.0,maroon5
31,89.0,24.0,689.0,7.0,maroon5
32,89.0,27.0,674.0,5.0,maroon5
33,89.0,21.0,892.0,5.0,maroon5
34,607.0,407.0,3614.0,1007.0,maroon5
35,122.0,35.0,953.0,12.0,maroon5
36,380.0,0.0,0.0,0.0,maroon5
37,10.0,15.0,56.0,3.0,maroon5
38,6.0,9.0,46.0,12.0,maroon5
39,26.0,0.0,0.0,0.0,maroon5
40,75.0,21.0,734.0,3.0,maroon5
41,84.0,19.0,802.0,1.0,maroon5
42,4.0,0.0,10.0,0.0,maroon5
43,126.0,24.0,1168.0,5.0,maroon5
44,91.0,36.0,951.0,5.0,maroon5
45,5.0,3.0,21.0,2.0,maroon5
46,2.0,0.0,6.0,0.0,maroon5
47,3.0,1.0,13.0,0.0,maroon5
48,267.0,179.0,2447.0,113.0,maroon5
49,35.0,5.0,418.0,1.0,maroon5
