,retweet_count,reply_count,like_count,quote_count,name
0,135.0,36.0,1578.0,9.0,marshmello
1,64.0,0.0,0.0,0.0,marshmello
2,54.0,7.0,311.0,1.0,marshmello
3,347.0,68.0,2044.0,44.0,marshmello
4,132.0,52.0,1639.0,6.0,marshmello
5,57.0,24.0,578.0,2.0,marshmello
6,23.0,6.0,228.0,0.0,marshmello
7,239.0,47.0,1792.0,37.0,marshmello
8,287.0,141.0,3342.0,17.0,marshmello
9,32.0,6.0,249.0,0.0,marshmello
10,272.0,45.0,2072.0,47.0,marshmello
11,109.0,41.0,1023.0,10.0,marshmello
12,215.0,68.0,1473.0,27.0,marshmello
13,206.0,380.0,3744.0,18.0,marshmello
14,360.0,217.0,5005.0,87.0,marshmello
15,328.0,152.0,3602.0,66.0,marshmello
16,1111.0,196.0,9819.0,140.0,marshmello
17,312.0,81.0,4839.0,17.0,marshmello
18,301.0,82.0,1769.0,77.0,marshmello
19,136.0,55.0,1343.0,29.0,marshmello
20,40.0,10.0,275.0,3.0,marshmello
21,683.0,78.0,3708.0,465.0,marshmello
22,3.0,4.0,33.0,0.0,marshmello
23,6.0,3.0,63.0,0.0,marshmello
24,71.0,0.0,0.0,0.0,marshmello
25,569.0,283.0,7859.0,71.0,marshmello
26,183.0,0.0,0.0,0.0,marshmello
27,34.0,0.0,0.0,0.0,marshmello
28,71.0,67.0,706.0,3.0,marshmello
29,8.0,3.0,101.0,0.0,marshmello
30,107.0,69.0,1201.0,22.0,marshmello
31,89.0,0.0,0.0,0.0,marshmello
32,13.0,24.0,477.0,2.0,marshmello
33,5.0,2.0,66.0,0.0,marshmello
34,77.0,99.0,1734.0,1.0,marshmello
35,4124.0,571.0,32652.0,1807.0,marshmello
36,315.0,108.0,2949.0,39.0,marshmello
37,1187.0,293.0,14605.0,193.0,marshmello
38,8.0,3.0,64.0,0.0,marshmello
39,22.0,16.0,203.0,2.0,marshmello
40,122.0,32.0,1030.0,9.0,marshmello
41,42.0,0.0,0.0,0.0,marshmello
42,27.0,2.0,184.0,0.0,marshmello
43,92.0,17.0,775.0,8.0,marshmello
44,191.0,48.0,2625.0,21.0,marshmello
45,296.0,93.0,1865.0,51.0,marshmello
46,40.0,0.0,0.0,0.0,marshmello
47,19.0,6.0,192.0,0.0,marshmello
48,106.0,35.0,1055.0,6.0,marshmello
49,135.0,35.0,1287.0,8.0,marshmello
