,retweet_count,reply_count,like_count,quote_count,name
0,95.0,45.0,1096.0,2.0,shakira
1,73.0,35.0,892.0,1.0,shakira
2,82.0,27.0,891.0,6.0,shakira
3,447.0,134.0,3759.0,97.0,shakira
4,318.0,129.0,3781.0,17.0,shakira
5,1598.0,706.0,29332.0,168.0,shakira
6,459.0,216.0,6739.0,54.0,shakira
7,1133.0,0.0,0.0,0.0,shakira
8,281.0,132.0,3397.0,9.0,shakira
9,6854.0,3486.0,216401.0,1289.0,shakira
10,233.0,133.0,3367.0,9.0,shakira
11,102.0,0.0,0.0,0.0,shakira
12,369.0,230.0,12279.0,17.0,shakira
13,260.0,100.0,3541.0,14.0,shakira
14,704.0,271.0,11282.0,77.0,shakira
15,16429.0,5357.0,511872.0,2262.0,shakira
16,6965.0,2771.0,214543.0,1949.0,shakira
17,820.0,0.0,0.0,0.0,shakira
18,604.0,227.0,10411.0,46.0,shakira
19,876.0,417.0,16691.0,140.0,shakira
20,64.0,0.0,0.0,0.0,shakira
21,51.0,0.0,0.0,0.0,shakira
22,58.0,0.0,0.0,0.0,shakira
23,51.0,0.0,0.0,0.0,shakira
24,51.0,0.0,0.0,0.0,shakira
25,304.0,0.0,0.0,0.0,shakira
26,460.0,111.0,5550.0,34.0,shakira
27,448.0,98.0,4996.0,25.0,shakira
28,2556.0,667.0,48159.0,583.0,shakira
29,777.0,98.0,4558.0,39.0,shakira
30,657.0,183.0,5819.0,59.0,shakira
31,424.0,0.0,0.0,0.0,shakira
32,424.0,0.0,0.0,0.0,shakira
33,340.0,97.0,4111.0,18.0,shakira
34,335.0,63.0,2912.0,6.0,shakira
35,706.0,139.0,7322.0,28.0,shakira
36,946.0,0.0,0.0,0.0,shakira
37,759.0,141.0,11113.0,58.0,shakira
38,251.0,0.0,0.0,0.0,shakira
39,560.0,144.0,7159.0,73.0,shakira
40,629.0,175.0,6341.0,52.0,shakira
41,719.0,192.0,5490.0,68.0,shakira
42,1103.0,389.0,28593.0,116.0,shakira
43,498.0,159.0,5513.0,20.0,shakira
44,1407.0,785.0,42869.0,254.0,shakira
45,398.0,177.0,3651.0,18.0,shakira
46,804.0,233.0,4321.0,186.0,shakira
47,316.0,129.0,3338.0,29.0,shakira
48,527.0,109.0,4207.0,21.0,shakira
49,254.0,0.0,0.0,0.0,shakira
