,retweet_count,reply_count,like_count,quote_count,name
0,38.0,20.0,938.0,5.0,CAVETOWN
1,107.0,0.0,0.0,0.0,CAVETOWN
2,1.0,1.0,188.0,0.0,CAVETOWN
3,646.0,182.0,10961.0,138.0,CAVETOWN
4,81.0,34.0,1565.0,37.0,CAVETOWN
5,128.0,30.0,1295.0,22.0,CAVETOWN
6,47.0,30.0,1233.0,15.0,CAVETOWN
7,85.0,0.0,0.0,0.0,CAVETOWN
8,3.0,6.0,474.0,0.0,CAVETOWN
9,52.0,23.0,1281.0,20.0,CAVETOWN
10,5.0,3.0,314.0,0.0,CAVETOWN
11,76.0,0.0,0.0,0.0,CAVETOWN
12,275.0,84.0,2846.0,102.0,CAVETOWN
13,184.0,136.0,3647.0,46.0,CAVETOWN
14,56.0,24.0,1264.0,1.0,CAVETOWN
15,224.0,65.0,4410.0,6.0,CAVETOWN
16,41.0,45.0,1379.0,16.0,CAVETOWN
17,6.0,4.0,765.0,2.0,CAVETOWN
18,84.0,30.0,1900.0,37.0,CAVETOWN
19,121.0,64.0,2693.0,44.0,CAVETOWN
20,4.0,3.0,138.0,3.0,CAVETOWN
21,24.0,22.0,975.0,4.0,CAVETOWN
22,95.0,45.0,1828.0,84.0,CAVETOWN
23,113.0,63.0,2096.0,85.0,CAVETOWN
24,3.0,1.0,512.0,0.0,CAVETOWN
25,0.0,8.0,137.0,0.0,CAVETOWN
26,8.0,0.0,0.0,0.0,CAVETOWN
27,81.0,69.0,1332.0,28.0,CAVETOWN
28,2.0,4.0,692.0,0.0,CAVETOWN
29,189.0,104.0,2397.0,212.0,CAVETOWN
30,17.0,7.0,918.0,0.0,CAVETOWN
31,210.0,128.0,4839.0,114.0,CAVETOWN
32,210.0,68.0,5289.0,48.0,CAVETOWN
33,233.0,239.0,8132.0,131.0,CAVETOWN
34,145.0,98.0,2967.0,145.0,CAVETOWN
35,7.0,12.0,782.0,0.0,CAVETOWN
36,222.0,0.0,0.0,0.0,CAVETOWN
37,70.0,28.0,1841.0,39.0,CAVETOWN
38,52.0,13.0,1396.0,1.0,CAVETOWN
39,192.0,0.0,0.0,0.0,CAVETOWN
40,152.0,56.0,3225.0,16.0,CAVETOWN
41,3.0,3.0,204.0,1.0,CAVETOWN
42,77.0,31.0,2233.0,6.0,CAVETOWN
43,147.0,52.0,3231.0,8.0,CAVETOWN
44,52.0,27.0,1388.0,14.0,CAVETOWN
45,70.0,0.0,0.0,0.0,CAVETOWN
46,123.0,70.0,2959.0,44.0,CAVETOWN
47,3.0,2.0,172.0,0.0,CAVETOWN
48,0.0,2.0,158.0,0.0,CAVETOWN
49,219.0,105.0,2893.0,23.0,CAVETOWN
