,retweet_count,reply_count,like_count,quote_count,name
0,138.0,154.0,2082.0,52.0,ChaseAtlantic
1,144.0,155.0,1744.0,61.0,ChaseAtlantic
2,127.0,387.0,2367.0,60.0,ChaseAtlantic
3,90.0,87.0,1121.0,10.0,ChaseAtlantic
4,163.0,108.0,1990.0,48.0,ChaseAtlantic
5,100.0,102.0,2012.0,14.0,ChaseAtlantic
6,120.0,71.0,1785.0,53.0,ChaseAtlantic
7,242.0,156.0,2158.0,199.0,ChaseAtlantic
8,176.0,219.0,2326.0,150.0,ChaseAtlantic
9,553.0,308.0,5988.0,318.0,ChaseAtlantic
10,49.0,26.0,1072.0,1.0,ChaseAtlantic
11,130.0,64.0,1978.0,34.0,ChaseAtlantic
12,126.0,47.0,1810.0,18.0,ChaseAtlantic
13,125.0,83.0,2243.0,18.0,ChaseAtlantic
14,166.0,57.0,1554.0,9.0,ChaseAtlantic
15,195.0,61.0,1993.0,4.0,ChaseAtlantic
16,185.0,55.0,1586.0,7.0,ChaseAtlantic
17,419.0,215.0,3028.0,125.0,ChaseAtlantic
18,268.0,0.0,0.0,0.0,ChaseAtlantic
19,919.0,525.0,5672.0,694.0,ChaseAtlantic
20,1516.0,182.0,5916.0,312.0,ChaseAtlantic
21,1900.0,613.0,8497.0,926.0,ChaseAtlantic
22,426.0,310.0,4563.0,168.0,ChaseAtlantic
23,717.0,275.0,5462.0,254.0,ChaseAtlantic
24,318.0,129.0,3336.0,70.0,ChaseAtlantic
25,11.0,17.0,1068.0,0.0,ChaseAtlantic
26,145.0,94.0,2484.0,30.0,ChaseAtlantic
27,671.0,291.0,4789.0,163.0,ChaseAtlantic
28,355.0,261.0,5531.0,163.0,ChaseAtlantic
29,721.0,201.0,5138.0,182.0,ChaseAtlantic
30,222.0,67.0,2779.0,29.0,ChaseAtlantic
31,29.0,0.0,558.0,0.0,ChaseAtlantic
32,37.0,2.0,693.0,0.0,ChaseAtlantic
33,26.0,1.0,234.0,0.0,ChaseAtlantic
34,29.0,1.0,212.0,0.0,ChaseAtlantic
35,34.0,1.0,241.0,0.0,ChaseAtlantic
36,46.0,2.0,328.0,5.0,ChaseAtlantic
37,1203.0,242.0,7253.0,151.0,ChaseAtlantic
38,439.0,162.0,4376.0,116.0,ChaseAtlantic
39,1942.0,581.0,8645.0,824.0,ChaseAtlantic
40,75.0,33.0,1412.0,10.0,ChaseAtlantic
41,169.0,90.0,2759.0,34.0,ChaseAtlantic
42,2189.0,926.0,11356.0,844.0,ChaseAtlantic
43,171.0,52.0,2810.0,10.0,ChaseAtlantic
44,30.0,14.0,996.0,4.0,ChaseAtlantic
45,22.0,8.0,537.0,2.0,ChaseAtlantic
46,228.0,131.0,2222.0,111.0,ChaseAtlantic
47,1340.0,457.0,12386.0,184.0,ChaseAtlantic
48,120.0,71.0,1920.0,14.0,ChaseAtlantic
49,361.0,136.0,3507.0,112.0,ChaseAtlantic
