,retweet_count,reply_count,like_count,quote_count,name
0,318.0,73.0,5846.0,276.0,CigsAfterSexx
1,120.0,87.0,1649.0,167.0,CigsAfterSexx
2,60.0,45.0,873.0,108.0,CigsAfterSexx
3,78.0,47.0,1077.0,219.0,CigsAfterSexx
4,80.0,31.0,768.0,57.0,CigsAfterSexx
5,43.0,31.0,542.0,11.0,CigsAfterSexx
6,169.0,78.0,1862.0,231.0,CigsAfterSexx
7,55.0,13.0,571.0,13.0,CigsAfterSexx
8,75.0,20.0,918.0,30.0,CigsAfterSexx
9,176.0,106.0,2377.0,207.0,CigsAfterSexx
10,192.0,86.0,2932.0,413.0,CigsAfterSexx
11,105.0,32.0,1146.0,69.0,CigsAfterSexx
12,93.0,45.0,1351.0,61.0,CigsAfterSexx
13,155.0,44.0,1623.0,168.0,CigsAfterSexx
14,140.0,35.0,1379.0,121.0,CigsAfterSexx
15,128.0,39.0,1406.0,61.0,CigsAfterSexx
16,189.0,44.0,1752.0,64.0,CigsAfterSexx
17,147.0,43.0,1632.0,86.0,CigsAfterSexx
18,84.0,29.0,1164.0,55.0,CigsAfterSexx
19,223.0,69.0,2314.0,111.0,CigsAfterSexx
20,185.0,64.0,2136.0,122.0,CigsAfterSexx
21,35896.0,204.0,81152.0,923.0,CigsAfterSexx
22,370.0,33.0,2862.0,41.0,CigsAfterSexx
23,0.0,0.0,15.0,0.0,CigsAfterSexx
24,121.0,32.0,1676.0,57.0,CigsAfterSexx
25,8027.0,454.0,28490.0,2041.0,CigsAfterSexx
26,206.0,33.0,1786.0,23.0,CigsAfterSexx
27,21203.0,166.0,53160.0,549.0,CigsAfterSexx
28,3.0,0.0,44.0,1.0,CigsAfterSexx
29,1.0,0.0,13.0,1.0,CigsAfterSexx
30,147.0,16.0,1390.0,15.0,CigsAfterSexx
31,0.0,0.0,3.0,0.0,CigsAfterSexx
32,19451.0,104.0,45537.0,357.0,CigsAfterSexx
33,1.0,1.0,12.0,0.0,CigsAfterSexx
34,25587.0,158.0,59464.0,1081.0,CigsAfterSexx
35,0.0,0.0,23.0,0.0,CigsAfterSexx
36,373.0,29.0,4022.0,31.0,CigsAfterSexx
37,26399.0,120.0,55532.0,539.0,CigsAfterSexx
38,2.0,0.0,11.0,0.0,CigsAfterSexx
39,26254.0,161.0,55969.0,803.0,CigsAfterSexx
40,19909.0,91.0,43249.0,485.0,CigsAfterSexx
41,24522.0,298.0,60026.0,1196.0,CigsAfterSexx
42,10395.0,92.0,30835.0,351.0,CigsAfterSexx
43,22210.0,118.0,41912.0,482.0,CigsAfterSexx
44,48.0,29.0,804.0,50.0,CigsAfterSexx
45,22030.0,125.0,39213.0,866.0,CigsAfterSexx
46,3797.0,213.0,10843.0,737.0,CigsAfterSexx
47,20295.0,199.0,44813.0,740.0,CigsAfterSexx
48,16657.0,86.0,33119.0,422.0,CigsAfterSexx
49,2797.0,108.0,9491.0,419.0,CigsAfterSexx
