,retweet_count,reply_count,like_count,quote_count,name
0,192.0,16.0,914.0,80.0,FKAtwigs
1,584.0,40.0,3016.0,176.0,FKAtwigs
2,433.0,58.0,3344.0,148.0,FKAtwigs
3,1839.0,213.0,13283.0,1107.0,FKAtwigs
4,200.0,44.0,2684.0,56.0,FKAtwigs
5,180.0,18.0,1628.0,57.0,FKAtwigs
6,90.0,15.0,1207.0,15.0,FKAtwigs
7,24.0,3.0,488.0,2.0,FKAtwigs
8,62.0,6.0,690.0,31.0,FKAtwigs
9,651.0,86.0,10484.0,313.0,FKAtwigs
10,361.0,56.0,5240.0,157.0,FKAtwigs
11,88.0,80.0,1213.0,794.0,FKAtwigs
12,397.0,209.0,5327.0,1584.0,FKAtwigs
13,330.0,22.0,2171.0,64.0,FKAtwigs
14,48.0,0.0,629.0,18.0,FKAtwigs
15,273.0,104.0,3609.0,86.0,FKAtwigs
16,55.0,8.0,1548.0,16.0,FKAtwigs
17,1065.0,78.0,16357.0,274.0,FKAtwigs
18,55.0,0.0,0.0,0.0,FKAtwigs
19,216.0,15.0,1222.0,46.0,FKAtwigs
20,25.0,0.0,0.0,0.0,FKAtwigs
21,42.0,5.0,603.0,12.0,FKAtwigs
22,360.0,55.0,4837.0,94.0,FKAtwigs
23,72.0,9.0,961.0,8.0,FKAtwigs
24,390.0,27.0,2062.0,103.0,FKAtwigs
25,197.0,47.0,3429.0,100.0,FKAtwigs
26,39.0,2.0,427.0,2.0,FKAtwigs
27,66.0,3.0,579.0,10.0,FKAtwigs
28,108.0,37.0,1726.0,24.0,FKAtwigs
29,79.0,5.0,824.0,2.0,FKAtwigs
30,21.0,13.0,472.0,15.0,FKAtwigs
31,919.0,56.0,4487.0,308.0,FKAtwigs
32,297.0,218.0,4809.0,182.0,FKAtwigs
33,83.0,8.0,767.0,3.0,FKAtwigs
34,1004.0,113.0,4712.0,292.0,FKAtwigs
35,56.0,37.0,1167.0,41.0,FKAtwigs
36,1316.0,173.0,10481.0,765.0,FKAtwigs
37,12.0,0.0,0.0,0.0,FKAtwigs
38,19.0,33.0,571.0,5.0,FKAtwigs
39,55.0,8.0,299.0,8.0,FKAtwigs
40,28.0,1.0,423.0,4.0,FKAtwigs
41,98.0,3.0,885.0,12.0,FKAtwigs
42,22.0,2.0,348.0,4.0,FKAtwigs
43,261.0,25.0,2552.0,57.0,FKAtwigs
44,33.0,0.0,0.0,0.0,FKAtwigs
45,25.0,0.0,0.0,0.0,FKAtwigs
46,137.0,27.0,1816.0,16.0,FKAtwigs
47,1230.0,55.0,6518.0,304.0,FKAtwigs
48,220.0,42.0,1791.0,128.0,FKAtwigs
49,10.0,5.0,93.0,0.0,FKAtwigs
