,retweet_count,reply_count,like_count,quote_count,name
0,26.0,8.0,375.0,15.0,JorjaSmith
1,20.0,15.0,400.0,4.0,JorjaSmith
2,24.0,20.0,272.0,10.0,JorjaSmith
3,67.0,0.0,0.0,0.0,JorjaSmith
4,25.0,16.0,495.0,4.0,JorjaSmith
5,46.0,25.0,394.0,41.0,JorjaSmith
6,65.0,52.0,763.0,87.0,JorjaSmith
7,20.0,9.0,289.0,15.0,JorjaSmith
8,14.0,14.0,266.0,6.0,JorjaSmith
9,34.0,30.0,576.0,14.0,JorjaSmith
10,24.0,14.0,263.0,11.0,JorjaSmith
11,47.0,19.0,650.0,15.0,JorjaSmith
12,43.0,24.0,569.0,10.0,JorjaSmith
13,20.0,6.0,255.0,9.0,JorjaSmith
14,145.0,0.0,0.0,0.0,JorjaSmith
15,40.0,7.0,429.0,10.0,JorjaSmith
16,25.0,21.0,412.0,10.0,JorjaSmith
17,94.0,27.0,573.0,31.0,JorjaSmith
18,184.0,23.0,1322.0,114.0,JorjaSmith
19,85.0,27.0,806.0,23.0,JorjaSmith
20,15.0,4.0,289.0,5.0,JorjaSmith
21,162.0,19.0,1299.0,15.0,JorjaSmith
22,285.0,35.0,1982.0,65.0,JorjaSmith
23,2308.0,1485.0,12099.0,3542.0,JorjaSmith
24,31.0,15.0,283.0,7.0,JorjaSmith
25,25.0,17.0,400.0,4.0,JorjaSmith
26,218.0,56.0,2566.0,47.0,JorjaSmith
27,103.0,25.0,1364.0,8.0,JorjaSmith
28,18.0,0.0,0.0,0.0,JorjaSmith
29,33.0,13.0,388.0,5.0,JorjaSmith
30,205.0,32.0,1370.0,30.0,JorjaSmith
31,78.0,28.0,800.0,8.0,JorjaSmith
32,27.0,10.0,343.0,2.0,JorjaSmith
33,98.0,19.0,1578.0,9.0,JorjaSmith
34,218.0,36.0,1253.0,46.0,JorjaSmith
35,148.0,0.0,0.0,0.0,JorjaSmith
36,97.0,17.0,789.0,16.0,JorjaSmith
37,78.0,9.0,588.0,6.0,JorjaSmith
38,45.0,23.0,967.0,52.0,JorjaSmith
39,34.0,0.0,0.0,0.0,JorjaSmith
40,59.0,16.0,906.0,10.0,JorjaSmith
41,34.0,14.0,327.0,7.0,JorjaSmith
42,63.0,0.0,0.0,0.0,JorjaSmith
43,15.0,0.0,0.0,0.0,JorjaSmith
44,30.0,5.0,319.0,6.0,JorjaSmith
45,17.0,0.0,0.0,0.0,JorjaSmith
46,2.0,3.0,67.0,0.0,JorjaSmith
47,24.0,8.0,295.0,4.0,JorjaSmith
48,40.0,14.0,669.0,1.0,JorjaSmith
49,47.0,11.0,495.0,4.0,JorjaSmith
