,retweet_count,reply_count,like_count,quote_count,name
0,34.0,0.0,0.0,0.0,KygoMusic
1,26.0,33.0,347.0,4.0,KygoMusic
2,66.0,0.0,0.0,0.0,KygoMusic
3,29.0,0.0,0.0,0.0,KygoMusic
4,80.0,0.0,0.0,0.0,KygoMusic
5,9.0,0.0,0.0,0.0,KygoMusic
6,21.0,0.0,0.0,0.0,KygoMusic
7,14.0,0.0,0.0,0.0,KygoMusic
8,21.0,0.0,0.0,0.0,KygoMusic
9,15.0,3.0,82.0,3.0,KygoMusic
10,236.0,0.0,0.0,0.0,KygoMusic
11,43.0,39.0,359.0,4.0,KygoMusic
12,37.0,0.0,0.0,0.0,KygoMusic
13,24.0,0.0,0.0,0.0,KygoMusic
14,49.0,0.0,0.0,0.0,KygoMusic
15,99.0,28.0,971.0,15.0,KygoMusic
16,9.0,1.0,68.0,0.0,KygoMusic
17,69.0,18.0,369.0,19.0,KygoMusic
18,17.0,0.0,0.0,0.0,KygoMusic
19,37.0,56.0,272.0,6.0,KygoMusic
20,307.0,44.0,1429.0,47.0,KygoMusic
21,181.0,19.0,1304.0,10.0,KygoMusic
22,131.0,23.0,1092.0,14.0,KygoMusic
23,200.0,31.0,1264.0,44.0,KygoMusic
24,19.0,0.0,0.0,0.0,KygoMusic
25,10.0,0.0,0.0,0.0,KygoMusic
26,28.0,18.0,327.0,5.0,KygoMusic
27,30.0,0.0,0.0,0.0,KygoMusic
28,76.0,0.0,0.0,0.0,KygoMusic
29,403.0,510.0,3351.0,94.0,KygoMusic
30,272.0,0.0,0.0,0.0,KygoMusic
31,299.0,50.0,1404.0,56.0,KygoMusic
32,67.0,0.0,0.0,0.0,KygoMusic
33,2.0,5.0,38.0,0.0,KygoMusic
34,70.0,32.0,786.0,16.0,KygoMusic
35,246.0,40.0,1410.0,67.0,KygoMusic
36,54.0,15.0,534.0,20.0,KygoMusic
37,305.0,0.0,0.0,0.0,KygoMusic
38,17.0,7.0,274.0,1.0,KygoMusic
39,185.0,39.0,1146.0,26.0,KygoMusic
40,24.0,0.0,0.0,0.0,KygoMusic
41,192.0,68.0,1517.0,47.0,KygoMusic
42,236.0,36.0,1310.0,56.0,KygoMusic
43,164.0,32.0,921.0,31.0,KygoMusic
44,213.0,41.0,1420.0,55.0,KygoMusic
45,68.0,34.0,847.0,11.0,KygoMusic
46,56.0,21.0,583.0,9.0,KygoMusic
47,3.0,9.0,119.0,0.0,KygoMusic
48,142.0,0.0,0.0,0.0,KygoMusic
49,27.0,0.0,0.0,0.0,KygoMusic
