,retweet_count,reply_count,like_count,quote_count,name
0,1983.0,0.0,0.0,0.0,Olivertree
1,801.0,0.0,0.0,0.0,Olivertree
2,445.0,89.0,11826.0,44.0,Olivertree
3,21.0,23.0,2662.0,2.0,Olivertree
4,63.0,45.0,2918.0,3.0,Olivertree
5,27.0,25.0,535.0,11.0,Olivertree
6,339.0,122.0,4521.0,21.0,Olivertree
7,53.0,12.0,2856.0,2.0,Olivertree
8,1918.0,211.0,32984.0,167.0,Olivertree
9,662.0,126.0,11128.0,88.0,Olivertree
10,522.0,197.0,16271.0,24.0,Olivertree
11,278.0,97.0,13121.0,5.0,Olivertree
12,35.0,47.0,2769.0,3.0,Olivertree
13,292.0,130.0,9510.0,65.0,Olivertree
14,3.0,6.0,32.0,1.0,Olivertree
15,601.0,61.0,13132.0,39.0,Olivertree
16,914.0,225.0,21895.0,130.0,Olivertree
17,306.0,212.0,9467.0,66.0,Olivertree
18,9.0,7.0,920.0,1.0,Olivertree
19,716.0,104.0,12263.0,74.0,Olivertree
20,408.0,85.0,10070.0,13.0,Olivertree
21,581.0,115.0,8100.0,63.0,Olivertree
22,439.0,162.0,9258.0,54.0,Olivertree
23,730.0,196.0,8401.0,168.0,Olivertree
24,52.0,11.0,2181.0,0.0,Olivertree
25,19.0,18.0,1487.0,2.0,Olivertree
26,1284.0,66.0,11179.0,47.0,Olivertree
27,1083.0,221.0,23547.0,125.0,Olivertree
28,935.0,187.0,19761.0,172.0,Olivertree
29,517.0,0.0,0.0,0.0,Olivertree
30,918.0,181.0,19071.0,346.0,Olivertree
31,4.0,22.0,647.0,3.0,Olivertree
32,2742.0,252.0,24470.0,295.0,Olivertree
33,4491.0,461.0,40079.0,994.0,Olivertree
34,2093.0,644.0,26805.0,713.0,Olivertree
35,1048.0,220.0,22031.0,89.0,Olivertree
36,3065.0,946.0,16281.0,590.0,Olivertree
37,2196.0,306.0,19419.0,309.0,Olivertree
38,1841.0,609.0,18089.0,342.0,Olivertree
39,2224.0,238.0,20531.0,173.0,Olivertree
40,3496.0,221.0,32999.0,174.0,Olivertree
41,5592.0,1209.0,37763.0,1690.0,Olivertree
42,2807.0,360.0,18710.0,464.0,Olivertree
43,11232.0,458.0,18581.0,398.0,Olivertree
44,3655.0,210.0,20088.0,181.0,Olivertree
45,2245.0,273.0,16553.0,94.0,Olivertree
46,1334.0,117.0,15833.0,63.0,Olivertree
47,1317.0,1104.0,23073.0,1008.0,Olivertree
48,3017.0,113.0,28488.0,159.0,Olivertree
49,4661.0,138.0,31936.0,132.0,Olivertree
