,retweet_count,reply_count,like_count,quote_count,name
0,4.0,13.0,238.0,0.0,TessaViolet
1,2.0,0.0,57.0,0.0,TessaViolet
2,2.0,11.0,126.0,1.0,TessaViolet
3,1.0,4.0,10.0,1.0,TessaViolet
4,12.0,34.0,545.0,3.0,TessaViolet
5,1.0,0.0,3.0,2.0,TessaViolet
6,21.0,25.0,944.0,2.0,TessaViolet
7,3.0,14.0,299.0,0.0,TessaViolet
8,1.0,2.0,29.0,0.0,TessaViolet
9,1.0,1.0,2.0,0.0,TessaViolet
10,1.0,1.0,2.0,0.0,TessaViolet
11,1.0,1.0,3.0,1.0,TessaViolet
12,5.0,28.0,230.0,3.0,TessaViolet
13,3.0,60.0,406.0,1.0,TessaViolet
14,0.0,1.0,13.0,0.0,TessaViolet
15,1.0,0.0,26.0,0.0,TessaViolet
16,9.0,0.0,0.0,0.0,TessaViolet
17,23.0,32.0,258.0,24.0,TessaViolet
18,1.0,2.0,45.0,0.0,TessaViolet
19,46.0,221.0,1702.0,18.0,TessaViolet
20,14.0,26.0,361.0,0.0,TessaViolet
21,2.0,0.0,0.0,0.0,TessaViolet
22,5.0,28.0,446.0,0.0,TessaViolet
23,1.0,46.0,151.0,1.0,TessaViolet
24,1.0,3.0,90.0,0.0,TessaViolet
25,2.0,27.0,102.0,8.0,TessaViolet
26,9.0,18.0,398.0,0.0,TessaViolet
27,11.0,28.0,338.0,5.0,TessaViolet
28,16025.0,0.0,0.0,0.0,TessaViolet
29,2.0,2.0,126.0,0.0,TessaViolet
30,1.0,1.0,34.0,0.0,TessaViolet
31,1.0,1.0,116.0,0.0,TessaViolet
32,1.0,1.0,108.0,0.0,TessaViolet
33,1.0,5.0,168.0,0.0,TessaViolet
34,1.0,2.0,34.0,0.0,TessaViolet
35,1.0,1.0,1.0,0.0,TessaViolet
36,17.0,26.0,646.0,0.0,TessaViolet
37,1.0,2.0,14.0,0.0,TessaViolet
38,11.0,6.0,215.0,4.0,TessaViolet
39,3.0,9.0,129.0,0.0,TessaViolet
40,1.0,0.0,5.0,0.0,TessaViolet
41,1.0,1.0,2.0,0.0,TessaViolet
42,1.0,2.0,121.0,0.0,TessaViolet
43,4.0,19.0,316.0,1.0,TessaViolet
44,1.0,0.0,29.0,0.0,TessaViolet
45,11210.0,0.0,0.0,0.0,TessaViolet
46,0.0,0.0,55.0,0.0,TessaViolet
47,129.0,304.0,3184.0,102.0,TessaViolet
48,474.0,32.0,5687.0,45.0,TessaViolet
49,11.0,18.0,243.0,1.0,TessaViolet
