,retweet_count,reply_count,like_count,quote_count,name
0,15.0,41.0,125.0,3.0,andygrammer
1,16.0,9.0,123.0,4.0,andygrammer
2,8.0,0.0,0.0,0.0,andygrammer
3,8.0,0.0,0.0,0.0,andygrammer
4,11.0,4.0,48.0,0.0,andygrammer
5,6.0,3.0,54.0,0.0,andygrammer
6,6.0,0.0,0.0,0.0,andygrammer
7,10.0,5.0,84.0,2.0,andygrammer
8,5.0,62.0,58.0,0.0,andygrammer
9,7.0,2.0,59.0,1.0,andygrammer
10,8.0,4.0,38.0,0.0,andygrammer
11,16.0,9.0,73.0,3.0,andygrammer
12,7.0,4.0,41.0,2.0,andygrammer
13,14.0,10.0,93.0,3.0,andygrammer
14,0.0,2.0,14.0,0.0,andygrammer
15,0.0,2.0,15.0,0.0,andygrammer
16,5.0,7.0,40.0,0.0,andygrammer
17,2.0,0.0,0.0,0.0,andygrammer
18,1.0,0.0,0.0,0.0,andygrammer
19,1.0,0.0,0.0,0.0,andygrammer
20,13.0,5.0,73.0,1.0,andygrammer
21,2.0,4.0,45.0,0.0,andygrammer
22,23.0,10.0,106.0,3.0,andygrammer
23,10.0,3.0,47.0,0.0,andygrammer
24,10.0,8.0,127.0,4.0,andygrammer
25,0.0,2.0,21.0,0.0,andygrammer
26,7.0,5.0,63.0,1.0,andygrammer
27,8.0,5.0,73.0,2.0,andygrammer
28,4.0,3.0,26.0,0.0,andygrammer
29,5.0,3.0,36.0,0.0,andygrammer
30,0.0,1.0,6.0,0.0,andygrammer
31,7.0,4.0,42.0,0.0,andygrammer
32,1.0,1.0,1.0,0.0,andygrammer
33,1.0,3.0,15.0,0.0,andygrammer
34,8.0,4.0,79.0,1.0,andygrammer
35,6.0,0.0,0.0,0.0,andygrammer
36,11.0,5.0,79.0,4.0,andygrammer
37,5.0,3.0,44.0,0.0,andygrammer
38,17.0,10.0,87.0,5.0,andygrammer
39,4.0,2.0,35.0,0.0,andygrammer
40,4.0,5.0,34.0,0.0,andygrammer
41,13.0,13.0,76.0,2.0,andygrammer
42,3.0,1.0,29.0,1.0,andygrammer
43,11.0,5.0,69.0,3.0,andygrammer
44,13.0,9.0,93.0,1.0,andygrammer
45,5.0,10.0,104.0,0.0,andygrammer
46,12.0,6.0,137.0,3.0,andygrammer
47,2.0,2.0,54.0,0.0,andygrammer
48,4.0,3.0,62.0,1.0,andygrammer
49,11.0,7.0,110.0,5.0,andygrammer
