,retweet_count,reply_count,like_count,quote_count,name
0,68.0,19.0,265.0,8.0,beforeyouexit
1,84.0,42.0,384.0,21.0,beforeyouexit
2,2.0,0.0,0.0,0.0,beforeyouexit
3,7.0,8.0,83.0,0.0,beforeyouexit
4,3.0,0.0,0.0,0.0,beforeyouexit
5,3.0,3.0,17.0,0.0,beforeyouexit
6,2.0,2.0,18.0,0.0,beforeyouexit
7,162.0,80.0,356.0,27.0,beforeyouexit
8,94.0,46.0,321.0,18.0,beforeyouexit
9,198.0,125.0,691.0,111.0,beforeyouexit
10,40.0,22.0,236.0,10.0,beforeyouexit
11,108.0,59.0,606.0,34.0,beforeyouexit
12,212.0,40.0,1219.0,37.0,beforeyouexit
13,147.0,77.0,957.0,46.0,beforeyouexit
14,83.0,81.0,771.0,12.0,beforeyouexit
15,73.0,17.0,441.0,3.0,beforeyouexit
16,80.0,52.0,575.0,9.0,beforeyouexit
17,161.0,0.0,0.0,0.0,beforeyouexit
18,151.0,0.0,0.0,0.0,beforeyouexit
19,152.0,0.0,0.0,0.0,beforeyouexit
20,177.0,53.0,916.0,33.0,beforeyouexit
21,159.0,0.0,0.0,0.0,beforeyouexit
22,65.0,0.0,0.0,0.0,beforeyouexit
23,33.0,10.0,243.0,0.0,beforeyouexit
24,3.0,0.0,0.0,0.0,beforeyouexit
25,5.0,0.0,0.0,0.0,beforeyouexit
26,162.0,38.0,500.0,20.0,beforeyouexit
27,40.0,0.0,0.0,0.0,beforeyouexit
28,1.0,3.0,12.0,0.0,beforeyouexit
29,2.0,1.0,18.0,0.0,beforeyouexit
30,4.0,14.0,56.0,2.0,beforeyouexit
31,17.0,0.0,0.0,0.0,beforeyouexit
32,7.0,0.0,0.0,0.0,beforeyouexit
33,0.0,0.0,6.0,0.0,beforeyouexit
34,0.0,0.0,5.0,0.0,beforeyouexit
35,11.0,0.0,0.0,0.0,beforeyouexit
36,159.0,50.0,401.0,9.0,beforeyouexit
37,25.0,0.0,0.0,0.0,beforeyouexit
38,3.0,0.0,0.0,0.0,beforeyouexit
39,0.0,3.0,9.0,1.0,beforeyouexit
40,2.0,0.0,16.0,0.0,beforeyouexit
41,5.0,7.0,37.0,3.0,beforeyouexit
42,2.0,1.0,17.0,0.0,beforeyouexit
43,4.0,1.0,28.0,0.0,beforeyouexit
44,1.0,2.0,16.0,0.0,beforeyouexit
45,1.0,1.0,13.0,0.0,beforeyouexit
46,8.0,1.0,21.0,0.0,beforeyouexit
