,retweet_count,reply_count,like_count,quote_count,name
0,144.0,230.0,3395.0,41.0,clairo
1,32.0,0.0,0.0,0.0,clairo
2,75.0,0.0,0.0,0.0,clairo
3,14.0,28.0,209.0,2.0,clairo
4,55.0,115.0,1141.0,13.0,clairo
5,38.0,44.0,502.0,12.0,clairo
6,44.0,0.0,0.0,0.0,clairo
7,1113.0,179.0,13855.0,173.0,clairo
8,13.0,8.0,137.0,5.0,clairo
9,645.0,233.0,8286.0,96.0,clairo
10,50.0,0.0,0.0,0.0,clairo
11,114.0,0.0,0.0,0.0,clairo
12,116.0,207.0,2097.0,59.0,clairo
13,128.0,77.0,2076.0,172.0,clairo
14,469.0,324.0,6561.0,72.0,clairo
15,22.0,0.0,0.0,0.0,clairo
16,481.0,333.0,5877.0,135.0,clairo
17,29.0,0.0,0.0,0.0,clairo
18,90.0,80.0,730.0,88.0,clairo
19,116.0,335.0,1885.0,52.0,clairo
20,1316.0,714.0,15307.0,274.0,clairo
21,23.0,35.0,346.0,11.0,clairo
22,175.0,296.0,2823.0,87.0,clairo
23,45.0,94.0,289.0,30.0,clairo
24,51.0,150.0,456.0,28.0,clairo
25,19.0,0.0,0.0,0.0,clairo
26,22.0,0.0,0.0,0.0,clairo
27,70.0,0.0,0.0,0.0,clairo
28,40.0,71.0,700.0,15.0,clairo
29,154.0,163.0,1495.0,53.0,clairo
30,32.0,0.0,0.0,0.0,clairo
31,28.0,75.0,159.0,14.0,clairo
32,28.0,0.0,0.0,0.0,clairo
33,22.0,53.0,135.0,4.0,clairo
34,22.0,30.0,117.0,8.0,clairo
35,104.0,0.0,0.0,0.0,clairo
36,118.0,135.0,1151.0,22.0,clairo
37,21.0,21.0,126.0,2.0,clairo
38,73.0,149.0,1486.0,74.0,clairo
39,253.0,523.0,5217.0,219.0,clairo
40,45.0,0.0,0.0,0.0,clairo
41,153.0,268.0,2032.0,97.0,clairo
42,290.0,459.0,3942.0,436.0,clairo
43,58.0,0.0,0.0,0.0,clairo
44,43.0,126.0,228.0,15.0,clairo
45,221.0,397.0,2715.0,148.0,clairo
46,337.0,0.0,0.0,0.0,clairo
47,39.0,71.0,246.0,7.0,clairo
48,380.0,432.0,5883.0,536.0,clairo
49,4018.0,1070.0,30559.0,773.0,clairo
