,retweet_count,reply_count,like_count,quote_count,name
0,14.0,9.0,293.0,1.0,cleanbandit
1,4.0,0.0,0.0,0.0,cleanbandit
2,10.0,1.0,94.0,0.0,cleanbandit
3,11.0,2.0,161.0,0.0,cleanbandit
4,3.0,0.0,0.0,0.0,cleanbandit
5,4.0,2.0,54.0,1.0,cleanbandit
6,11.0,0.0,0.0,0.0,cleanbandit
7,4.0,2.0,73.0,0.0,cleanbandit
8,9.0,3.0,60.0,1.0,cleanbandit
9,11.0,11.0,235.0,0.0,cleanbandit
10,195.0,52.0,1995.0,5.0,cleanbandit
11,8.0,2.0,83.0,3.0,cleanbandit
12,4.0,24.0,133.0,1.0,cleanbandit
13,8.0,1.0,90.0,0.0,cleanbandit
14,4.0,1.0,87.0,0.0,cleanbandit
15,5.0,3.0,41.0,0.0,cleanbandit
16,0.0,0.0,3.0,0.0,cleanbandit
17,38.0,10.0,1784.0,0.0,cleanbandit
18,6.0,1.0,101.0,0.0,cleanbandit
19,7.0,0.0,81.0,0.0,cleanbandit
20,0.0,0.0,2.0,0.0,cleanbandit
21,4.0,9.0,125.0,1.0,cleanbandit
22,5.0,0.0,0.0,0.0,cleanbandit
23,0.0,0.0,1.0,0.0,cleanbandit
24,3.0,0.0,0.0,0.0,cleanbandit
25,26.0,13.0,201.0,4.0,cleanbandit
26,72.0,0.0,0.0,0.0,cleanbandit
27,22.0,0.0,0.0,0.0,cleanbandit
28,8.0,1.0,165.0,0.0,cleanbandit
29,2.0,0.0,0.0,0.0,cleanbandit
30,87.0,0.0,0.0,0.0,cleanbandit
31,5.0,0.0,0.0,0.0,cleanbandit
32,11.0,2.0,69.0,0.0,cleanbandit
33,7.0,0.0,0.0,0.0,cleanbandit
34,7.0,0.0,61.0,2.0,cleanbandit
35,1.0,1.0,19.0,0.0,cleanbandit
36,17273.0,0.0,0.0,0.0,cleanbandit
37,4.0,1.0,79.0,1.0,cleanbandit
38,7.0,0.0,89.0,1.0,cleanbandit
39,69.0,0.0,0.0,0.0,cleanbandit
40,9.0,0.0,77.0,0.0,cleanbandit
41,37.0,4.0,179.0,1.0,cleanbandit
42,8.0,0.0,0.0,0.0,cleanbandit
43,6.0,2.0,110.0,2.0,cleanbandit
44,41.0,9.0,220.0,3.0,cleanbandit
45,32.0,0.0,0.0,0.0,cleanbandit
46,2.0,0.0,0.0,0.0,cleanbandit
47,8.0,2.0,100.0,1.0,cleanbandit
48,7.0,9.0,134.0,1.0,cleanbandit
49,4.0,3.0,63.0,2.0,cleanbandit
