,retweet_count,reply_count,like_count,quote_count,name
0,388.0,126.0,3260.0,489.0,hellohonne
1,34.0,11.0,450.0,7.0,hellohonne
2,42.0,0.0,283.0,35.0,hellohonne
3,42.0,17.0,509.0,22.0,hellohonne
4,33.0,2.0,215.0,2.0,hellohonne
5,36.0,3.0,322.0,3.0,hellohonne
6,16.0,16.0,272.0,4.0,hellohonne
7,10.0,12.0,164.0,0.0,hellohonne
8,10.0,9.0,128.0,1.0,hellohonne
9,0.0,0.0,3.0,0.0,hellohonne
10,39.0,7.0,372.0,9.0,hellohonne
11,14.0,2.0,125.0,1.0,hellohonne
12,22.0,8.0,247.0,7.0,hellohonne
13,48.0,6.0,274.0,11.0,hellohonne
14,87.0,14.0,821.0,65.0,hellohonne
15,13.0,3.0,79.0,7.0,hellohonne
16,15.0,1.0,233.0,4.0,hellohonne
17,182.0,18.0,1224.0,142.0,hellohonne
18,0.0,0.0,2.0,1.0,hellohonne
19,25.0,11.0,171.0,10.0,hellohonne
20,0.0,0.0,1.0,1.0,hellohonne
21,0.0,0.0,1.0,0.0,hellohonne
22,148.0,55.0,1139.0,24.0,hellohonne
23,5.0,0.0,95.0,1.0,hellohonne
24,19.0,5.0,221.0,12.0,hellohonne
25,79.0,6.0,327.0,14.0,hellohonne
26,64.0,0.0,218.0,6.0,hellohonne
27,111.0,5.0,337.0,19.0,hellohonne
28,21.0,4.0,144.0,7.0,hellohonne
29,41.0,2.0,248.0,6.0,hellohonne
30,1116.0,112.0,8125.0,389.0,hellohonne
31,0.0,1.0,1.0,0.0,hellohonne
32,22.0,10.0,160.0,3.0,hellohonne
33,3.0,0.0,0.0,0.0,hellohonne
34,1.0,2.0,19.0,0.0,hellohonne
35,45.0,4.0,340.0,3.0,hellohonne
36,343.0,9.0,1307.0,27.0,hellohonne
37,20.0,7.0,156.0,7.0,hellohonne
38,1.0,0.0,30.0,0.0,hellohonne
39,34.0,18.0,187.0,22.0,hellohonne
40,18.0,2.0,176.0,13.0,hellohonne
41,70.0,1.0,254.0,1.0,hellohonne
42,201.0,10.0,690.0,11.0,hellohonne
43,28.0,8.0,276.0,2.0,hellohonne
44,33.0,13.0,231.0,38.0,hellohonne
45,0.0,0.0,0.0,0.0,hellohonne
46,30.0,22.0,308.0,14.0,hellohonne
47,313.0,275.0,2347.0,170.0,hellohonne
48,354.0,9.0,1372.0,10.0,hellohonne
49,70.0,3.0,318.0,8.0,hellohonne
