,retweet_count,reply_count,like_count,quote_count,name
0,379.0,68.0,2358.0,41.0,kimpetras
1,27.0,0.0,0.0,0.0,kimpetras
2,29.0,10.0,145.0,0.0,kimpetras
3,693.0,0.0,0.0,0.0,kimpetras
4,567.0,141.0,4610.0,58.0,kimpetras
5,42.0,33.0,338.0,4.0,kimpetras
6,47.0,37.0,519.0,5.0,kimpetras
7,160.0,0.0,0.0,0.0,kimpetras
8,137.0,57.0,872.0,20.0,kimpetras
9,13.0,22.0,490.0,3.0,kimpetras
10,16.0,7.0,314.0,1.0,kimpetras
11,31.0,20.0,505.0,4.0,kimpetras
12,256.0,54.0,4194.0,24.0,kimpetras
13,0.0,1.0,18.0,0.0,kimpetras
14,1.0,4.0,23.0,2.0,kimpetras
15,1.0,19.0,262.0,2.0,kimpetras
16,1.0,5.0,81.0,0.0,kimpetras
17,354.0,89.0,2968.0,43.0,kimpetras
18,5.0,4.0,50.0,0.0,kimpetras
19,9.0,12.0,233.0,0.0,kimpetras
20,61.0,53.0,703.0,14.0,kimpetras
21,34638.0,0.0,0.0,0.0,kimpetras
22,291.0,54.0,2223.0,17.0,kimpetras
23,0.0,2.0,36.0,0.0,kimpetras
24,229.0,38.0,2208.0,14.0,kimpetras
25,101.0,71.0,1337.0,12.0,kimpetras
26,75.0,52.0,1337.0,5.0,kimpetras
27,9.0,9.0,211.0,0.0,kimpetras
28,49.0,64.0,642.0,6.0,kimpetras
29,0.0,0.0,24.0,0.0,kimpetras
30,1.0,1.0,24.0,1.0,kimpetras
31,1.0,0.0,37.0,0.0,kimpetras
32,0.0,1.0,57.0,0.0,kimpetras
33,0.0,1.0,15.0,0.0,kimpetras
34,0.0,8.0,176.0,0.0,kimpetras
35,0.0,1.0,9.0,0.0,kimpetras
36,0.0,2.0,102.0,0.0,kimpetras
37,0.0,1.0,9.0,0.0,kimpetras
38,33.0,16.0,271.0,1.0,kimpetras
39,0.0,2.0,8.0,0.0,kimpetras
40,1.0,1.0,26.0,0.0,kimpetras
41,33.0,84.0,553.0,6.0,kimpetras
42,1.0,0.0,13.0,1.0,kimpetras
43,160.0,0.0,0.0,0.0,kimpetras
44,0.0,0.0,39.0,0.0,kimpetras
45,0.0,0.0,13.0,0.0,kimpetras
46,0.0,1.0,25.0,0.0,kimpetras
47,1.0,1.0,17.0,0.0,kimpetras
48,0.0,5.0,43.0,0.0,kimpetras
49,9.0,16.0,313.0,0.0,kimpetras
