,retweet_count,reply_count,like_count,quote_count,name
0,2.0,2.0,22.0,0.0,ninanesbitt
1,1.0,1.0,12.0,1.0,ninanesbitt
2,2.0,2.0,30.0,1.0,ninanesbitt
3,1.0,5.0,38.0,0.0,ninanesbitt
4,15.0,9.0,131.0,2.0,ninanesbitt
5,7.0,5.0,62.0,7.0,ninanesbitt
6,0.0,1.0,30.0,0.0,ninanesbitt
7,17.0,20.0,134.0,7.0,ninanesbitt
8,15.0,3.0,79.0,2.0,ninanesbitt
9,3.0,2.0,87.0,0.0,ninanesbitt
10,7.0,0.0,76.0,0.0,ninanesbitt
11,1.0,2.0,40.0,0.0,ninanesbitt
12,4.0,6.0,115.0,0.0,ninanesbitt
13,0.0,2.0,32.0,0.0,ninanesbitt
14,0.0,3.0,17.0,0.0,ninanesbitt
15,33.0,59.0,298.0,33.0,ninanesbitt
16,194.0,72.0,1186.0,85.0,ninanesbitt
17,23.0,5.0,156.0,3.0,ninanesbitt
18,4.0,2.0,38.0,0.0,ninanesbitt
19,13.0,13.0,195.0,3.0,ninanesbitt
20,15.0,43.0,197.0,2.0,ninanesbitt
21,62.0,19.0,467.0,9.0,ninanesbitt
22,11.0,14.0,162.0,3.0,ninanesbitt
23,6.0,3.0,82.0,1.0,ninanesbitt
24,8.0,0.0,0.0,0.0,ninanesbitt
25,4.0,2.0,40.0,0.0,ninanesbitt
26,19.0,13.0,330.0,3.0,ninanesbitt
27,13.0,2.0,121.0,3.0,ninanesbitt
28,13.0,0.0,0.0,0.0,ninanesbitt
29,10.0,0.0,0.0,0.0,ninanesbitt
30,7.0,1.0,46.0,2.0,ninanesbitt
31,3.0,1.0,32.0,0.0,ninanesbitt
32,44.0,16.0,194.0,6.0,ninanesbitt
33,9.0,3.0,70.0,1.0,ninanesbitt
34,41.0,62.0,300.0,6.0,ninanesbitt
35,1.0,12.0,43.0,0.0,ninanesbitt
36,13.0,14.0,72.0,8.0,ninanesbitt
37,10.0,12.0,116.0,1.0,ninanesbitt
38,21.0,7.0,297.0,2.0,ninanesbitt
39,0.0,4.0,12.0,1.0,ninanesbitt
40,15.0,13.0,339.0,3.0,ninanesbitt
41,11.0,16.0,323.0,0.0,ninanesbitt
42,12.0,8.0,208.0,1.0,ninanesbitt
43,10.0,10.0,129.0,0.0,ninanesbitt
44,21.0,12.0,498.0,2.0,ninanesbitt
45,17.0,128.0,286.0,1.0,ninanesbitt
46,13.0,11.0,242.0,1.0,ninanesbitt
47,7.0,1.0,79.0,0.0,ninanesbitt
48,42.0,0.0,0.0,0.0,ninanesbitt
49,12.0,0.0,0.0,0.0,ninanesbitt
