,retweet_count,reply_count,like_count,quote_count,name
0,467.0,111.0,3241.0,73.0,oneruel
1,83.0,73.0,807.0,3.0,oneruel
2,73.0,34.0,1323.0,39.0,oneruel
3,438.0,464.0,4233.0,167.0,oneruel
4,21.0,37.0,646.0,34.0,oneruel
5,39.0,13.0,247.0,33.0,oneruel
6,1938.0,0.0,0.0,0.0,oneruel
7,14.0,21.0,149.0,5.0,oneruel
8,200.0,91.0,1387.0,22.0,oneruel
9,892.0,260.0,5580.0,178.0,oneruel
10,96.0,109.0,1269.0,43.0,oneruel
11,7.0,7.0,88.0,3.0,oneruel
12,21.0,64.0,270.0,28.0,oneruel
13,875.0,174.0,4966.0,89.0,oneruel
14,81.0,51.0,812.0,10.0,oneruel
15,640.0,144.0,2541.0,62.0,oneruel
16,1708.0,0.0,0.0,0.0,oneruel
17,906.0,0.0,0.0,0.0,oneruel
18,658.0,272.0,6080.0,50.0,oneruel
19,320.0,162.0,2203.0,46.0,oneruel
20,270.0,139.0,2061.0,25.0,oneruel
21,14.0,17.0,85.0,16.0,oneruel
22,8.0,5.0,57.0,6.0,oneruel
23,13.0,12.0,66.0,4.0,oneruel
24,454.0,162.0,3142.0,71.0,oneruel
25,81.0,77.0,930.0,10.0,oneruel
26,378.0,142.0,2565.0,43.0,oneruel
27,421.0,145.0,2523.0,47.0,oneruel
28,668.0,231.0,3575.0,103.0,oneruel
29,170.0,159.0,1510.0,80.0,oneruel
30,43.0,55.0,872.0,35.0,oneruel
31,628.0,221.0,3345.0,154.0,oneruel
32,72.0,29.0,716.0,8.0,oneruel
33,179.0,92.0,1467.0,11.0,oneruel
34,92.0,1.0,460.0,0.0,oneruel
35,284.0,56.0,1589.0,6.0,oneruel
36,21.0,25.0,151.0,12.0,oneruel
37,24.0,33.0,165.0,9.0,oneruel
38,16.0,7.0,120.0,5.0,oneruel
39,109.0,52.0,1094.0,38.0,oneruel
40,107.0,7.0,1110.0,24.0,oneruel
41,624.0,374.0,2877.0,208.0,oneruel
42,308.0,152.0,2044.0,94.0,oneruel
43,650.0,268.0,3143.0,236.0,oneruel
44,161.0,118.0,1556.0,43.0,oneruel
45,388.0,221.0,2732.0,196.0,oneruel
46,412.0,308.0,3295.0,156.0,oneruel
47,284.0,165.0,2034.0,25.0,oneruel
48,125.0,104.0,1392.0,43.0,oneruel
49,424.0,105.0,2064.0,43.0,oneruel
