,retweet_count,reply_count,like_count,quote_count,name
0,196.0,4.0,1730.0,3.0,rrr001222
1,28.0,0.0,0.0,0.0,rrr001222
2,454.0,10.0,4097.0,7.0,rrr001222
3,125.0,3.0,1376.0,1.0,rrr001222
4,6.0,0.0,0.0,0.0,rrr001222
5,32.0,0.0,0.0,0.0,rrr001222
6,6.0,0.0,0.0,0.0,rrr001222
7,3.0,0.0,0.0,0.0,rrr001222
8,47.0,0.0,0.0,0.0,rrr001222
9,4.0,0.0,0.0,0.0,rrr001222
10,3.0,0.0,0.0,0.0,rrr001222
11,115.0,4.0,756.0,2.0,rrr001222
12,368.0,2.0,1926.0,16.0,rrr001222
13,254.0,12.0,2792.0,2.0,rrr001222
14,4.0,0.0,0.0,0.0,rrr001222
15,15.0,0.0,0.0,0.0,rrr001222
16,100.0,1.0,959.0,1.0,rrr001222
17,4.0,0.0,0.0,0.0,rrr001222
18,179.0,4.0,1764.0,1.0,rrr001222
19,21.0,0.0,0.0,0.0,rrr001222
20,6.0,0.0,0.0,0.0,rrr001222
21,1.0,0.0,0.0,0.0,rrr001222
22,2.0,0.0,0.0,0.0,rrr001222
23,12.0,0.0,0.0,0.0,rrr001222
24,13.0,0.0,0.0,0.0,rrr001222
25,41.0,0.0,0.0,0.0,rrr001222
26,116.0,2.0,719.0,2.0,rrr001222
27,3.0,0.0,0.0,0.0,rrr001222
28,4.0,0.0,0.0,0.0,rrr001222
29,11.0,0.0,0.0,0.0,rrr001222
30,21.0,0.0,0.0,0.0,rrr001222
31,74.0,0.0,658.0,10.0,rrr001222
32,837.0,13.0,3737.0,17.0,rrr001222
33,170.0,3.0,1607.0,3.0,rrr001222
34,7.0,0.0,0.0,0.0,rrr001222
35,100.0,3.0,792.0,2.0,rrr001222
36,2.0,0.0,0.0,0.0,rrr001222
37,6.0,0.0,0.0,0.0,rrr001222
38,1.0,0.0,0.0,0.0,rrr001222
39,1.0,0.0,0.0,0.0,rrr001222
40,3.0,0.0,0.0,0.0,rrr001222
41,1.0,0.0,0.0,0.0,rrr001222
42,1.0,0.0,0.0,0.0,rrr001222
43,12.0,0.0,0.0,0.0,rrr001222
44,5.0,0.0,0.0,0.0,rrr001222
45,153.0,6.0,1376.0,3.0,rrr001222
46,4.0,0.0,0.0,0.0,rrr001222
47,7.0,0.0,0.0,0.0,rrr001222
48,200.0,4.0,1325.0,1.0,rrr001222
