Channel_id,Channel_name,Channel_description,Channel_PublishDate,Channel_TotalViews,Channel_VideoCount,Subscribers,Playlist_id
UCIwFjwMjI0y7PDBVEO9-bkQ,Justin Bieber,Help change the world. JUSTICE the album out now https://JustinBieber.lnk.to/Justice,2007-01-15T21:17:27Z,27915519197,245,68800000,UUIwFjwMjI0y7PDBVEO9-bkQ
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,"BLACKPINK Official YouTube Channel
블랙핑크 공식 유튜브 채널입니다.

JISOO, JENNIE, ROSÉ, LISA
지수, 제니, 로제, 리사",2016-06-29T03:15:23Z,23617083523,394,74100000,UUOmHUn--16B90oW2L6FRR3A
UCYvmuw-JtVrTZQ-7Y4kd63Q,Katy Perry,https://www.katyperry.com/,2008-06-01T19:58:36Z,23569430490,113,42800000,UUYvmuw-JtVrTZQ-7Y4kd63Q
UCmBA_wu8xGg1OfOkfW13Q0Q,Bad Bunny,"Bienvenid@s al canal oficial de YouTube de Bad Bunny.
¡Encuentra todos los videos musicales y audios oficiales de Bad Bunny para todos sus álbumes, incluyendo El Último Tour del Mundo, YHLQMDLG, X 100PRE, Las Que No Iban a Salir y más!
",2014-06-09T02:50:42Z,19934216649,121,39500000,UUmBA_wu8xGg1OfOkfW13Q0Q
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,"방탄소년단 공식 유튜브 채널 입니다.
This is the Official YouTube channel for BTS.",2012-12-17T03:20:38Z,16086618826,1692,66200000,UULkAepWjdylmXSltofFvsYQ
UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,Marshmello's Official YouTube Channel,2015-04-06T21:21:50Z,13053259734,394,55200000,UUEdvpU2pFRCVqU6yIPyTpMQ
UCYLNGLIzMhRTi6ZOLjAPSmw,Shakira,Welcome to Shakira's Official YouTube Channel. Bienvenidos al Canal Oficial de Shakira en Youtube,2005-10-16T09:08:20Z,22738031300,273,35700000,UUYLNGLIzMhRTi6ZOLjAPSmw
UCBVjMGOIkavEAhyqpxJ73Dw,Maroon 5,Welcome to the Maroon 5 official Youtube Channel. Head to our website for more info- www.maroon5.com,2006-03-09T03:19:51Z,20347661792,163,35700000,UUBVjMGOIkavEAhyqpxJ73Dw
UCcgqSM4YEo5vVQpqwN-MaNw,Rihanna,"It’s hard to believe that Rihanna is only 30 years old. Yet within the 10 years since the start of her musical career, she’s become the youngest solo artist to score 14 No. 1 singles on the Billboard Hot 100 — the fastest to do so — she’s sold more than 54 million albums and 210 million tracks worldwide.
 
Rihanna is the “Best Selling Digital Artist of All Time"" with more than 100 million [RIAA] Gold & Platinum song certifications” and an eight-time Grammy Award winner who also counts 14 Billboard Music Awards among other countless music accolades.
 
Aside from her musical achievements, Rihanna is a bona fide business woman with multiple entrepreneurial ventures. However, most importantly, her undeniable cultural influence has forever imprinted her in history as a global Icon despite her young age.",2005-11-06T16:14:28Z,19618795356,79,39100000,UUcgqSM4YEo5vVQpqwN-MaNw
UCJrOtniJ0-NWz37R30urifQ,Alan Walker,"When I was a kid, I had a fascination for programming and graphic design. Music kind of just happened spontaneously a few years back. I found a track on Youtube I liked a lot – it inspired me and it made me start exploring producing myself. Everything started online with people, or rather nicknames, from around the world helping each other out. Now music is a big part of my life.",2012-08-25T20:55:38Z,11433024832,308,41800000,UUJrOtniJ0-NWz37R30urifQ
UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"An Evening With Silk Sonic: https://SilkSonic.lnk.to/AEWSSID

The official YouTube channel of Bruno Mars. 

Subscribe for the latest official music videos, live performances, official audio, and more: https://Atlantic.lnk.to/BMsubscribe
 
11x GRAMMY Award winner and 27x GRAMMY Award nominee Bruno Mars is a celebrated singer, songwriter, producer, and musician with iconic hits like ""The Lazy Song"", ""That's What I Like"", ""Just The Way You Are"", ""24K Magic"", ""Locked Out Of Heaven"", and ""When I Was Your Man"". His legendary body of work also includes blockbuster albums such as Doo-Wops & Hooligans, Unorthodox Jukebox, and 24K Magic, as well as era-defining collaborations like ""Uptown Funk"" with Mark Ronson, ""Finesse"" with Cardi B, and ""Nothin' On You"" with B.o.B. Forever classic, yet supremely innovative, Bruno continues to redefine music, style, and popular culture, pushing the boundaries of pop, R&B, funk, soul, hip-hop, and dance, and remains as influential as ever.
",2006-09-19T01:34:43Z,16866350687,97,34800000,UUoUM-UJ7rirJYP8CQ0EIaHA
