Channel_id,Channel_name,Channel_description,Channel_PublishDate,Channel_TotalViews,Channel_VideoCount,Subscribers,Playlist_id
UCaMhpehN8xNWkVJB3ZQY0qQ,WOODZ,"Welcome to WOODZ(조승연) OFFICIAL YOUTUBE CHANNEL!


[WOODZ(조승연)  SNS]

WOODZ(조승연) Official Instagram : https://www.instagram.com/woodz_dnwm/
WOODZ(조우즈) Official Twitter : https://twitter.com/_chowoodz
WOODZ(조승연) Official Twitter : https://twitter.com/c_woodzofficial
WOODZ(조승연) Official Fan Cafe : http://cafe.daum.net/chowoodz
WOODZ(조승연) Official V-LIVE : https://channels.vlive.tv/A54B3D
WOODZ(조승연) Melon Page : http://kko.to/nSJkaL3D0
",2018-10-12 08:59:49,30653004,158,488000,UUaMhpehN8xNWkVJB3ZQY0qQ
UCeQwCalZK1scamopwHt9UWw,람다람,,2015-12-08 11:18:11,103491687,98,834000,UUeQwCalZK1scamopwHt9UWw
UCKhPd7bV23jAz1VGkBu-jzw,Before You Exit,"Before You Exit is:
Connor McDonough: @ConnorMcDonough
Riley McDonough: @RileyMcDonough
Toby McDonough: @TobyMcDonough",2008-11-04 00:53:33,59108561,45,582000,UUKhPd7bV23jAz1VGkBu-jzw
UCpLqtJdfhVv58cPFhRzWJlg,cavetown,I'm Robbie and I make tunes,2012-11-25 01:31:41,393246147,249,2080000,UUpLqtJdfhVv58cPFhRzWJlg
UCCFJeI-2sT_cWgz-QJRgbCw,KygoMusic,"Golden Hour available everywhere now https://smarturl.it/xGoldenHour

Tipped by Billboard Magazine as the ‘the next EDM superstar’, Kyrre Gørvell-Dahll, a.k.a KYGO, has gone from bedroom producer to one of the most hyped electronic artists on the planet in unprecedented time. 

Having established himself as a household name thanks to his widely popular remixes, sell out shows in North America and Europe as well as headline performances at festivals including TomorrowWorld and Findings, KYGO signed a worldwide recording deal with Sony Music Entertainment in September. His first original track ‘Firestone’, released at the end of 2014, has now amassed over 7 million plays across SoundCloud and YouTube and over 65 million plays on Spotify, peaking at #4 in the worldwide Spotify chart. With a hotly anticipated album scheduled for 2015, plus a new live show experienced due to be unveiled at Ultra Music Festival, this is only the beginning for this 24 year old Norwegian prodigy.",2012-01-17 14:47:36,4753494974,59,6470000,UUCFJeI-2sT_cWgz-QJRgbCw
UCOw4v1j3QnzH7X4krQAS7fg,Tessa Violet,"my latest single YES MOM out now everywhere listen here: https://tagmusic.ffm.to/yesmom

",2006-07-17 01:52:06,206828906,177,1870000,UUOw4v1j3QnzH7X4krQAS7fg
UCHcb3FQivl6xCRcHC2zjdkQ,Oliver Tree,NEW ALBUM 'COWBOY TEARS' OUT NOW!,2017-05-17 18:43:16,923337326,83,3550000,UUHcb3FQivl6xCRcHC2zjdkQ
UCoRvM0gtxkoQw489UoHEiNQ,Alina Baraz,,2012-11-04 06:41:26,177066984,61,373000,UUoRvM0gtxkoQw489UoHEiNQ
UCTBBpYejPZ05x9NX40IbObQ,Nina Nesbitt,"Follow Nina Nesbitt:
Instagram: https://www.instagram.com/ninanesbitt
TikTok: https://www.tiktok.com/@ninanesbitt
Twitter: https://twitter.com/ninanesbitt
Facebook: https://www.facebook.com/ninanesbittm...
",2009-10-09 13:17:20,71354198,85,384000,UUTBBpYejPZ05x9NX40IbObQ
UCahPchrPVP185LhrXaADt6w,RUEL,just vibes ..,2016-01-27 07:41:55,329228581,53,1550000,UUahPchrPVP185LhrXaADt6w
