,Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments,Group,Channel_name,Subscribers,Comments_rate,Likes_rate,Views_rate
0,Walkerverse - The Tour (Trailer),2022-05-06T14:08:30Z,206768.0,18705.0,1220.0,famed,Alan Walker,41800000,0.00291866028708134,0.0447488038277512,0.49466028708133974
1,Walkerverse The Tour - Premiere Stream,2022-05-06T14:00:11Z,341236.0,36454.0,2510.0,famed,Alan Walker,41800000,0.006004784688995215,0.08721052631578947,0.8163540669856459
2,Alan Walker - The Drum (Official Music Video),2022-04-29T14:00:13Z,2572446.0,144067.0,7319.0,famed,Alan Walker,41800000,0.01750956937799043,0.3446578947368421,6.1541770334928225
3,Alan Walker - The Drum (Official Music Video) Trailer #shorts,2022-04-27T16:56:27Z,140413.0,17054.0,561.0,famed,Alan Walker,41800000,0.0013421052631578947,0.04079904306220096,0.3359162679425837
4,Calming Down CRAZY Crowd at Lollapalooza - Unmasked Vlog (#29),2022-04-22T12:01:03Z,286643.0,23234.0,1336.0,famed,Alan Walker,41800000,0.0031961722488038275,0.05558373205741627,0.6857488038277513
5,Playing Fortnite Battle Pass song at Lollapalooza #shorts #fortnite,2022-04-21T14:40:26Z,128157.0,11094.0,325.0,famed,Alan Walker,41800000,0.000777511961722488,0.02654066985645933,0.3065956937799043
6,Naruto run to catch our flight to Lollapalooza ✈️🏃 #shorts,2022-04-20T12:33:45Z,88384.0,8680.0,203.0,famed,Alan Walker,41800000,0.000485645933014354,0.02076555023923445,0.21144497607655505
7,Just follow the beat of my drum #shorts #india,2022-04-19T12:21:15Z,196863.0,17387.0,490.0,famed,Alan Walker,41800000,0.0011722488038277512,0.041595693779904304,0.47096411483253586
8,Crashing Into A Cactus Field In Mexico - Unmasked Vlog (#28),2022-03-18T14:00:10Z,632992.0,32241.0,2156.0,famed,Alan Walker,41800000,0.005157894736842105,0.07713157894736841,1.514334928229665
9,Crashing into a cactus field in Mexico 🇲🇽 Unmasked vlog #28 out tomorrow! #shorts #vlog,2022-03-17T17:41:31Z,194423.0,16346.0,328.0,famed,Alan Walker,41800000,0.000784688995215311,0.03910526315789474,0.4651267942583732
10,Alan Walker & Torine - Hello World (Official Music Video),2022-03-04T14:00:12Z,5051121.0,180508.0,7117.0,famed,Alan Walker,41800000,0.017026315789473685,0.43183732057416274,12.084021531100477
11,Shamelessly fishing for compliments #helloworld #shorts,2022-03-04T13:14:48Z,142868.0,12433.0,256.0,famed,Alan Walker,41800000,0.0006124401913875598,0.029744019138755982,0.34178947368421053
12,Putting my logo on the moon #helloworld #shorts #music,2022-03-03T12:35:32Z,176017.0,13575.0,278.0,famed,Alan Walker,41800000,0.0006650717703349283,0.03247607655502392,0.4210933014354067
13,Goodbye World #helloworld #shorts,2022-03-02T16:31:49Z,176466.0,15438.0,469.0,famed,Alan Walker,41800000,0.0011220095693779903,0.036933014354066984,0.4221674641148325
14,Alok & Alan Walker - Headlights (feat. KIDDO) [Official Lyric Video],2022-02-18T19:00:12Z,2963526.0,101298.0,4043.0,famed,Alan Walker,41800000,0.009672248803827752,0.24233971291866027,7.089775119617226
15,Alok feat. John Martin - Wherever You Go (Alan Walker Remix),2022-01-14T14:00:09Z,2006941.0,89923.0,4216.0,famed,Alan Walker,41800000,0.010086124401913876,0.21512679425837322,4.801294258373206
16,Alan Walker x Au/Ra x Torine (Live Performance) | NIO Day,2021-12-24T14:00:13Z,4456141.0,130530.0,4407.0,famed,Alan Walker,41800000,0.010543062200956937,0.31227272727272726,10.660624401913877
17,Alan Walker x Emma Steinbakken - Not You (Live Performance),2021-12-03T14:00:10Z,2552690.0,103741.0,4454.0,famed,Alan Walker,41800000,0.010655502392344498,0.24818421052631578,6.106913875598086
18,Alan Walker x Benjamin Ingrosso - Man On The Moon (Official Music Video),2021-11-26T14:00:14Z,11266847.0,203521.0,5739.0,famed,Alan Walker,41800000,0.013729665071770335,0.48689234449760765,26.95417942583732
19,Alan Walker - Drone Wars (Visualizer),2021-11-25T23:01:19Z,452019.0,12359.0,427.0,famed,Alan Walker,41800000,0.0010215311004784689,0.029566985645933012,1.0813851674641148
20,Alan Walker - Red Nexus Rising (Visualizer),2021-11-25T23:01:15Z,326273.0,7826.0,239.0,famed,Alan Walker,41800000,0.0005717703349282297,0.018722488038277512,0.7805574162679425
21,Alan Walker & Au/Ra - Out Of Love (Visualizer),2021-11-25T23:01:11Z,1162092.0,34085.0,1008.0,famed,Alan Walker,41800000,0.002411483253588517,0.08154306220095695,2.7801244019138758
22,Alan Walker & Hans Zimmer - Hummell Gets the Rockets (Alan Walker Remix) (Visualizer),2021-11-25T23:01:07Z,539736.0,23821.0,1220.0,famed,Alan Walker,41800000,0.00291866028708134,0.056988038277511956,1.2912344497607655
23,Alan Walker & Emma Steinbakken - Not You (Visualizer),2021-11-25T23:01:03Z,942863.0,38651.0,1666.0,famed,Alan Walker,41800000,0.0039856459330143545,0.0924665071770335,2.255653110047847
24,Alan Walker x JOP - OK (Visualizer),2021-11-25T23:00:44Z,709528.0,26398.0,1149.0,famed,Alan Walker,41800000,0.002748803827751196,0.06315311004784689,1.6974354066985646
25,Alan Walker x Winona Oak - World We Used To Know (Lyric Video),2021-11-12T14:00:11Z,4747515.0,181661.0,7684.0,famed,Alan Walker,41800000,0.018382775119617226,0.4345956937799043,11.357691387559807
26,Saving our Oceans with #TeamSeas - Unmasked Vlog (#27),2021-10-30T17:00:15Z,409085.0,37212.0,2680.0,famed,Alan Walker,41800000,0.0064114832535885164,0.08902392344497607,0.9786722488038277
27,World of Walker | Album trailer  (November 26),2021-10-22T13:00:11Z,964829.0,62602.0,3904.0,famed,Alan Walker,41800000,0.009339712918660287,0.14976555023923446,2.3082033492822966
28,"Alan Walker, K-391, Boy In Space - Paradise (Official @PUBG MOBILE Music Video)",2021-10-15T16:05:30Z,4290107.0,236884.0,7815.0,famed,Alan Walker,41800000,0.01869617224880383,0.5667081339712918,10.263413875598086
29,Alan Walker - Tomorrowland Digital 2021 (LIVE Performance),2021-10-08T15:00:12Z,1394471.0,65823.0,3575.0,famed,Alan Walker,41800000,0.008552631578947367,0.1574712918660287,3.3360550239234446
30,"Alan Walker, K-391, Boy in Space - Paradise (Live Performance)",2021-10-01T13:00:12Z,3055341.0,143984.0,5446.0,famed,Alan Walker,41800000,0.01302870813397129,0.3444593301435407,7.309428229665071
31,Aviation Movie (Full Movie Stream),2021-09-29T20:00:08Z,2605310.0,67678.0,2990.0,famed,Alan Walker,41800000,0.00715311004784689,0.1619090909090909,6.232799043062201
32,"Alan Walker,  K-391, Boy in Space - Paradise (Official Music Video)",2021-09-24T13:00:11Z,10491913.0,359821.0,16048.0,famed,Alan Walker,41800000,0.03839234449760765,0.8608157894736842,25.100270334928233
33,"Alan Walker,  K-391, Boy in Space - Paradise (Official Trailer)",2021-09-22T15:01:51Z,678584.0,43894.0,3198.0,famed,Alan Walker,41800000,0.007650717703349282,0.10500956937799041,1.6234066985645932
34,Alan Walker x Jamie Miller - Running Out Of Roses (Official Lyric Video),2021-09-10T13:00:12Z,6267327.0,188429.0,8917.0,famed,Alan Walker,41800000,0.021332535885167463,0.4507870813397129,14.993605263157894
35,Alan Walker x Jamie Miller - Running Out Of Roses (Trailer),2021-09-08T13:02:04Z,571564.0,36657.0,2279.0,famed,Alan Walker,41800000,0.005452153110047847,0.08769617224880383,1.367377990430622
36,Alan Walker ft. Georgia Ku - Don't You Hold Me Down (Trailer),2021-08-27T13:29:36Z,802522.0,28938.0,1215.0,famed,Alan Walker,41800000,0.0029066985645933015,0.06922966507177034,1.9199090909090908
37,Alan Walker & Georgia Ku - Don't You Hold Me Down (Official Music Video),2021-08-27T13:00:12Z,6116464.0,231573.0,11604.0,famed,Alan Walker,41800000,0.027760765550239236,0.5540023923444976,14.632688995215313
38,Alan Walker x Republic of Gamers Launch (Trailer),2021-08-18T13:39:00Z,654541.0,27334.0,1266.0,famed,Alan Walker,41800000,0.0030287081339712917,0.06539234449760765,1.5658875598086124
39,"Alan Walker x ROG Launch Stream - Join the republic, join the Walkers",2021-08-18T13:00:13Z,907878.0,71552.0,5008.0,famed,Alan Walker,41800000,0.011980861244019139,0.17117703349282298,2.171956937799043
40,Alan Walker x @Imanbek Music  - Sweet Dreams (BTS),2021-06-25T13:00:11Z,1203489.0,48461.0,3052.0,famed,Alan Walker,41800000,0.007301435406698564,0.1159354066985646,2.8791602870813398
41,Alan Walker x Imanbek - Sweet Dreams (Official Lyric Video),2021-06-18T13:00:13Z,2001482.0,86929.0,3884.0,famed,Alan Walker,41800000,0.009291866028708134,0.2079641148325359,4.788234449760766
42,Alan Walker x Imanbek - Sweet Dreams (Trailer),2021-06-11T15:07:35Z,843090.0,30213.0,1190.0,famed,Alan Walker,41800000,0.00284688995215311,0.0722799043062201,2.016961722488038
43,Alan Walker x Imanbek - Sweet Dreams (Official Music Video),2021-06-11T15:00:11Z,21943741.0,416856.0,25231.0,famed,Alan Walker,41800000,0.060361244019138754,0.9972631578947369,52.496988038277514
44,Aviation Movie - Conclusion,2021-06-05T12:00:11Z,3577748.0,61378.0,4129.0,famed,Alan Walker,41800000,0.00987799043062201,0.14683732057416268,8.559205741626794
45,Aviation Movie - Level 3,2021-06-03T12:00:11Z,1984926.0,44645.0,2862.0,famed,Alan Walker,41800000,0.00684688995215311,0.10680622009569378,4.7486267942583735
46,Aviation Movie - Level 2,2021-06-02T12:00:09Z,2141442.0,53487.0,3322.0,famed,Alan Walker,41800000,0.007947368421052632,0.12795933014354066,5.123066985645933
47,Aviation Movie - Level 1,2021-05-29T12:00:11Z,2878899.0,71213.0,4235.0,famed,Alan Walker,41800000,0.01013157894736842,0.17036602870813397,6.887318181818182
48,Aviation Movie (Trailer),2021-05-28T12:28:03Z,1968530.0,31351.0,1560.0,famed,Alan Walker,41800000,0.0037320574162679424,0.0750023923444976,4.709401913875598
49,Aviation Movie - Intro,2021-05-28T12:00:11Z,6510458.0,84654.0,4518.0,famed,Alan Walker,41800000,0.010808612440191389,0.2025215311004785,15.575258373205742
50,NEW: Believers Premiere Stream,2021-05-14T07:00:15Z,614226.0,34086.0,2146.0,famed,Alan Walker,41800000,0.005133971291866029,0.08154545454545455,1.4694401913875599
51,Alan Walker x @Conor Maynard - Believers (Official Montage),2021-05-14T07:00:14Z,8293896.0,172563.0,7596.0,famed,Alan Walker,41800000,0.01817224880382775,0.4128301435406699,19.841856459330142
52,Alan Walker x Conor Maynard - Believers (Trailer),2021-05-13T12:00:17Z,387596.0,35903.0,2683.0,famed,Alan Walker,41800000,0.006418660287081339,0.08589234449760766,0.9272631578947369
53,Alan Walker: Starting a New Chapter,2021-05-07T16:09:54Z,704916.0,51900.0,2322.0,famed,Alan Walker,41800000,0.005555023923444976,0.12416267942583732,1.686401913875598
54,@Walker Gaming (Trailer),2021-05-07T16:08:09Z,478791.0,33022.0,2975.0,famed,Alan Walker,41800000,0.007117224880382775,0.079,1.145433014354067
55,#FakeASmile Gameplay Music Video Contest WINNER: @Momo Studios,2021-05-03T15:00:36Z,466013.0,39898.0,3199.0,famed,Alan Walker,41800000,0.007653110047846891,0.09544976076555024,1.1148636363636364
56,"Milly, Farruko, Jay Wheeler, Nio Garcia & Amenazzy - No Te Enamores (Alan Walker Remix)",2021-04-16T12:00:15Z,1756092.0,87586.0,7486.0,famed,Alan Walker,41800000,0.01790909090909091,0.20953588516746413,4.201177033492823
57,Alan Walker x Sound Bites by Grubhub (Live Performance),2021-04-10T01:04:47Z,1276616.0,59111.0,5271.0,famed,Alan Walker,41800000,0.012610047846889951,0.1414138755980861,3.054105263157895
58,Au/Ra x Alan Walker - Dead Girl! (Official Lyric Video),2021-04-02T12:00:17Z,2805538.0,133702.0,8264.0,famed,Alan Walker,41800000,0.019770334928229667,0.3198612440191388,6.711813397129187
59,Alan Walker & salem ilese - Fake A Smile (@R3HAB Remix Visualizer),2021-03-19T12:00:12Z,1163840.0,60194.0,3348.0,famed,Alan Walker,41800000,0.00800956937799043,0.14400478468899522,2.7843062200956936
60,Alan Walker & salem ilese - Fake A Smile (Official Lyric Video),2021-03-13T12:00:12Z,1148842.0,76702.0,4893.0,famed,Alan Walker,41800000,0.01170574162679426,0.18349760765550238,2.7484258373205743
61,Alan Walker & Republic of Gamers present: For Those Who Dare – Gameplay Animation Challenge,2021-03-12T11:00:01Z,387461.0,25019.0,2227.0,famed,Alan Walker,41800000,0.005327751196172249,0.05985406698564593,0.9269401913875599
62,"🔴 Call of Duty LIVE with Alan Walker, Syndicate, EggertUnnar, Sven Fields",2021-03-05T18:20:05Z,1055165.0,77853.0,1871.0,famed,Alan Walker,41800000,0.004476076555023923,0.1862511961722488,2.524318181818182
