Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Walkerverse - The Tour (Trailer),2022-05-06T14:08:30Z,206768,18705,1220
Walkerverse The Tour - Premiere Stream,2022-05-06T14:00:11Z,341236,36454,2510
Alan Walker - The Drum (Official Music Video),2022-04-29T14:00:13Z,2572446,144067,7319
Alan Walker - The Drum (Official Music Video) Trailer #shorts,2022-04-27T16:56:27Z,140413,17054,561
Calming Down CRAZY Crowd at Lollapalooza - Unmasked Vlog (#29),2022-04-22T12:01:03Z,286643,23234,1336
Playing Fortnite Battle Pass song at Lollapalooza #shorts #fortnite,2022-04-21T14:40:26Z,128157,11094,325
Naruto run to catch our flight to Lollapalooza ✈️🏃 #shorts,2022-04-20T12:33:45Z,88384,8680,203
Just follow the beat of my drum #shorts #india,2022-04-19T12:21:15Z,196863,17387,490
Crashing Into A Cactus Field In Mexico - Unmasked Vlog (#28),2022-03-18T14:00:10Z,632992,32241,2156
Crashing into a cactus field in Mexico 🇲🇽 Unmasked vlog #28 out tomorrow! #shorts #vlog,2022-03-17T17:41:31Z,194423,16346,328
Alan Walker & Torine - Hello World (Official Music Video),2022-03-04T14:00:12Z,5051121,180508,7117
Shamelessly fishing for compliments #helloworld #shorts,2022-03-04T13:14:48Z,142868,12433,256
Putting my logo on the moon #helloworld #shorts #music,2022-03-03T12:35:32Z,176017,13575,278
Goodbye World #helloworld #shorts,2022-03-02T16:31:49Z,176466,15438,469
Alok & Alan Walker - Headlights (feat. KIDDO) [Official Lyric Video],2022-02-18T19:00:12Z,2963526,101298,4043
Alok feat. John Martin - Wherever You Go (Alan Walker Remix),2022-01-14T14:00:09Z,2006941,89923,4216
Alan Walker x Au/Ra x Torine (Live Performance) | NIO Day,2021-12-24T14:00:13Z,4456141,130530,4407
Alan Walker x Emma Steinbakken - Not You (Live Performance),2021-12-03T14:00:10Z,2552690,103741,4454
Alan Walker x Benjamin Ingrosso - Man On The Moon (Official Music Video),2021-11-26T14:00:14Z,11266847,203521,5739
Alan Walker - Drone Wars (Visualizer),2021-11-25T23:01:19Z,452019,12359,427
Alan Walker - Red Nexus Rising (Visualizer),2021-11-25T23:01:15Z,326273,7826,239
Alan Walker & Au/Ra - Out Of Love (Visualizer),2021-11-25T23:01:11Z,1162092,34085,1008
Alan Walker & Hans Zimmer - Hummell Gets the Rockets (Alan Walker Remix) (Visualizer),2021-11-25T23:01:07Z,539736,23821,1220
Alan Walker & Emma Steinbakken - Not You (Visualizer),2021-11-25T23:01:03Z,942863,38651,1666
Alan Walker x JOP - OK (Visualizer),2021-11-25T23:00:44Z,709528,26398,1149
Alan Walker x Winona Oak - World We Used To Know (Lyric Video),2021-11-12T14:00:11Z,4747515,181661,7684
Saving our Oceans with #TeamSeas - Unmasked Vlog (#27),2021-10-30T17:00:15Z,409085,37212,2680
World of Walker | Album trailer  (November 26),2021-10-22T13:00:11Z,964829,62602,3904
"Alan Walker, K-391, Boy In Space - Paradise (Official @PUBG MOBILE Music Video)",2021-10-15T16:05:30Z,4290107,236884,7815
Alan Walker - Tomorrowland Digital 2021 (LIVE Performance),2021-10-08T15:00:12Z,1394471,65823,3575
"Alan Walker, K-391, Boy in Space - Paradise (Live Performance)",2021-10-01T13:00:12Z,3055341,143984,5446
Aviation Movie (Full Movie Stream),2021-09-29T20:00:08Z,2605310,67678,2990
"Alan Walker,  K-391, Boy in Space - Paradise (Official Music Video)",2021-09-24T13:00:11Z,10491913,359821,16048
"Alan Walker,  K-391, Boy in Space - Paradise (Official Trailer)",2021-09-22T15:01:51Z,678584,43894,3198
Alan Walker x Jamie Miller - Running Out Of Roses (Official Lyric Video),2021-09-10T13:00:12Z,6267327,188429,8917
Alan Walker x Jamie Miller - Running Out Of Roses (Trailer),2021-09-08T13:02:04Z,571564,36657,2279
Alan Walker ft. Georgia Ku - Don't You Hold Me Down (Trailer),2021-08-27T13:29:36Z,802522,28938,1215
Alan Walker & Georgia Ku - Don't You Hold Me Down (Official Music Video),2021-08-27T13:00:12Z,6116464,231573,11604
Alan Walker x Republic of Gamers Launch (Trailer),2021-08-18T13:39:00Z,654541,27334,1266
"Alan Walker x ROG Launch Stream - Join the republic, join the Walkers",2021-08-18T13:00:13Z,907878,71552,5008
Alan Walker x @Imanbek Music  - Sweet Dreams (BTS),2021-06-25T13:00:11Z,1203489,48461,3052
Alan Walker x Imanbek - Sweet Dreams (Official Lyric Video),2021-06-18T13:00:13Z,2001482,86929,3884
Alan Walker x Imanbek - Sweet Dreams (Trailer),2021-06-11T15:07:35Z,843090,30213,1190
Alan Walker x Imanbek - Sweet Dreams (Official Music Video),2021-06-11T15:00:11Z,21943741,416856,25231
Aviation Movie - Conclusion,2021-06-05T12:00:11Z,3577748,61378,4129
Aviation Movie - Level 3,2021-06-03T12:00:11Z,1984926,44645,2862
Aviation Movie - Level 2,2021-06-02T12:00:09Z,2141442,53487,3322
Aviation Movie - Level 1,2021-05-29T12:00:11Z,2878899,71213,4235
Aviation Movie (Trailer),2021-05-28T12:28:03Z,1968530,31351,1560
Aviation Movie - Intro,2021-05-28T12:00:11Z,6510458,84654,4518
NEW: Believers Premiere Stream,2021-05-14T07:00:15Z,614226,34086,2146
Alan Walker x @Conor Maynard - Believers (Official Montage),2021-05-14T07:00:14Z,8293896,172563,7596
Alan Walker x Conor Maynard - Believers (Trailer),2021-05-13T12:00:17Z,387596,35903,2683
Alan Walker: Starting a New Chapter,2021-05-07T16:09:54Z,704916,51900,2322
@Walker Gaming (Trailer),2021-05-07T16:08:09Z,478791,33022,2975
#FakeASmile Gameplay Music Video Contest WINNER: @Momo Studios,2021-05-03T15:00:36Z,466013,39898,3199
"Milly, Farruko, Jay Wheeler, Nio Garcia & Amenazzy - No Te Enamores (Alan Walker Remix)",2021-04-16T12:00:15Z,1756092,87586,7486
Alan Walker x Sound Bites by Grubhub (Live Performance),2021-04-10T01:04:47Z,1276616,59111,5271
Au/Ra x Alan Walker - Dead Girl! (Official Lyric Video),2021-04-02T12:00:17Z,2805538,133702,8264
Alan Walker & salem ilese - Fake A Smile (@R3HAB Remix Visualizer),2021-03-19T12:00:12Z,1163840,60194,3348
Alan Walker & salem ilese - Fake A Smile (Official Lyric Video),2021-03-13T12:00:12Z,1148842,76702,4893
Alan Walker & Republic of Gamers present: For Those Who Dare – Gameplay Animation Challenge,2021-03-12T11:00:01Z,387461,25019,2227
"🔴 Call of Duty LIVE with Alan Walker, Syndicate, EggertUnnar, Sven Fields",2021-03-05T18:20:05Z,1055165,77853,1871
For Those Who Dare: World of Walker x Republic of Gamers,2021-02-25T14:00:14Z,1202619,97067,5670
Alan Walker x salem ilese - Fake A Smile (Official Trailer),2021-02-19T12:06:40Z,781803,32354,1607
Alan Walker x salem ilese - Fake A Smile (Official Music Video),2021-02-19T12:00:16Z,27597634,520332,26541
Alan Walker & ISÁK - Sorry (Albert Vishi Remix),2021-02-12T14:00:02Z,3214748,119643,8430
Alan Walker & ISÁK - Sorry (Official Music Video),2021-01-29T14:00:11Z,18310263,451734,24030
@VIZE  x Alan Walker – Space Melody (Edward Artemyev) feat. Leony (Official Music Video),2020-12-18T14:00:09Z,12764022,282493,12256
@VIZE  x Alan Walker – Space Melody (Edward Artemyev) ft. Leony (Official Lyric Video),2020-12-11T16:00:09Z,4629390,171668,12639
Alan Walker - World of Walker 2021,2020-12-04T14:00:09Z,2862452,192518,13505
Alan Walker - I Don't Wanna Go (Official Lyric Video),2020-11-20T17:00:10Z,7641729,313894,19362
Alan Walker x Alex Skrindo - Sky VIP (Remix),2020-10-26T13:04:26Z,4345867,176127,14850
Alan Walker - Different World (Full Album),2020-08-10T16:30:10Z,10378979,248652,14916
Alan Walker - LIVE @ Neversea Festival (2018) [FULL SET],2020-07-09T20:03:51Z,4632061,119874,6935
Alan Walker - LIVE @ Parookaville Festival (2019) [FULL SET],2020-07-02T18:00:11Z,6642228,134814,7446
Alan Walker - LIVE @ Untold Festival (2017) [FULL SET],2020-06-25T13:00:12Z,4734733,115052,6810
Alan Walker - LIVE @ the Bergen Aquarium (Golden Hour Festival) [Full Set],2020-06-18T13:00:11Z,4522109,135223,12900
BTS: Hans Zimmer & Alan Walker - TIME (Remix) Music Video,2020-05-30T21:00:41Z,1763497,63715,3483
Hans Zimmer & Alan Walker – Time (Official Remix),2020-05-22T07:00:10Z,25362687,549535,19387
INSIDE THE WORLD OF WALKER - Ep. 2 - Heading Home BTS,2020-05-12T13:15:12Z,695879,21244,1226
THE BEGINNING OF THE END - Ep. 1 - Heading Home BTS,2020-05-12T13:15:12Z,398468,12280,583
THE FINAL CHAPTER - Ep. 3 . Heading Home BTS,2020-05-12T13:15:12Z,232645,9324,569
"THE WAY OUT - Ep. 4 - Alone, Pt. II BTS",2020-05-08T13:05:18Z,492570,12270,754
"PITCH BLACK - Ep. 3 - Alone, Pt. II BTS",2020-05-08T13:04:30Z,186237,6468,320
"ARRIVING IN VIETNAM - Ep. 2 - Alone, Pt. II BTS",2020-05-08T13:03:37Z,176191,7450,566
"THE IMPOSSIBLE - Ep. 1 - Alone, Pt. II BTS",2020-05-08T13:03:13Z,504363,26224,1696
88 Questions with Alan Walker,2020-04-26T10:00:29Z,1492522,75815,6215
Alan Walker & Ruben – Heading Home (Live at Château de Fontainebleau),2020-04-15T10:00:11Z,5608829,197478,9091
Alan Walker & Ruben - Heading Home (Fan Reaction & Lyric Video),2020-04-06T10:55:12Z,718999,41948,3521
Alan Walker & Ruben – Heading Home (Official Music Video),2020-04-01T09:00:10Z,25860135,632036,25602
Alan Walker & Ruben – Heading Home (Trailer),2020-03-30T14:21:36Z,741143,50310,5727
WE BROKE THE ONLY SNOWMAN ON XGAMES - Unmasked Vlog #26,2020-03-22T16:21:57Z,922431,45336,3763
INDIA - Unmasked Vlog (#25) - Aviation Tour Part 4/4,2020-03-11T09:29:10Z,1142670,70217,4522
"Alan Walker, K-391 & Ahrix - End of Time (Live @ X Games Norway 2020)",2020-03-09T08:03:01Z,4238429,155159,7089
"Alan Walker & Ava Max - Alone, Pt. II (Live at Château de Fontainebleau)",2020-02-17T16:00:10Z,135879346,1411824,29262
"Alone, Pt. II - THE VR EXPERIENCE",2020-01-20T08:45:01Z,1374118,69934,2887
NORWAY - Unmasked Vlog #24 - Part 3/4 Aviation Tour Edition,2020-01-08T22:20:15Z,1016526,48161,3556
"Alan Walker & Ava Max - Alone, Pt. II",2019-12-27T08:00:10Z,249844924,4318183,113204
"Alan Walker & Ava Max - Alone, Pt. II (Trailer)",2019-12-24T08:01:07Z,1637096,99046,5472
The Walker Excavations (new online experience),2019-12-18T15:16:58Z,494152,30174,1460
CHINA - Unmasked Vlog (#23) - Aviation Tour Part 2/4,2019-11-23T15:00:06Z,1079252,51643,2798
Alan Walker - Avem (The Aviation Theme),2019-11-02T08:57:09Z,6322420,200047,8786
BEFORE THE SHOW - Unmasked Vlog (#22) - Aviation Tour Part 1/4,2019-10-28T18:00:51Z,654807,34458,2298
"Alan Walker, K-391, Tungevaag & Mangoo - PLAY REMIX Documentary",2019-10-10T07:26:37Z,555411,28361,1425
SAY HELLO TO MY BODYGUARD - Unmasked Vlog (#21),2019-10-06T18:06:12Z,635781,33517,2789
"Alan Walker, K-391, Tungevaag, Mangoo - PLAY (Alan Walker x Niya Remix)",2019-10-04T07:26:30Z,5843405,203698,7435
Alan Walker - Buggy in VR 180 (Hidden Link),2019-10-01T20:02:28Z,672169,30584,1841
My first visit to the IAA Motor Show!,2019-09-30T07:04:42Z,714232,12779,565
Guy Sebastian - Choir (Alan Walker Remix),2019-09-27T07:00:14Z,4346556,213297,8364
Alan Walker: Aviation Tour (Trailer #1),2019-09-13T13:56:18Z,575586,39294,2048
The MATING CALL - Unmasked Vlog (#20),2019-09-11T22:11:04Z,4287592,160657,5318
"Alan Walker, K-391, Tungevaag & Mangoo - #PRESSPLAY",2019-09-02T13:59:28Z,1187849,60240,3153
"Alan Walker, K-391, Tungevaag, Mangoo - PLAY (Alan Walker's Video)",2019-08-30T07:00:13Z,71859165,1222601,45678
Alan Walker - LIVE VR 180 Experience,2019-08-21T19:25:53Z,1240537,47629,2346
"p74y.com – Eurodancer: Alan Walker, K-391, Tungevaag & Mangoo",2019-08-17T18:03:44Z,896102,48514,2351
PLAYED MY NEW SINGLE LIVE FOR THE FIRST TIME!!  - Unmasked Vlog (#19),2019-08-02T18:28:47Z,1023082,59433,3244
Alan Walker - On My Way & Live Fast (Live at #PUBGMobile #PMCO2019 in Berlin),2019-07-26T14:47:15Z,19229073,628496,21481
Alan Walker x A$AP Rocky - Live Fast (PUBGM) | Lyric Video,2019-07-25T07:49:01Z,27107387,770866,29815
