Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
BTS (방탄소년단) MBTI Lab 1,2022-05-06T11:00:01Z,5535680,871392,24780
BTS (방탄소년단) ‘Proof’ Logo Trailer,2022-05-04T15:02:57Z,8569885,1968508,75070
[EPISODE] ‘That That (prod. & ft. SUGA of BTS)’ MV Shoot Sketch - BTS (방탄소년단),2022-05-04T10:00:05Z,6404005,959315,23471
[SPECIAL CLIP] BTS (방탄소년단) ‘Chicken Noodle Soup’ @ BTS 2021 MUSTER SOWOOZOO,2022-04-28T11:00:03Z,10208786,1320178,41739
[PREVIEW] BTS (방탄소년단) ‘2021 MUSTER SOWOOZOO’ SPOT,2022-04-25T15:00:01Z,3618249,760599,19872
BTS (방탄소년단) 'Butter' @ The 64th GRAMMY Awards,2022-04-23T01:00:03Z,13530442,1532842,61505
BTS (방탄소년단) We Are Bulletproof,2022-04-17T07:00:14Z,5587690,1501030,60486
BTS (방탄소년단) PERMISSION TO DANCE ON STAGE - LAS VEGAS Welcome Message,2022-04-01T03:00:03Z,3333347,533008,16165
BTS (방탄소년단) PERMISSION TO DANCE THE CITY - LAS VEGAS,2022-03-29T07:00:06Z,2666488,546536,11977
BTS (방탄소년단) PIANO SHEET MUSIC Official Trailer,2022-03-28T02:00:01Z,2208867,552933,13140
BTS (방탄소년단) ‘DECO KIT’ Photoshoot Sketch,2022-03-21T09:00:08Z,3206770,641612,19871
A little taste😋 of #BTS_Dynamite on the 1B Spotify Plaque🍽️🥳 #BTS #방탄소년단 #다마스포티파이10억스트리밍_감사합니다💜,2022-03-15T10:00:32Z,4248273,791144,13718
BTS (방탄소년단) PERMISSION TO DANCE ON STAGE - LIVE PLAY in LAS VEGAS SPOT,2022-03-08T01:00:05Z,3546588,648117,17313
BTS (방탄소년단) PTD ON STAGE - SEOUL: LIVE VIEWING 추가티켓 오픈 Announcement,2022-03-04T01:00:01Z,2966185,509287,11931
[PREVIEW] BTS (방탄소년단) ‘DECO KIT’ SPOT,2022-03-02T15:00:01Z,2790050,697138,15389
BTS (방탄소년단) PTD ON STAGE - SEOUL: LIVE VIEWING Announcement (ENG),2022-03-02T14:00:08Z,3331419,551460,14241
BTS (방탄소년단) PTD ON STAGE - SEOUL: LIVE VIEWING Announcement (KOR),2022-03-02T14:00:01Z,1609718,384806,8864
[BANGTAN BOMB] 95z Having Fun - BTS (방탄소년단),2022-02-22T09:00:01Z,4545376,720336,20270
BTS (방탄소년단) PTD ON STAGE - SEOUL: LIVE VIEWING SPOT,2022-02-16T15:00:07Z,3520136,778740,21021
[EPISODE] BTS (방탄소년단) @ 2021 iHeartRadio Jingle Ball,2022-02-12T07:00:01Z,4222410,677334,18262
[BANGTAN BOMB] BTS’s Chaotic Break Time - BTS (방탄소년단),2022-02-09T09:00:01Z,4330080,732590,20716
[EPISODE] BTS (방탄소년단) @ 2021 American Music Awards,2022-02-01T09:00:02Z,7383465,979163,31486
[BANGTAN BOMB] Photographer Hobi - BTS (방탄소년단),2022-01-25T09:00:02Z,4454697,705628,16622
[BANGTAN BOMB] Lunch Time with Chipotle - BTS (방탄소년단),2022-01-23T09:00:01Z,7451313,901392,22362
[BANGTAN BOMB] Jin and Jung Kook Play with a Camera - BTS (방탄소년단),2022-01-21T10:00:05Z,3660914,639211,12146
[BANGTAN BOMB] Teletubbies and the Merry-Go Round - BTS (방탄소년단),2022-01-19T09:00:02Z,4037664,720259,16086
[BANGTAN BOMB] The Late Late Show Behind the Scenes - BTS (방탄소년단),2022-01-15T11:00:03Z,4308199,697049,13714
