Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
BLACKPINK 2022 WELCOMING COLLECTION PREVIEW,2022-02-14T07:00:05Z,7651303,873916,41780
CALLING ALL BLINKS: CLIMATE ACTION IN YOUR AREA! #COP26,2021-11-03T02:00:01Z,12032408,1126911,41884
LISA - 'SG' DANCE HIGHLIGHT CLIP,2021-10-30T07:00:00Z,21427318,1736801,16381
LISA - 'MONEY' DANCE CHALLENGE,2021-10-28T07:00:06Z,24694287,1969487,17329
BLACKPINK Performs Stay | Dear Earth,2021-10-23T22:36:00Z,11527238,1516058,60934
BLACKPINK Talks Climate Change  | Dear Earth,2021-10-23T21:04:00Z,3229600,648243,23068
LISA - 'MONEY' DANCE PRACTICE VIDEO,2021-10-10T15:00:14Z,77613677,3203684,77191
LISA - 'LALISA' 0926 SBS Inkigayo,2021-09-26T09:57:55Z,18701717,1367098,41029
LISA - 'MONEY' EXCLUSIVE PERFORMANCE VIDEO,2021-09-23T15:00:16Z,564782226,11473508,437655
LISA - FIRST SINGLE ALBUM LALISA ALBUM UNBOXING,2021-09-18T00:00:12Z,5936486,702318,20206
LISA - 'LALISA' DANCE PRACTICE VIDEO,2021-09-16T15:00:31Z,61733431,2736707,63118
LISA - 'LALISA' JACKET MAKING FILM,2021-09-16T00:00:02Z,6639707,852606,20428
LISA - 'LALISA' M/V HIGHLIGHT CLIP #3,2021-09-13T04:00:00Z,8068546,929748,6160
LISA - 'LALISA' SPECIAL STAGE,2021-09-12T15:00:00Z,76394000,3325783,93062
LISA - 'LALISA' M/V HIGHLIGHT CLIP #2,2021-09-12T04:00:11Z,7079249,909126,6389
LISA - 'LALISA' M/V HIGHLIGHT CLIP #1,2021-09-11T04:00:13Z,8696260,1181822,8766
LISA - 'LALISA' M/V MAKING FILM,2021-09-11T00:00:12Z,13026981,1793490,43491
LISA - 'LALISA' M/V,2021-09-10T04:00:13Z,478605307,15690109,2728926
BLACKPINK - 'Lovesick Girls-JP Ver.-' 0820 MUSIC STATION SUMMER FES,2021-09-08T15:00:30Z,8517259,824112,25434
LISA - 'LALISA' M/V TEASER,2021-09-07T15:00:01Z,27006543,2571636,229651
BLACKPINK CARD by BC CARD,2021-09-07T02:30:01Z,2549958,442622,15032
BLACKPINK 5th ANNIVERSARY [4+1] POP-UP WITH BLINK,2021-09-03T08:00:05Z,3107616,599462,21980
LISA - FIRST SINGLE ALBUM LALISA VISUAL TEASER #3,2021-09-02T15:00:07Z,12460148,1613686,80451
LISA - FIRST SINGLE ALBUM LALISA VISUAL TEASER #2,2021-08-31T15:00:09Z,10623264,1622376,64690
LISA - FIRST SINGLE ALBUM LALISA VISUAL TEASER #1,2021-08-27T15:00:21Z,14672396,2060917,277177
BLACKPINK CARD BALANCE GAME by BC CARD,2021-08-11T02:00:14Z,3029873,442110,28152
BLACKPINK 5th ANNIVERSARY [4+1] 2021 SUMMER DIARY PREVIEW,2021-08-03T05:00:03Z,4454365,729995,30965
BLACKPINK - 「How you like that -JP Ver.-」 MV,2021-08-02T23:00:03Z,19963105,1381643,58995
BLACKPINK THE MOVIE - TICKET SALES OPENING IN SOUTH KOREA,2021-07-29T05:00:06Z,2729680,448432,18128
BLACKPINK - 5th ANNIVERSARY [4+1] THE MOVIE SCREENX TRAILER,2021-07-28T09:00:23Z,2238080,442398,16439
BLACKPINK - JAPAN 1st FULL ALBUM 「THE ALBUM -JP Ver.-」 SAMPLER,2021-07-26T21:00:11Z,2211997,412440,26214
BLACKPINK -「THE ALBUM - JP Ver. - 」-Teaser,2021-07-23T09:00:05Z,2817758,475612,23782
BLACKPINK CARD by BC CARD,2021-07-19T02:00:05Z,92242,114126,1506
BLACKPINK - 5th ANNIVERSARY [4+1] THE MOVIE MAIN TRAILER,2021-07-14T09:00:18Z,6108130,983001,49151
BLACKPINK - 「Lovesick Girls - JP Ver.-」 MV,2021-07-12T23:00:18Z,19053751,1735376,159262
BLACKPINK - 「THE ALBUM -JP Ver.-」 SPECIAL EDITION Teaser,2021-07-09T09:00:00Z,3748056,672098,25806
BLACKPINK - 「THE ALBUM -JP Ver.-」 Concept Photo Teaser,2021-07-01T09:00:31Z,8224963,1020125,42722
BLACKPINK x Today's Top Hits,2021-06-24T15:00:03Z,10793955,1192429,49550
BLACKPINK - 5th ANNIVERSARY [4+1 PROJECT] ANNOUNCEMENT VIDEO,2021-06-23T01:00:02Z,5461124,861574,51154
BLACKPINK ­- JAPAN 1st FULL ALBUM 「THE ALBUM -JP Ver.-」,2021-06-02T09:00:16Z,5210629,589449,32925
BLACKPINK - 2021 [THE SHOW] DVD & KiT VIDEO RELEASE,2021-06-01T07:00:31Z,5035932,724075,46794
LISA PHOTOBOOK [0327] VOL.2 -SECOND EDITION- Online Fansigning Event,2021-04-14T05:00:09Z,5144896,630460,36193
ROSÉ - 'Gone' M/V MAKING FILM,2021-04-07T15:00:12Z,8466133,781933,30642
ROSÉ - 'Gone' M/V,2021-04-04T15:00:06Z,190859068,6306448,1064469
ROSÉ - 'On The Ground' 0404 SBS Inkigayo,2021-04-04T11:11:17Z,5545204,530392,24983
ROSÉ - 'On The Ground' 0328 SBS Inkigayo : NO.1 OF THE WEEK,2021-03-28T10:06:25Z,5710279,562053,25165
How ROSÉ’S Song “On The Ground” Makes Her Feel | RELEASED,2021-03-23T14:30:02Z,1160196,184061,8939
ROSÉ - 'On The Ground' Dance Performance,2021-03-22T15:00:28Z,84071898,2984724,103198
ROSÉ - 'On The Ground' 0321 SBS Inkigayo,2021-03-21T09:54:20Z,9939156,796139,30479
Getting to Know ROSÉ | RELEASED,2021-03-17T13:00:12Z,2382494,304937,8777
ROSÉ - FIRST SINGLE ALBUM -R- MAKING FILM,2021-03-16T00:00:06Z,5728595,806398,20624
ROSÉ - 'On The Ground' 0314 SBS Inkigayo,2021-03-14T10:16:46Z,25357474,1965979,77094
ROSÉ - 'Gone' 0314 SBS Inkigayo,2021-03-14T10:16:38Z,13434793,1407429,46647
ROSÉ - 'On The Ground' M/V MAKING FILM,2021-03-13T00:00:10Z,7780158,1092655,38003
ROSÉ - 'On The Ground' M/V,2021-03-12T05:00:15Z,278800936,10270667,2249754
ROSÉ - 'On The Ground' M/V TEASER #2,2021-03-09T15:00:08Z,17888390,1656736,102881
ROSÉ - 'On The Ground' M/V TEASER,2021-03-07T15:00:11Z,18015348,1854066,176361
CALLING ALL BLINKS: CLIMATE ACTION IN YOUR AREA! #COP26,2021-02-26T06:00:08Z,4330629,635221,41720
ROSÉ - COMING SOON,2021-01-25T15:00:10Z,54001114,4247063,619942
BLACKPINK - 'THE SHOW' MESSAGE VIDEO #3,2021-01-08T05:00:11Z,6480909,625780,42210
BLACKPINK - ‘THE SHOW’ VIEWING TIP,2021-01-08T02:00:01Z,4960064,572685,31035
BLACKPINK - 'THE SHOW' MESSAGE VIDEO #2,2020-12-22T02:00:02Z,3900595,441731,28769
BLACKPINK 2021 SEASON'S GREETINGS PREVIEW,2020-12-18T07:00:03Z,4138484,556624,20676
BLACKPINK - ‘THE SHOW’ GUIDE VIDEO,2020-12-17T07:36:53Z,3131936,323746,20320
BLACKPINK - 'THE SHOW' TRAILER #2,2020-12-17T03:00:06Z,4491234,552478,22001
BLACKPINK - ‘THE SHOW’ POSTPONEMENT ANNOUNCEMENT,2020-12-17T01:00:02Z,4037529,499295,22385
블링크들 주목! 기후변화에 대해 함께 배워 볼 시간! #COP26,2020-12-09T09:00:38Z,2509714,404085,21004
CALLING ALL BLINKS: CLIMATE ACTION IN YOUR AREA! #COP26,2020-12-09T09:00:30Z,2635349,485751,23560
BLACKPINK - 'THE SHOW' MESSAGE VIDEO,2020-12-03T02:00:12Z,4481115,573847,26056
BLACKPINK - ‘THE SHOW’ TRAILER,2020-12-03T02:00:01Z,4706493,628826,14196
BLACKPINK - THE INVITATION,2020-12-01T03:00:04Z,5286224,724776,44145
BLACKPINK - AROUND THE WORLD,2020-11-23T00:00:05Z,9839252,1126446,138913
BLACKPINK - [THE ALBUM] ONLINE FANSIGNING EVENT,2020-10-31T01:00:01Z,8354216,758912,33704
BLACKPINK - ‘Lovesick Girls’ 1025 SBS Inkigayo : NO.1 OF THE WEEK,2020-10-25T08:44:48Z,28591047,1373185,53078
BLACKPINK - '24/365 with BLACKPINK' EP.16,2020-10-24T00:00:02Z,10463431,792513,33416
BLACKPINK - 'Lovesick Girls' Jimmy Kimmel Live,2020-10-21T08:00:00Z,47739027,2073733,59120
BLACKPINK - ‘Lovesick Girls’ 1018 SBS Inkigayo : NO.1 OF THE WEEK,2020-10-18T09:38:56Z,8477676,750817,28243
BLACKPINK - '24/365 with BLACKPINK' EP.15,2020-10-17T00:00:03Z,7302982,643441,20305
BLACKPINK - 'THE ALBUM' JACKET MAKING FILM,2020-10-15T07:00:13Z,9077075,905978,23853
BLACKPINK - ‘Lovesick Girls’ 1011 SBS Inkigayo : NO.1 OF THE WEEK,2020-10-11T09:27:40Z,15422625,1273228,36052
BLACKPINK - ‘Pretty Savage’ 1011 SBS Inkigayo,2020-10-11T09:27:34Z,254508693,4543812,136116
BLACKPINK - '24/365 with BLACKPINK' EP.14,2020-10-10T00:00:05Z,11376137,820351,23993
