Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
A Party Ain’t A Party Without SelvaRey,2022-05-05T20:47:25Z,85949,6956,139
Bruno Mars & Anderson .Paak as Silk Sonic - 777 (64th GRAMMY Awards Performance),2022-04-19T14:00:00Z,2788042,81288,2736
"Bruno Mars, Anderson .Paak, Silk Sonic - Love's Train (Con Funk Shun Cover) [Official Audio]",2022-02-14T20:00:09Z,8018145,177721,7844
Bruno Mars & Anderson .Paak as Silk Sonic - Smokin Out The Window (LIVE BET Soul Train Awards 2021),2021-11-29T03:42:11Z,5609351,156697,4247
Bruno Mars & Anderson .Paak as Silk Sonic - Fly As Me (LIVE BET Soul Train Awards 2021),2021-11-29T01:29:04Z,12529656,279893,8287
Bruno Mars & Anderson .Paak as Silk Sonic - Smokin Out The Window (LIVE American Music Awards 2021),2021-11-22T07:00:10Z,10474593,335119,10714
"Bruno Mars, Anderson .Paak, Silk Sonic - 777 [Official Audio]",2021-11-12T05:00:18Z,3118177,67916,2621
"Bruno Mars, Anderson .Paak, Silk Sonic - Blast Off [Official Audio]",2021-11-12T05:00:18Z,4691820,80834,3671
"Bruno Mars, Anderson .Paak, Silk Sonic - Fly As Me [Official Audio]",2021-11-12T05:00:01Z,4179915,93155,3244
"Bruno Mars, Anderson .Paak, Silk Sonic - Put On A Smile [Official Audio]",2021-11-12T05:00:01Z,5066948,113164,4713
"Bruno Mars, Anderson .Paak, Silk Sonic - After Last Night w/ Thundercat & Bootsy [Official Audio]",2021-11-12T05:00:00Z,6543798,115345,4932
"Bruno Mars, Anderson .Paak, Silk Sonic - Smokin Out The Window [Official Music Video]",2021-11-05T04:00:11Z,116283834,2013706,58795
🍹🌴✨,2021-10-12T23:56:21Z,364303,21862,353
Skate at DiscOasis ✨🌴,2021-08-27T18:41:54Z,479860,23364,267
The tropical taste test,2021-08-20T15:33:55Z,713730,45063,681
Sippin’ Poolside,2021-08-18T17:39:13Z,981168,70783,1093
"Bruno Mars, Anderson .Paak, Silk Sonic - Skate [Official Music Video]",2021-07-30T04:00:03Z,88682638,1438651,45832
"Bruno Mars, Anderson .Paak, Silk Sonic - Leave The Door Open (Live from the BET Awards)",2021-06-28T07:00:11Z,45360906,677708,16736
"Bruno Mars, Anderson .Paak, Silk Sonic- Leave The Door Open (Live from the iHeartRadio Music Awards)",2021-05-30T00:45:33Z,24292070,590996,17934
"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [Official Lyric Video]",2021-04-02T21:20:41Z,3315942,113773,3751
"Bruno Mars, Anderson .Paak, Silk Sonic - Leave The Door Open (Live) [Official Audio]",2021-04-02T04:00:00Z,3150321,91129,3699
Bruno Mars & Anderson .Paak - Little Richard Tribute Performance [LIVE from the 63rd GRAMMYs ® 2021],2021-03-15T19:00:23Z,1584122,54659,2862
"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [LIVE from the 63rd GRAMMYs ® 2021]",2021-03-15T03:09:39Z,40614233,813340,32954
"Bruno Mars, Anderson.Paak, Silk Sonic - Silk Sonic Intro [Official Audio]",2021-03-05T05:00:11Z,4893771,150018,4760
"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [Official Video]",2021-03-05T05:00:00Z,536613090,6453857,191918
Bruno Mars - Count on Me (Official Lyric Video),2020-10-02T17:37:52Z,19140289,391791,10159
Bruno Mars - Marry You (Official Lyric Video),2020-10-02T17:37:45Z,45414318,484060,7763
Bruno Mars - Runaway Baby (Official Lyric Video),2020-10-02T17:37:41Z,9565662,171336,4475
Bruno Mars - Talking To The Moon (Official Lyric Video),2020-10-02T17:37:37Z,123386325,1863168,31980
Bruno Mars - Our First Time (Official Lyric Video),2020-10-02T17:37:34Z,4881645,91144,3814
"Gucci Mane, Bruno Mars, Kodak Black - Wake Up In The Sky (Official Audio)",2018-09-14T04:00:30Z,42338481,608018,17478
Bruno Mars - Best of #FinesseFridays (Official Video),2018-03-23T19:02:00Z,5218501,94179,2201
Bruno Mars - Finesse (Pink Panda Remix) (feat. Cardi B) (Official Audio),2018-03-23T04:04:58Z,2011238,42208,2247
Bruno Mars - Finesse (James Hype Remix) (feat. Cardi B) (Official Audio),2018-03-23T04:04:58Z,1036616,18543,1201
Bruno Mars - Finesse (Remix) (feat. Cardi B) (Official Music Video),2018-01-04T04:49:43Z,797355530,5932960,263705
Bruno Mars - Just The Way You Are (One Voice: Somos Live!) (Official Live Performance),2017-10-15T01:18:57Z,13903678,364199,15107
Bruno Mars - Versace on the Floor (Official Music Video),2017-08-14T01:24:48Z,388649047,2541309,96557
