Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Cabo Rojo 🇵🇷 Gracias #Rumbaton,2022-05-09T23:40:07Z,39538,5424,169
Trabajar #xultimavez junto a Bad Bunny,2022-04-12T18:42:41Z,249669,20591,387
Daddy Yankee x Bad Bunny - X Última Vez (Official Video),2022-04-07T00:00:07Z,54211069,737794,14957
4.06.2022 🐐 & 🐰,2022-04-05T21:26:04Z,213641,20674,411
Daddy Yankee - Campeón (Video Lyric),2022-03-25T00:14:12Z,8048684,294703,7781
Daddy Yankee x Myke Towers - Pasatiempo (Video Lyric),2022-03-25T00:13:59Z,8052563,279461,4301
Daddy Yankee x Bad Bunny - X Última Vez (Video Lyric),2022-03-25T00:13:49Z,27526996,816433,10546
Daddy Yankee x Sech - Para Siempre (Video Lyric),2022-03-25T00:13:42Z,6571262,260672,4966
Daddy Yankee -  Uno Quitao y Otro Puesto (Video Lyric),2022-03-25T00:12:27Z,4531866,221405,6885
Daddy Yankee - Enchuletiao (Video Lyric),2022-03-25T00:10:40Z,3359680,157867,4070
Daddy Yankee - El Rey de lo Imperfecto (Video Lyric),2022-03-25T00:09:54Z,3171155,146110,3356
Daddy Yankee - Bloke (Video Lyric),2022-03-25T00:09:22Z,2312806,117579,2684
Daddy Yankee x El Alfa x Lil Jon - Bombón (Official Video),2022-03-25T00:00:56Z,33765889,696596,15310
Daddy Yankee x Natti Natasha x Becky G - Zona Del Perreo (Official Video),2022-03-25T00:00:56Z,26476920,610231,18746
Daddy Yankee x Pitbull - Hot (Official Video),2022-03-25T00:00:56Z,23505938,524883,15257
Daddy Yankee - La Ola (Official Video),2022-03-25T00:00:56Z,34351293,359968,6219
Daddy Yankee x Rauw Alejandro x Nile Rodgers - Agua (Official Video),2022-03-25T00:00:56Z,43151409,529465,10172
Daddy Yankee - El Abusador Del Abusador (Official Video),2022-03-25T00:00:56Z,33843504,342029,8138
Daddy Yankee - Impares (Official Video),2022-03-25T00:00:56Z,28960195,247245,6152
Daddy Yankee - Rumbatón (Official Video),2022-03-25T00:00:56Z,49850551,822761,26024
Daddy Yankee - REMIX (Video Oficial),2022-03-25T00:00:56Z,27910749,564323,12932
hoy 8pm hacemos historia #LEGENDADDY,2022-03-24T20:02:16Z,215913,25975,609
AL FIN VEO LA META / DADDY YANKEE ANUNCIA SU RETIRO,2022-03-20T21:59:36Z,1999543,190265,16638
Daddy Yankee - Dick Clark's New Year's Rockin' Eve 2021,2022-01-01T22:55:47Z,1662487,53588,1953
La última ronda - Daddy Yankee,2021-12-30T21:35:47Z,1779659,78133,4204
#MeteleAlPerreo #1 monitorLatino México,2021-12-14T23:12:36Z,76111,5288,69
"A la vez que una perrea, se unen y perrea to'a #MeteleAlPerreo",2021-12-01T01:31:07Z,125257,6952,137
Siempre listos pa’ dance 🕺🏻 💃🏻  #MeteleAlPerreo,2021-10-25T23:20:23Z,210870,9358,91
Están brutales los movimientos #MeteleAlPerreo,2021-10-21T16:42:29Z,117820,6573,60
#ElGranRobo2,2021-10-08T21:32:43Z,262931,19554,486
Daddy Yankee - Métele al Perreo  En Vivo Latin Billboards 2021,2021-09-24T19:22:45Z,1306853,42788,2053
#MeteleAlPerreo #daddyyankee,2021-09-07T16:28:56Z,109390,5936,94
Daddy Yankee - MÉTELE AL PERREO (Official Video),2021-09-03T00:00:04Z,81464539,463264,29363
Mañana 🎵,2021-09-02T04:33:41Z,334811,29383,1804
Andamos de misión,2021-07-20T12:14:26Z,426834,32256,790
New music video - Súbele el volumen,2021-07-16T05:05:52Z,259544,16070,319
"Daddy Yankee, Myke Towers, Jhay Cortez- Súbele el volumen",2021-07-16T04:10:55Z,30107767,340995,137569
Daddy Yankee - DY Mix @Sprite,2021-07-14T16:13:24Z,236666,9740,146
Daddy Yankee - Daddy Mix @Sprite,2021-07-10T20:39:43Z,597312,22073,633
#Problema,2021-07-04T12:26:39Z,158574,10571,228
Daddy Yankee - #Problema @Lunytunes version,2021-05-07T18:41:39Z,327210,18432,928
Daddy Yankee - Fan Fridays #ElPony 🦄,2021-05-07T18:20:00Z,253340,16923,1359
Daddy Yankee - El Pony (Video Oficial),2021-04-23T04:00:00Z,60546131,729105,32444
Daddy Yankee - Problema | Mira Quien Baila En Vivo,2021-04-19T22:00:12Z,1575161,56278,2556
Daddy Yankee - Problema | Good Morning America En Vivo desde Miami,2021-03-10T17:00:18Z,3539521,118240,3992
Daddy Yankee - Problema | Jimmy Kimmel En Vivo desde Miami,2021-03-09T05:37:01Z,5550368,127778,5019
Daddy Yankee - Problema (Video Oficial),2021-02-26T04:00:01Z,170137930,1595190,70095
Daddy Yankee y Marc Anthony (Premio Lo Nuestro 2021 ) - En Vivo,2021-02-19T06:46:49Z,11283092,132600,4574
Daddy Yankee - 2K20 Live Parte 3,2020-12-25T01:00:11Z,26414387,230553,8179
Daddy Yankee - CORONA | Freestyle (Video Oficial),2020-12-25T00:00:05Z,16715430,653105,28405
Daddy Yankee - Gasolina (Video Lyric Oficial),2020-12-18T21:00:24Z,7575037,255216,8879
Daddy Yankee - 2K20 Live Parte 2,2020-12-13T01:00:26Z,43464409,394601,12159
Daddy Yankee & Marc Anthony - De Vuelta Pa' La Vuelta (Video Oficial),2020-12-11T00:00:07Z,240421827,1485812,41864
