Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Justin Bieber - Honest (feat. Don Toliver) (Official Lyric Video),2022-04-29T16:00:34Z,587008,46920,2655
"April 24, 2022",2022-04-24T17:17:21Z,367330,36515,1071
Sometimes life slaps you in the face,2022-04-15T22:32:48Z,345987,27993,1095
Come into my world 🌎,2022-04-13T16:07:59Z,227176,27900,825
"April 2, 2022",2022-04-03T01:46:36Z,310663,34000,755
"You're my rock, my Colorado",2022-03-25T17:09:59Z,402580,43381,1064
Justin Bieber - The Justice Tour Represents Equality for ALL,2022-03-09T21:45:07Z,930306,62137,3050
Justin Bieber & Omah Lay - Attention (Official Video),2022-03-04T05:00:19Z,6499275,302661,13661
Wave Presents: Justin Bieber - An Interactive Virtual Experience,2021-11-22T23:04:27Z,1186696,73460,3924
#JusticeWorldTour - https://www.justinbiebermusic.com/tour,2021-11-22T18:10:08Z,808942,60637,1133
Justin Bieber and Michael D. Ratner: The Making of “Our World” - A Conversation with Jason Kennedy,2021-11-08T16:47:31Z,596640,37246,2228
The other night was crazy,2021-11-04T16:07:54Z,450748,45145,1215
Justin Bieber - Ghost (Behind The Scenes),2021-10-18T17:01:13Z,1346819,92530,3029
Justin Bieber - Ghost (Lyric Video),2021-10-14T16:00:20Z,1200019,69871,4155
Justin Bieber - Our World (Official Trailer),2021-10-01T16:23:49Z,1488962,133281,8521
Experience Justin Bieber Like Never Before ​In Dolby Atmos ​,2021-09-12T23:45:00Z,1101052,100479,6541
"Don't Go - Justin Bieber,  Skrillex, Justin Bieber & Don Toliver - (Official Visualizer)",2021-08-24T17:29:26Z,4900173,222468,9395
"""Essence"" (Remix) - WizKid -  [feat. Justin Bieber & Tems] (Lyric Video)",2021-08-18T22:08:08Z,4789440,125554,5477
"Justin Bieber, The Kid LAROI - Stay (Montage)",2021-07-12T16:00:26Z,11501105,393630,9154
Justin Bieber - Somebody (Live from iHeart Radio’s Wango Tango 2021),2021-07-01T15:00:15Z,2905215,105429,4645
Justin Bieber - Peaches (Live from iHeart Radio’s Wango Tango 2021),2021-07-01T15:00:12Z,7531218,227403,6814
Justin Bieber - Love You Different (Live from iHeart Radio’s Wango Tango 2021),2021-07-01T15:00:09Z,4248114,113930,4227
Justin Bieber - Hold On (Live from iHeart Radio’s Wango Tango 2021),2021-07-01T15:00:06Z,1699285,72491,2791
Justin Bieber - Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay,2021-06-25T04:28:44Z,1207562,75960,7096
"Justin Bieber - Peaches (Remix) ft. Ludacris, Usher & Snoop Dogg",2021-06-07T04:00:05Z,6930544,288664,17480
Justin Bieber - Unstable (Live from Paris),2021-04-13T23:36:16Z,6363822,165766,6049
Justin Bieber - Hold On (Live from Paris),2021-04-13T23:36:13Z,35787711,636592,16337
Justin Bieber - Off My Face (Live from Paris),2021-04-13T23:36:10Z,20980945,386658,11260
Justin Bieber - Somebody (Live from Paris),2021-04-13T23:36:08Z,13924835,192347,6281
Justin Bieber - 2 Much (Live from Paris),2021-04-13T23:36:05Z,14281234,269863,9523
Justin Bieber - Live from Paris (afterparty),2021-04-13T23:29:37Z,78702,38043,199
Justin Bieber - Live from Paris (Livestream),2021-04-13T23:17:59Z,14657235,359146,11422
"Justin Bieber - Where You Go I Follow (feat. Pink Sweat$, Chandler Moore, Judah Smith)",2021-04-06T18:18:13Z,1932808,75256,4546
Justin Bieber - Afraid To Say (feat. Lauren Walters),2021-04-06T18:18:13Z,775004,43863,2761
Justin Bieber - Freedom (with BEAM),2021-04-06T18:18:13Z,1384110,42510,1589
"Justin Bieber - All She Wrote (feat. Brandon Love, Chandler Moore)",2021-04-06T18:18:13Z,653359,29230,1714
"Justin Bieber - Where Do I Fit In (feat. Tori Kelly, Chandler Moore, Judah Smith)",2021-04-06T18:18:13Z,1191294,46196,1960
Justin Bieber - We're In This Together,2021-04-06T18:18:13Z,1045757,42904,2591
Justin Bieber - Peaches (TikTok Compilation),2021-04-01T21:56:19Z,2647745,140957,4663
Justin Bieber - Name (Visualizer) ft. Tori Kelly,2021-03-26T05:26:13Z,2252076,73748,3331
Justin Bieber - I Can't Be Myself (Visualizer) ft. Jaden Smith,2021-03-26T05:23:29Z,4675744,115048,4171
Justin Bieber - Know No Better (Visualizer) ft. Da Baby,2021-03-26T05:23:26Z,2426831,67952,2572
Justin Bieber - Lifetime,2021-03-26T05:23:23Z,6213766,136644,6955
Justin Bieber - There She Go (Visualizer) ft. Lil Uzi Vert,2021-03-26T05:23:20Z,5664117,145627,11576
Justin Bieber - Wish You Would (Visualizer) ft. Quavo,2021-03-26T05:23:16Z,3658095,79512,3823
Justin Bieber - Peaches (Montage),2021-03-24T16:02:53Z,3022514,138081,6134
"Justin Bieber - Peaches ft. Daniel Caesar, Giveon (Lyric Video)",2021-03-22T15:58:54Z,13340763,165945,6059
Justin Bieber - Peaches (Live with WeTheBand),2021-03-19T04:02:46Z,1226496,75686,1774
Justin Bieber - Hold On (Maple Leafs Love Letter),2021-03-10T16:59:58Z,1921963,50339,2712
