Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
#PLAY - Road to Residency: Stage 🎀 🚽 🍄 🗑 ✨ 🌈,2022-03-18T20:35:38Z,129639,7861,541
#PLAY - Road to Residency: The Story 🍄 ♥️,2022-03-12T01:08:10Z,192059,11520,872
#PLAY - Road to Residency: Opening Night 🎉 🍄,2022-03-02T22:09:14Z,231252,15378,983
"Alesso, Katy Perry - “When I’m Gone” Video Premiere Chat",2022-01-11T18:32:17Z,144648,12910,1018
When I'm Gone (Alesso & Katy Perry) / Walking On Air Medley Live from PLAY Las Vegas,2022-01-01T16:59:40Z,1489299,72307,4380
Katy Perry x BEHR – Katy in Color,2021-09-24T15:00:55Z,868827,56618,3184
Katy Perry: Thinking Of You (American Idol Finale Duet with Hunter Metts),2021-05-24T03:46:27Z,914342,49554,2588
Katy Perry - Firework (Live from Celebrating America Inauguration Special),2021-01-21T06:20:42Z,11724758,479149,26015
Katy Perry - Never Really Over/Not The End Of The World/Roar Medley (Live at T Mall Double 11 Gala),2020-11-20T20:00:02Z,2246690,108690,6370
Coke Studio Sessions: Katy Perry,2020-06-27T02:57:36Z,875919,38909,1167
"Katy Perry - Making Of ""Harleys In Hawaii"" Music Video",2019-10-30T20:45:55Z,335223,21529,1095
Katy Perry - ASMR: Harleys In Hawaii,2019-10-23T21:17:42Z,1016773,76204,4005
"Katy Perry - Making of ""Small Talk"" / Episode #4",2019-09-04T21:36:30Z,267610,12467,510
"Katy Perry - Making of ""Small Talk"" / Episode #3",2019-09-04T00:50:51Z,205716,12125,458
"Katy Perry - Making of ""Small Talk"" / Episode #2",2019-08-28T16:58:06Z,254977,15182,841
"Katy Perry - Making of ""Small Talk"" / Episode #1",2019-08-27T17:34:49Z,199437,15238,746
Katy Perry “Never Really Over” YouTube Space Premiere Event,2019-06-07T17:25:39Z,1028182,54488,2247
Katy Perry – Never Really Over (Trailer),2019-05-29T17:00:08Z,924263,67026,3969
Katy Perry - Cozy Little Christmas (Audio Clip),2018-11-20T19:17:15Z,1149949,61713,5019
Katy Perry - Power: In The Studio,2018-06-09T04:01:18Z,382029,27106,2416
Katy Perry x Oprah Winfrey - WITNESS: Coming Home,2018-05-22T21:02:39Z,268448,17751,1175
Katy Perry - Swish Swish (Behind the Scenes with Just Dance),2017-11-09T19:11:16Z,1183487,19344,893
Katy Perry: Will You Be My Witness?,2017-10-04T16:00:14Z,,,
Katy Perry: Will You Be My Witness? - Official Trailer,2017-09-27T17:00:03Z,3371678,18259,1010
Katy Perry - Swish Swish (Music Video Trailer),2017-08-21T07:13:44Z,937038,36186,2127
Katy Perry Invites You Backstage! // Omaze,2017-07-11T16:01:15Z,111248,7104,502
Katy Perry - #OneLoveManchester Behind-The-Scenes,2017-06-22T21:40:39Z,2473912,86302,1927
Katy Perry - Swish Swish (Live from Witness World Wide Finale Concert),2017-06-17T03:04:16Z,582775,18870,901
Katy Perry - Reacts To Her Music Videos (Witness World Wide),2017-06-13T04:56:17Z,8135460,145372,9002
Katy Perry - Boys & Girls Club Chat with Mario Lopez (Witness World Wide),2017-06-12T10:27:48Z,84257,1794,89
Katy Perry - Spills Her Guts With James Corden (Witness World Wide),2017-06-12T05:13:29Z,3643179,45603,2576
"Katy Perry - Nugget Finds Her ""Power"" (Witness World Wide)",2017-06-11T02:45:22Z,259411,9373,552
Katy Perry - Witness World Wide Live Stream Reveal,2017-06-09T19:26:22Z,104114,3770,181
Katy Perry - 👁 WITNESS: The Tour 👁 Europe Announcement,2017-06-02T06:37:33Z,187823,8238,783
Katy Perry: Witness,2017-05-22T12:08:50Z,1044607,38136,2583
Katy Perry - 🙏🏻 SUNDAY SALUTATIONS 🙏🏻,2017-05-21T21:31:28Z,745776,21269,1610
Katy Perry - Submit your #BestCoverEver of Firework. Win a chance to perform with me!,2017-05-17T20:07:47Z,77165,5143,343
Katy Perry - 👁 WITNESS: The Tour Announcement👁,2017-05-16T16:56:51Z,198082,11080,683
Katy Perry - 🍒 Bon Appétit Music Video Chat 🍒,2017-05-12T20:14:16Z,1468356,43711,5899
"Oblivia - Grand Opening February 21, 2017",2017-02-18T02:55:59Z,572748,12124,558
The Prismatic World Tour Live,2015-08-31T14:13:50Z,239493,4216,168
