Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Marshmello x Tokischa - ESTILAZO (Official Trailer),2022-04-21T16:13:06Z,303308,14893,1331
Heads Will Roll #estilazo #marshmello #tokischa,2022-04-15T21:33:47Z,522401,18471,308
Marshmello - BeFoRe U,2022-03-10T00:00:03Z,1038224,58517,5294
how do you tell someone that you’re Spider-Man?,2022-01-20T23:35:35Z,1198464,63799,1085
Hey YO‼️,2021-11-30T18:35:34Z,1463298,74014,1803
Preached with @lildustyg out now!,2021-11-04T05:46:43Z,691307,33090,505
Be Kind 🌼,2021-09-22T05:48:10Z,2210722,149101,3568
Back when you were mine #ChasingStars ✨,2021-09-09T17:58:47Z,728547,35210,375
Marshmello - Shockwave (Official Lyric Video),2021-09-02T17:01:18Z,1025670,48342,2454
Chasing Stars ✨,2021-09-01T22:17:48Z,1103230,46950,385
Marshmello Live at Lollapalooza 2021 [Full DJ Set],2021-08-04T20:38:41Z,1884858,58187,3771
Marshmello x Nitti Gritti - Bad Bitches (Feat. Megan Thee Stallion) (Official Music Video),2021-08-02T18:09:52Z,1647846,52500,2297
Marshmello x Carnage - Back In Time (Behind The Scenes Video),2021-07-13T18:11:28Z,736642,33211,1802
Marshmello x Carnage - Back In Time (Official Lyric Video),2021-06-18T18:09:41Z,1207900,50750,3052
Marshmello x Eptic - HITTA (Feat. Juicy J),2021-06-11T04:00:25Z,742563,27222,1376
Marshmello x Nitti Gritti - Bad Bitches (Feat. Megan Thee Stallion),2021-06-11T04:00:15Z,1367900,36235,1062
Marshmello x TroyBoi - Jiggle It,2021-06-11T04:00:13Z,2038944,44543,1119
Marshmello x PEEKABOO - Pushin Stacks,2021-06-11T04:00:12Z,492077,14427,529
Marshmello x DJ Sliink - Back It Up,2021-06-11T04:00:09Z,1274534,25770,678
Marshmello - Shockwave,2021-06-11T04:00:06Z,733996,22226,1052
Marshmello x Subtronics - House Party,2021-06-11T04:00:02Z,261196,8275,393
Marshmello x Carnage - Back In Time,2021-06-11T04:00:02Z,609438,15911,607
Marshmello x SIPPY - Candy Kid,2021-06-11T04:00:01Z,420490,10589,433
Marshmello - VIBR8,2021-06-11T03:59:00Z,939643,33253,1955
Marshmello - Supernovacane,2021-06-11T03:59:00Z,1716536,36751,1773
Marshmello - FaiRyTaLE,2021-06-11T03:58:00Z,2358875,44411,2066
Marshmello - Shockwave (Official Music Video),2021-06-11T03:55:10Z,16952730,329744,11005
Marshmello x Subtronics - House Party (Official Music Video),2021-06-10T04:00:01Z,1986109,76074,4926
SHOCKWAVE is coming 6/11,2021-06-08T17:08:13Z,199176,12363,1092
Marshmello x Nitti Gritti - Bad Bitches (Feat. Megan Thee Stallion) [Official Lyric Video],2021-06-08T13:00:01Z,444367,20843,1668
Marshmello x Eptic - HITTA (Feat. Juicy J) [Official Music Video],2021-06-04T22:00:11Z,1693826,72564,2941
Marshmello x 2021 UEFA Champions League Final Opening Ceremony presented by Pepsi #UCLFinal,2021-05-29T20:16:22Z,6123377,291078,10001
Marshmello x Carnage - Back In Time (Official Music Video),2021-05-28T12:00:11Z,4334384,112571,4918
i wanna go back in time with you [✖‿✖],2021-05-26T19:31:52Z,282213,25221,1837
"Join me, Selena Gomez and Khalid for the #UCLFinal Opening Ceremony presented by Pepsi.",2021-05-26T15:28:31Z,352181,24446,1610
Marshmello x Jonas Brothers - Leave Before You Love Me (Official Audio),2021-05-21T04:00:00Z,1027893,57005,4032
You Ready?,2021-05-18T13:06:59Z,604067,64183,6201
"I'm launching my first NFT project, Welcome to the Melloverse!",2021-05-12T15:11:44Z,770465,61955,4238
Ali Gatie x Marshmello x Ty Dolla $ign - Do You Believe (Official Lyric Video),2021-03-26T14:44:37Z,1080176,57275,3245
2KBABY x Marshmello - Like This (Official Music Video),2021-03-06T16:00:14Z,5175833,165828,7454
2KBABY x Marshmello - Like This (Official Lyric Video),2021-02-26T05:00:13Z,1379910,66396,4562
Marshmello x Arash - LAVANDIA (Official Music Video),2021-02-19T05:00:12Z,4049429,157988,13050
"benny blanco, Marshmello & Vance Joy - You (Official Lyric Video)",2021-02-02T21:15:07Z,1867516,83869,5617
Marshmello x Imanbek (Ft. Usher) - Too Much (BTS Video),2020-10-29T15:51:15Z,3393513,98359,5186
Marshmello x Imanbek (Ft. Usher) - Too Much (Official Music Video),2020-10-23T16:00:10Z,33362349,551476,16738
Marshmello & Demi Lovato - OK Not To Be OK (Lost Stories Remix 🇮🇳),2020-10-22T04:00:05Z,6735217,132413,9792
Marshmello + Demi Lovato - OK Not To Be OK | Live from Troubadour (#SOSFEST),2020-10-17T04:06:48Z,1107385,59263,2057
Marshmello & Demi Lovato - OK Not To Be OK (Duke & Jones Remix),2020-10-02T04:00:00Z,15136840,546558,10150
Marshmello & Demi Lovato - OK Not To Be OK (Official Lyric Video),2020-09-23T17:18:06Z,1296398,79838,4193
Marshmello & Demi Lovato - OK Not To Be OK (Official Music Video),2020-09-10T16:00:10Z,20116437,602359,20884
Marshmello x 42 Dugg - Baggin' (Official Music Video),2020-09-04T18:12:53Z,5850604,164954,6118
Marshmello x 42 Dugg - Baggin' (Official Audio),2020-09-02T04:00:05Z,1019601,56886,4447
Marshmello & Halsey - Be Kind (Stripped),2020-07-29T04:00:06Z,1198618,58740,4060
Be Kind Tik Tok Compilation - Marshmello & Halsey,2020-07-22T14:00:08Z,834556,36810,1981
Marshmello & Halsey - Be Kind (Official Fan Video),2020-07-14T15:49:45Z,1117971,66959,3972
"Juice WRLD ft. Marshmello, Polo G & Kid Laroi - Hate The Other Side",2020-07-10T04:55:22Z,976143,66200,4405
Marshmello & Halsey - Be Kind (Joy Club Remix),2020-07-10T04:00:05Z,373854,22334,1648
Juice WRLD x Marshmello - Come and Go,2020-07-09T19:08:08Z,2349776,138873,7877
Marshmello & Halsey - Be Kind (Official Music Video),2020-06-27T14:00:10Z,91938573,1696962,43726
Marshmello & Halsey - Be Kind (Jacques Lu Cont Remix),2020-06-26T04:00:06Z,453923,32155,2400
Marshmello & Halsey - Be Kind (Surf Mesa Remix),2020-06-12T04:00:06Z,1405925,58038,3452
"$100,000 YouTube Charity WARZONE Tournament | Marshmello + Royalize Call of Duty Duos",2020-05-29T21:44:38Z,881328,48192,1566
What Goes On In Marshmello's Head?,2020-05-27T14:00:25Z,1226327,45414,1985
"🔴Marshmello's Call of Duty Kill Streak Rampage w/ Courage, Nadeshot & TimTheTatman",2020-05-12T18:25:01Z,600357,34126,1668
🔴COD Warzone GIRTHQUAKE w/ CourageJD/Alesso/BasicallyIDoWrk - Mello Gaming,2020-05-05T21:15:41Z,434344,19426,377
🔴COD Warzone GIRTHQUAKE w/ CourageJD/TimTheTatman/BasicallyIDoWrk - Mello Gaming,2020-05-05T20:22:01Z,471612,28754,348
Marshmello & Halsey - Be Kind (Marshmello Lyric Video),2020-05-01T04:00:10Z,17163148,347604,12724
🔴 Marshmello's Call of Duty Warzone Win Streak w/ CourageJD + Jordan Fisher & Symfuhny!,2020-04-28T19:13:41Z,519736,31816,810
WOAH I Can't Believe I Did That! Marshmello Call of Duty Warzone Stream Highlights w/ CouRage,2020-04-28T18:56:07Z,438034,22058,1024
Marshmello's Super Saturday  w/ JuJu Smith Schuster + Alesso + Royalize | Call of Duty Warzone LIVE,2020-04-25T19:41:00Z,375646,24719,526
"Call of Duty Warzone Win Streak w/ Marshmello, CouRage JD, LEGION & More",2020-04-21T21:05:20Z,616512,43895,721
COD Warzone Consecutive Wins Challenge | Marshmello x FaZe Adapt x FaZe Temperrr Stream Highlights,2020-04-20T21:12:49Z,239211,15899,961
Marshmello x Southside - Been Thru This Before (Feat. Giggs & SAINt JHN) [Lyric Video],2020-04-17T19:04:09Z,327952,18329,1039
Eliminating COD WARZONE Cheaters!! Marshmello & CouRage Stream Recap | Gaming with Marshmello,2020-04-16T22:33:59Z,294053,18738,981
"KILLING HACKERS ON CALL OF DUTY W/ COURAGEJD, SYMFUHNY, BASICALLYIDOWRK",2020-04-16T20:53:44Z,215715,16504,493
