Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
One Direction - Thank you,2015-11-19T13:06:56Z,2893631,427609,20842
One Direction - Made in the A.M. - OUT NOW,2015-11-13T13:32:05Z,978874,65317,1247
Made In The A.M. - #1DFirstListen,2015-11-09T20:12:27Z,369842,40321,1381
Made in the A.M. - Track-By-Track - History,2015-11-06T21:19:21Z,478735,39478,828
Track-by-Track: Wolves & A.M.,2015-11-05T17:58:39Z,919389,57725,2460
Track-by-Track: Temporary Fix & Walking In The Wind,2015-11-04T17:54:59Z,1372793,85479,3810
One Direction - Made in the A.M. announcement,2015-09-22T15:42:39Z,3337219,70387,2643
action/1D - Harry,2015-07-27T16:29:13Z,861367,76795,1980
action/1D - Liam and Niall,2015-07-20T07:14:13Z,538102,59129,1238
One Direction - Between Us Fragrance Ad,2015-07-14T09:40:29Z,1191011,75733,1554
action/1D – Louis,2015-07-14T09:39:56Z,558224,65192,1833
One Direction – action/1D,2015-07-08T07:30:50Z,1058483,89214,2507
#1DOrlandoQnA - Cities,2015-02-28T15:06:21Z,349961,23319,916
#1DOrlandoQnA - touring,2015-02-19T14:29:23Z,318011,20452,689
One Direction 'On The Road Again' In Brisbane,2015-02-17T11:27:57Z,571943,39695,764
One Direction Orlando Q&A - Rides,2015-02-12T12:13:15Z,303810,18821,342
One Direction 'On The Road Again' In Sydney!,2015-02-09T14:47:14Z,547250,40370,1413
One Direction Orlando Q&A - Recording FOUR,2015-01-30T11:18:57Z,343418,19991,347
One Direction Orlando Q&A - WDBHG,2015-01-26T14:13:55Z,478091,27183,563
One Direction Orlando Q&A - Influences,2015-01-21T10:43:19Z,409289,25234,713
One Direction - Little Things (Live TV Special),2014-12-21T05:15:36Z,26456278,602023,16773
Where We Are: Live From San Siro Stadium - Best Song Ever Clip,2014-12-01T10:47:24Z,299216,19146,268
On The Road Again 2015 Tour - UK and Ireland Dates Announced!,2014-11-29T21:14:36Z,268323,16105,1047
Where We Are: Live From San Siro Stadium,2014-11-29T10:41:12Z,290571,16410,249
Where We Are: Live From San Siro Stadium Clip - Niall,2014-11-28T15:04:17Z,208782,13362,93
Where We Are: Live From San Siro Stadium - What Makes You Beautiful Clip,2014-11-28T12:08:42Z,202118,12992,208
One Direction - Best Song Ever (Where We Are: Live From San Siro Stadium),2014-11-28T11:33:32Z,31768251,604392,24956
Where We Are:Live From San Siro Stadium DVD - SOML,2014-11-27T18:29:20Z,242253,14607,203
'Where We Are' Live From San Siro Stadium DVD - Niall,2014-11-27T18:11:52Z,234367,14038,124
Where We Are: Live From San Siro Stadium DVD - What Makes You Beautiful Performance,2014-11-27T17:57:14Z,5793465,107617,2171
'Where We Are: Live From San Siro Stadium' DVD Clip - Louis,2014-11-26T15:26:35Z,401331,20206,227
'Where We Are: Live From San Siro Stadium' DVD Clip - Live While We're Young,2014-11-26T15:26:20Z,344088,16582,112
'Where We Are:Live From San Siro Stadium' DVD - Happily Performance,2014-11-26T15:26:00Z,5611094,115123,2432
The guys celebrate FOUR in #1DOrlando,2014-11-23T17:11:28Z,978540,73886,2565
FOUR on Spotify!,2014-11-19T17:26:06Z,396614,41852,1166
One Direction - Night Changes (Acoustic),2014-11-17T09:41:26Z,117741941,1602675,58608
Band Aid 30,2014-11-14T12:05:14Z,490828,32081,547
One Direction - Fools Gold,2014-11-13T15:19:24Z,1594441,151185,3838
One Direction: FOUR HANGOUT,2014-11-09T17:59:14Z,6551015,,21511
One Direction - Steal My Girl (Acoustic),2014-11-09T17:30:54Z,47497920,726457,26808
FOUR TAKEOVER,2014-11-06T15:00:43Z,653024,37322,839
One Direction - Steal My Girl (Video Teaser),2014-10-13T16:35:19Z,689905,42928,1366
One Direction - Little Things (Live),2014-10-09T09:46:03Z,1481797,54533,1253
Where We Are Concert Film: Interview Preview,2014-10-09T09:45:41Z,273159,17803,290
Where We Are Concert Film: Preview clip,2014-10-09T09:44:46Z,437715,23599,395
Where We Are Concert Film: Little Things LIVE clip,2014-10-09T09:44:18Z,289357,19978,400
One Direction in Universal Orlando Resort!,2014-10-02T19:03:44Z,404258,23195,895
Steal My Girl (Big Payno & Afterhrs Pool Party Remix) Clip,2014-09-26T15:27:58Z,344617,24522,686
1D Official Interactive App,2014-09-25T12:21:32Z,335089,29184,657
1D ANNOUNCE ALBUM 'FOUR' + FREE TRACK!,2014-09-08T12:04:39Z,1703302,63914,3082
One Direction- You & I Fragrance Commercial - Harry,2014-08-19T16:04:17Z,402202,20716,294
One Direction- You & I Fragrance Commercial - Niall,2014-08-15T16:34:42Z,423876,23357,415
One Direction: You & I Fragrance Commercial (Louis),2014-08-14T15:13:56Z,506954,27331,412
One Direction: You & I Fragrance Commercial (Zayn),2014-08-13T15:05:37Z,580296,33365,571
One Direction- You & I Fragrance (Commercial),2014-08-06T14:31:05Z,5203394,237187,5131
One Direction - 'Where We Are' Concert Film Trailer,2014-07-22T07:57:34Z,2414832,78939,3191
One Direction - You & I Fragrance (Backstage Video),2014-07-21T09:52:34Z,1068865,62020,2327
Liam- You & I Fragrance Message,2014-06-16T17:01:04Z,769821,38284,2447
That Moment Animation,2014-06-10T13:16:32Z,492693,39495,1507
One Direction - You & I (Fan Video),2014-05-19T13:16:32Z,1638288,77976,4136
One Direction - That Moment (Short Film),2014-04-02T08:43:19Z,4101809,233362,11807
Midnight Memories Full TV ad,2014-04-01T09:54:50Z,302674,22003,370
One Direction - 'That Moment' (Teaser Ad),2014-04-01T09:52:34Z,603122,32476,1106
'That Moment' Announcement,2014-02-27T09:54:13Z,1016880,60942,3186
Liam's Single Announcement!,2014-01-28T10:55:13Z,1295897,45398,1934
One Direction Day: Best Bits (Hour 7),2013-12-25T11:01:39Z,522521,15529,563
One Direction Day: Best Bits (Hour 6),2013-12-25T11:01:39Z,380902,10215,328
1D Day Best Bits Hour 4,2013-12-25T11:01:38Z,265865,9091,313
One Direction Day: Best Bits (Hour 5),2013-12-25T11:01:38Z,750540,21489,708
One Direction: This Is Us DVD Extras (Exclusive Clip 3),2013-12-11T14:12:39Z,763736,38817,1386
One Direction Day: Best Bits (Hour 3),2013-12-08T20:37:41Z,424255,14078,397
One Direction Day: Best Bits (Hour 2),2013-12-08T20:37:17Z,647353,18268,459
One Direction Day: Best Bits (Hour 1),2013-12-08T20:36:55Z,717915,23651,643
One Direction - This Is Us DVD Extras (Exclusive Clip 2),2013-12-03T14:29:46Z,782272,33897,1098
One Direction: This Is Us DVD Extras (Exclusive Clip),2013-12-02T18:34:24Z,724190,33970,1000
One Direction Midnight Memories Thank You,2013-12-01T19:13:43Z,671991,37198,1354
One Direction: Our Moment,2013-11-27T12:16:54Z,861320,53763,1708
2014 Where We Are US stadium tour announcement,2013-11-26T13:46:34Z,472224,19188,3551
1D Day Best Bits,2013-11-25T23:17:48Z,10303652,217157,5713
Watch #1DDay on 23rd November - Live on YouTube,2013-11-20T10:38:33Z,1964703,40994,3534
TV Advert - Midnight Memories by One Direction,2013-11-11T19:42:34Z,618083,37897,829
One Direction - Story of My Life (Live in Japan),2013-11-04T17:26:27Z,1600525,71162,3088
1D feat AKB48 - Story of My Life exclusive!,2013-11-01T15:02:06Z,771858,28887,3017
One Direction: Story of My Life Out Now!,2013-10-28T09:10:30Z,497521,26498,1573
One Direction- 'Our Moment' Fragrance Ad,2013-08-24T19:34:08Z,14814752,473265,31900
One Direction: This Is Us Movie - Louis,2013-08-15T17:31:07Z,1849133,55036,2232
Zayn Malik: 1D Fragrance,2013-08-15T17:11:24Z,1879232,37381,2024
Harry Styles: One Direction Fragrance,2013-08-13T13:17:57Z,2228826,60905,7924
Louis Tomlinson: 1D Fragrance,2013-08-12T11:13:51Z,1824766,50091,4481
One Direction - Thank You for Best Song Ever,2013-07-29T16:27:10Z,1055169,52548,4233
Niall shoots and scores!,2013-07-26T14:36:29Z,930886,46378,2877
