Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Ozuna x Boza - Apretaito (Video Oficial),2022-04-07T21:00:01Z,9964244,126610,5425
Ozuna - G WAGON (Video Oficial),2022-03-10T22:00:02Z,11996169,276621,6084
Ozuna - DEPRIMIDA (Video Oficial),2022-02-17T22:00:01Z,61481898,297583,6235
"Ozuna, Anthony Santos - Señor Juez  (Video Oficial)",2021-11-04T17:00:10Z,52184173,471747,9925
Ozuna - La Funka (Video Oficial),2021-09-12T22:00:11Z,72499988,443928,23092
"Ozuna x Call of Duty: Mobile - A La Buena, El Mejor (Official Music Video)",2021-08-26T00:00:04Z,12567296,102321,6353
Call of Duty Mobile Presents: Ozuna,2021-08-23T15:19:34Z,5976982,69940,8458
Ozuna - Este Loko (Video Oficial),2021-07-02T17:00:03Z,42333774,337165,8962
Ozuna - Este Loko (Acoustic Oficial),2021-06-25T22:00:21Z,4066872,50949,1406
Ozuna - Este Loko (Audio Oficial),2021-06-25T22:00:15Z,9717885,99141,2848
Ozuna - Mi Niña (Live),2021-06-20T00:00:02Z,8386017,96297,3252
Ozuna - TIEMPO (Video Oficial),2021-05-06T17:00:30Z,64348000,291749,20366
OZUNA x OVI - Envidioso - (Video Oficial),2021-04-01T16:00:12Z,35687246,391205,13447
@Anuel AA & Ozuna - PERFECTO,2021-01-22T05:12:12Z,17902232,297121,7518
@Anuel AA & Ozuna - NUNCA,2021-01-22T05:12:12Z,27103326,343172,7505
@Anuel AA & Ozuna - NENA BUENA,2021-01-22T05:12:12Z,24781254,253692,5657
@Anuel AA & Ozuna - PERREO,2021-01-22T05:12:12Z,13596669,237026,6775
@Anuel AA & Ozuna - 100,2021-01-22T05:12:12Z,16225542,232990,5221
​@Anuel AA & Ozuna - LA MARIA,2021-01-22T05:12:12Z,46271735,469407,10984
@Anuel AA & Ozuna - CONTRA EL MUNDO,2021-01-22T05:12:12Z,8373012,196065,4443
@Anuel AA & Ozuna - RD,2021-01-22T05:12:11Z,43708209,397928,15308
@Anuel AA & Ozuna - ANTES (Video Oficial),2021-01-22T05:00:11Z,52790823,496240,22005
Anuel AA & Ozuna - Los Dioses El Documental,2021-01-20T23:00:24Z,10216985,267402,11400
Ozuna - MALA (Video Oficial),2020-12-25T18:00:20Z,18042562,183371,5158
Ozuna x J Balvin x Chencho Corleone - Una Locura (Video Oficial),2020-12-18T18:00:35Z,207513352,1013407,18438
Ozuna x Doja Cat x Sia - Del Mar (Video Oficial),2020-10-16T04:00:10Z,94475336,911622,28798
Ozuna - Despeinada (Living Room Acoustic),2020-09-27T21:40:54Z,18602943,245985,6518
Ozuna x Daddy Yankee -  No Se Da Cuenta (Video Oficial),2020-09-23T15:00:06Z,135937936,820099,19323
Ozuna - Un Get (Video Oficial),2020-09-15T15:00:07Z,27896240,236347,6688
Ozuna - Mala (Audio Oficial),2020-09-04T04:00:19Z,3620265,64125,1316
Ozuna - Gracias (Audio Oficial),2020-09-04T04:00:19Z,8034197,157835,4211
Ozuna x Jhay Cortez - No La Mires (Audio Oficial),2020-09-04T04:00:19Z,11633981,154027,2419
Ozuna x J Balvin x Chencho Corleone- Una Locura (Audio Oficial),2020-09-04T04:00:19Z,146921047,875218,15639
Ozuna - A Escondidas (Audio Oficial),2020-09-04T04:00:19Z,8643010,94115,1423
Ozuna Ft. Zion y Lennox- Que Tú Esperas (Audio Oficial),2020-09-04T04:00:19Z,12241169,132769,1959
Ozuna - Un Get (Audio Oficial),2020-09-04T04:00:19Z,2108444,49911,1485
Ozuna - El Reggaetón (Audio Oficial),2020-09-04T04:00:19Z,2633188,53415,1227
Ozuna x Nicky Jam - Esto No Acaba (Audio Oficial),2020-09-04T04:00:19Z,4603061,97089,2159
Ozuna - Sincero (Audio Oficial),2020-09-04T04:00:19Z,4963090,76456,1409
Ozuna x Daddy Yankee- No Se Da Cuenta (Audio Oficial),2020-09-04T04:00:19Z,31017264,351147,6455
Ozuna - Duele Querer (Audio Oficial),2020-09-04T04:00:19Z,12326173,251972,4432
Ozuna - El Oso Del Dinero (Audio Oficial),2020-09-04T04:00:19Z,7987396,136153,4232
Ozuna x Camilo - Despeinada (Video Oficial),2020-09-03T19:00:06Z,479443550,2049957,38349
"Ozuna x Wisin x Myke Towers Ft. Arcangel, Cosculluela y Juanka - Enemigos Ocultos (Video Oficial)",2020-09-01T15:59:19Z,108688452,934230,52518
Ozuna x Karol G x Myke Towers - Caramelo Remix  (Video Oficial),2020-08-17T20:00:13Z,569919484,2805756,89182
Ozuna x Wisin - Gistro Amarillo  (Video Oficial),2020-07-23T22:00:12Z,98038029,324656,28553
Ozuna - Mi Niña (Video Oficial),2020-06-19T17:00:10Z,273645413,2184337,57085
Ozuna - Caramelo (Video Oficial),2020-06-11T22:00:27Z,399658464,2041435,52505
