Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
The Making Of The Rihanna Book,2020-02-14T23:31:57Z,6706621,82622,8315
Rihanna - therihannabook.com,2019-10-07T14:50:00Z,2078550,42203,2242
#SAVAGEXFENTYSHOW - SEPT 20TH,2019-09-10T15:21:15Z,1383927,31540,1527
TUTORIAL TUESDAYS WITH RIHANNA: UNINVITED | FENTY BEAUTY (TRAILER),2018-10-23T19:59:10Z,1370343,35768,1724
The World of Savage X Fenty FW'18 Highlights,2018-09-21T00:25:43Z,583041,8957,249
The World of Savage X Fenty FW'18 Highlights,2018-09-20T23:30:21Z,486551,9919,283
Savage X Fenty FW '18 - Out Now,2018-09-16T17:38:46Z,532775,23648,1151
The World of Savage X Fenty FW ’18 – OFFICIAL,2018-09-13T00:59:53Z,2587120,51520,3156
Enter the World of Savage X Fenty FW '18 (Teaser 2),2018-09-12T14:12:59Z,416536,17672,722
Enter the World of Savage X Fenty FW '18 (Teaser),2018-09-11T20:30:26Z,277879,17844,1082
Meet Bubble: Rihanna Talks Valerian,2017-07-11T00:16:43Z,181980,4629,206
Malawi Trip 2017,2017-06-07T11:48:12Z,2309509,56879,2773
Rihanna Vinyl: Collector's Edition,2016-12-16T15:09:59Z,131985,4010,182
Rihanna Shares Her Vision for the Clara Lionel Foundation,2016-05-09T13:12:25Z,202691,5597,227
ANTI World Tour: Drake is Rihanna’s Special Guest in Miami,2016-03-27T17:00:26Z,589312,10420,549
Rihanna's ANTI diaRy: Room 8,2016-01-28T03:13:50Z,842892,8613,515
Rihanna's ANTI diaRy: Room 7,2016-01-04T22:04:46Z,581389,7396,449
Rihanna's ANTI diaRy: Room 6,2015-12-21T14:23:49Z,462492,5918,335
Rihanna's ANTI diaRy: Room 5,2015-12-16T17:30:25Z,1573440,12176,449
Rihanna's ANTI diaRy: Room 4,2015-12-08T17:32:07Z,453886,5522,402
Rihanna Gears Up for the Second Annual Diamond Ball Benefiting the Clara Lionel Foundation,2015-12-07T19:02:21Z,91058,3465,103
Rihanna's ANTI diaRy: Room 3,2015-12-04T02:59:39Z,519944,7024,388
Rihanna's ANTI diaRy: Room 2,2015-11-28T07:15:12Z,1407581,11103,651
Rihanna’s ANTI diaRy,2015-11-19T21:18:40Z,511002,6469,244
Rihanna On Set at T Magazine,2015-10-13T14:37:57Z,135667,3476,94
Rihanna’s Clara Lionel Foundation,2015-06-19T23:29:17Z,172054,4905,281
Bitch Better Have My Money – Rihanna (R3hab Remix),2015-05-01T11:04:03Z,2777118,21261,371
Rihanna - Harper's Bazaar - Behind The Scenes,2015-02-05T13:54:30Z,807617,3708,127
FourFiveSeconds (Music Video Preview) by Rihanna and Kanye West and Paul McCartney,2015-02-03T02:17:34Z,104998,1799,64
Behind the scenes of FourFiveSeconds by Rihanna and Kanye West and Paul McCartney,2015-01-31T01:19:03Z,825551,7592,470
Rihanna - Stay (Veterans Tribute),2014-11-15T02:55:34Z,499660,6686,249
"Rihanna ""What Now"": Official Music Video Preview",2013-11-14T22:31:27Z,589152,6176,269
RIHANNA FOR RIVER ISLAND - WINTER COLLECTION,2013-11-01T14:01:16Z,67385,1235,74
Styled To Rock Premieres October 25,2013-10-24T21:54:28Z,137684,1560,72
Trailer: Rihanna 777,2013-10-23T22:37:12Z,48913,929,48
Making of Rihanna Pour It Up Video,2013-10-02T03:41:13Z,3053906,21649,1664
Rihanna Pour It Up Audition Tape,2013-09-28T19:13:19Z,12905661,162639,6443
RIHANNA FOR RIVER ISLAND - AUTUMN COLLECTION,2013-09-26T15:46:16Z,108055,1255,66
ROGUE by Rihanna: Behind the Scenes,2013-09-13T14:30:45Z,470169,5539,316
RIHANNA FOR RIVER ISLAND AUTUMN COLLECTION PART 2,2013-09-12T16:34:11Z,166669,1564,102
Rihanna 777 Theatrical Trailer,2013-05-03T22:16:46Z,118513,1710,108
Diamonds World Tour - Leaving For Buffalo,2013-03-08T19:19:13Z,242570,1669,170
Diamonds World Tour - Content Shoot,2013-03-06T23:02:56Z,85902,818,101
Diamonds World Tour - Run Through First Look,2013-03-06T06:59:28Z,403743,2627,193
Diamonds World Tour - Rihearsal,2013-03-04T16:43:21Z,3207602,13935,1317
Diamonds World Tour - Stage,2013-03-03T18:00:19Z,166115,1148,195
Diamonds World Tour - Wardrobe,2013-03-02T22:31:10Z,160023,1235,98
Diamonds World Tour - Dancer Auditions,2013-03-01T15:01:12Z,382435,2420,170
Rihanna Barbados 2013 Campaign Video,2013-01-04T19:08:41Z,698464,6681,394
Rihanna Loud Tour Live At the O2 DVD Trailer,2012-12-06T21:16:07Z,201616,1375,79
"BTS: ""Nude by Rihanna"" Shoot",2012-11-26T16:13:29Z,296659,2060,157
Rihanna #777Tour Recap Day 2,2012-11-19T23:36:08Z,465202,2804,282
Rihanna #777Tour Day 1 Recap,2012-11-18T07:30:07Z,319307,2989,293
Rihanna Facebook Live Chat- Full Show,2012-11-14T23:03:15Z,660249,5445,561
Rihanna Facebook Live Chat - Highlights,2012-11-14T22:11:42Z,39337,593,65
Rihanna - Cockiness Remix ft. A$AP ROCKY,2012-09-04T19:58:53Z,993523,8147,722
Rihanna - Cockiness London,2012-06-30T22:11:32Z,530594,4599,222
BTS: Vita Coco Shoot,2012-06-04T18:12:10Z,239532,1691,154
BTS Where Have You Been Part 3: On the Set,2012-04-27T13:02:55Z,1551519,10385,1200
"BTS: ""Where Have You Been"": Wardrobe Fitting",2012-04-20T18:23:16Z,521508,2291,271
"BTS: Making of ""Where Have You Been""",2012-04-19T18:31:57Z,2591961,13184,1512
Rihanna + Armani,2012-03-08T18:21:57Z,3065666,8942,1097
"Official ""BATTLESHIP"" Behind The Scenes",2012-01-09T18:06:50Z,370855,2015,287
Family Values,2011-11-24T19:09:53Z,391151,3790,434
Making of We Found Love Part I,2011-10-14T17:19:31Z,4689596,25697,2215
Rihanna Appears on Extreme Makeover Home Edition Premiere,2011-09-23T17:09:17Z,258116,1035,107
Rihanna Official Cheers Teaser,2011-08-24T18:09:05Z,405949,962,161
Exclusive LOUD Tour Video: Run This Town Live,2011-07-26T20:48:32Z,402634,3733,220
Exclusive LOUD Tour Video:  Rihanna and Kanye West: All of The Lights,2011-07-25T20:19:59Z,520507,5141,186
Rihanna Reb'l Fleur,2011-02-10T16:11:18Z,2994435,18087,1725
S&M: First Look,2011-01-27T14:07:53Z,332846,987,103
Rihanna's LOUD Release Week: Behind The Scenes,2010-12-06T23:36:22Z,390092,1997,145
Rihanna: MyYouTube,2010-11-17T20:38:12Z,2150176,8366,1820
"Rihanna Takes Over Times Square MTV's ""The Seven""",2010-11-16T17:57:33Z,51766,203,14
What's My Name? Feat Drake Official Behind the Scenes,2010-11-11T19:55:07Z,3096448,31173,1092
Last Girl On Earth Tour Rehearsal #1,2010-05-15T02:21:29Z,55260,562,26
Last Girl On Earth Tour Rehearsal #2,2010-05-14T21:05:56Z,94931,748,33
Last Girl On Earth Tour,2010-04-05T21:50:26Z,58588,758,37
Rihanna MySpace & Jet Blue New York City Show: 12.3,2009-12-03T22:14:51Z,36381,618,78
