Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
All Too Well (The Short Film) | Official Trailer,2021-11-05T12:52:19Z,1610073,202836,13733
Taylor Swift - willow (moonlit witch version) - [yule log],2020-12-17T21:53:54Z,882912,33349,1479
Taylor Swift - willow (lonely witch version) - [yule log],2020-12-17T20:45:11Z,502327,22220,1019
Taylor Swift - willow (dancing witch version) - [yule log],2020-12-17T20:45:06Z,403786,26011,1565
Taylor Swift - willow - [yule log],2020-12-17T20:00:29Z,635758,46786,3413
Taylor Swift - willow (moonlit witch version),2020-12-16T01:02:30Z,1386064,86148,3320
Taylor Swift - willow (dancing witch version) - storyboards from the willow music video,2020-12-15T18:09:59Z,833847,65652,2725
Taylor Swift - willow (lonely witch version) - music video behind the scenes,2020-12-15T05:52:57Z,1991522,133700,4698
Taylor Swift - willow - dancing witch version (Elvira remix),2020-12-15T03:12:53Z,1504278,83987,4327
Taylor Swift – folklore: the long pond studio sessions | Official Trailer | Disney+,2020-11-24T13:15:46Z,1574602,157596,11644
Taylor Swift - The Man (Behind The Scenes: The Umpire),2020-03-20T18:01:06Z,682914,37537,1154
Miss Americana | Official Trailer,2020-01-22T15:45:12Z,7710818,389725,14831
Taylor Swift - The Making Of Christmas Tree Farm,2019-12-23T14:00:49Z,1102133,93181,4865
How To Be A Cat,2019-12-16T18:43:56Z,893944,94037,3456
Taylor Swift - Lover (First Dance Remix),2019-11-26T05:02:00Z,2803032,147234,6659
Taylor Swift - Lover Remix Feat. Shawn Mendes (Lyric Video),2019-11-13T12:27:46Z,23202731,647094,23867
Lover Album Photoshoot: Behind The Scenes,2019-08-23T16:03:43Z,2222249,50538,1696
"Taylor’s Diary -  Discusses Getting Her First Cat Meredith Grey, Tour and Middle School",2019-08-23T00:06:18Z,100871,7355,176
Taylor Swift Answers Questions From Fans From Lover’s Lounge Live,2019-08-23T00:05:52Z,262000,19645,601
Taylor’s Diary - My 13 Year Old Self (Exclusive Reading from Deluxe Edition Lover Album),2019-08-23T00:05:21Z,206841,17200,470
Taylor Swift - The Archer First Ever Live Performance,2019-08-23T00:04:42Z,356881,33249,1236
Taylor Swift - Lover's Lounge (Live),2019-08-22T21:47:44Z,15503410,,3920
Taylor Swift - Livestream Announcement (8/22/19 @ 5pm EST),2019-08-15T18:06:59Z,13802260,79346,4899
You Need To Calm Down Behind The Scenes: Friends & Neighbors,2019-07-18T15:50:29Z,1795229,90612,2405
You Need To Calm Down Behind The Scenes: Morning Routine,2019-07-09T13:42:45Z,2806318,129935,4264
You Need To Calm Down Behind The Scenes: Pop Queen Pageant,2019-06-20T15:00:01Z,2916332,157242,4538
Taylor Swift - ME! (Live on The Graham Norton Show),2019-05-24T22:40:37Z,3859306,158533,6852
ME! Behind The Scenes: Je Suis Calme,2019-05-01T19:25:22Z,4660653,195969,5999
ME! Behind The Scenes: The Story of Benjamin Button,2019-04-30T10:11:11Z,5524502,268430,10333
Taylor Swift reputation Stadium Tour | Official Trailer | Netflix,2018-12-13T13:08:05Z,4968752,189362,14836
Taylor Swift and Robbie Williams - Angels - reputation Stadium Tour,2018-06-24T23:44:04Z,1597604,74339,3882
Taylor Swift reputation Stadium Tour - Official Merch,2018-05-01T23:26:41Z,501940,41402,2363
Taylor Swift reputation Stadium Tour // Trailer 2,2018-04-05T21:06:54Z,408331,28519,2123
Delicate Music Video Dance Rehearsal Part 2,2018-03-13T21:35:45Z,2100939,82283,1702
Delicate Music Video Dance Rehearsal Part 1,2018-03-13T21:28:05Z,7349633,160736,3741
End Game - Behind The Scenes,2018-02-09T16:01:53Z,1967880,86675,3663
Taylor Swift's reputation Stadium Tour - Trailer,2017-12-13T15:00:00Z,521688,31977,2156
Taylor Swift - …Ready for It? (BloodPop® Remix) (Audio),2017-12-06T20:03:12Z,3525204,42186,2113
The Making of a Song: “Delicate” – watch more on Taylor Swift NOW,2017-11-15T03:43:47Z,3914620,148806,4754
The reputation Secret Sessions,2017-11-07T13:30:04Z,2629046,117763,5967
...Ready For It? Trailer,2017-10-23T14:17:17Z,3656910,94804,7859
Look What You Made Me Do - Looks,2017-10-17T21:32:17Z,1789171,79439,1776
Look What You Made Me Do - Stream Co.,2017-09-27T14:51:30Z,794593,21118,506
Look What You Made Me Do - The Birdcage,2017-09-21T14:56:22Z,758536,22976,957
Look What You Made Me Do - Zombie Transformation,2017-09-21T13:16:00Z,6956369,129014,3803
Look What You Made Me Do: Taylor Mountain,2017-09-20T20:03:01Z,7318827,166085,4401
Taylor Swift - ...Ready For It? (Audio),2017-09-03T12:07:45Z,54029967,524447,43459
"Official ""Look What You Made Me Do"" Video Teaser Clip",2017-08-25T12:34:35Z,4702543,108354,5975
"Rehearsing ""I Don't Wanna Live Forever (Fifty Shades Darker)"" for DIRECTV NOW Super Saturday Night",2017-02-02T15:13:11Z,1106881,31269,2024
"First time hearing ""I Don't Wanna Live Forever (Fifty Shades Darker)"" on the radio",2017-02-01T20:03:05Z,2736408,147549,4735
"Taylor performs ""Blank Space"" at The GRAMMY Museum",2016-01-07T21:03:14Z,18127382,390672,12506
"Taylor Performs ""Wildest Dreams"" at The GRAMMY Museum",2016-01-05T02:34:16Z,18711237,355738,12557
1989 World Tour LIVE Trailer,2015-12-13T17:14:24Z,1122844,27715,1760
#STYLEmemories One,2015-02-19T03:15:26Z,240364,9456,322
#STYLEmemories Two,2015-02-19T03:15:08Z,229874,9357,258
Taylor Swift's Gift Giving of 2014 | SWIFTMAS,2014-12-31T18:14:42Z,19826619,176151,16653
"Behind The Fragrance, Taylor Swift Incredible Things featuring Taylor Swift (Behind The Scenes)",2014-12-15T17:13:20Z,462759,17424,591
Taylor Swift's The 1989 World Tour,2014-11-03T13:39:39Z,703471,10105,1047
"Preview ""Welcome To New York"" by Taylor Swift",2014-10-20T11:51:39Z,2110566,18259,1409
"Taylor Swift talks about ""Welcome to New York""",2014-10-20T11:51:21Z,606996,10188,313
"1989 Secret Sessions, Behind The Scenes!",2014-10-16T23:09:25Z,3334085,74422,4740
"Taylor Swift Talks About ""Out Of The Woods""",2014-10-13T12:20:13Z,1340529,21024,1004
Taylor Swift Ice Bucket Challenge with Jamie King,2014-10-06T20:08:47Z,378726,12080,326
Taylor Swift's Worldwide Live Stream on Yahoo - Highlights,2014-08-19T06:54:29Z,410596,7852,305
Surprising Gena,2014-04-16T22:44:24Z,3353356,52414,3546
Taylor Swift RED Tour Asia announcement,2014-02-13T05:46:11Z,253705,6586,1213
Taylor Swift Fragrances Made Of Starlight Musical Edition,2013-12-05T21:24:59Z,443945,10088,308
Taylor Swift RED Tour Nashville Week,2013-10-08T22:41:00Z,923969,15309,1060
Taylor Swift RED Tour London announcement,2013-09-30T06:05:16Z,200710,4308,1213
Taylor Swift and Jennifer Lopez: Jenny from the Block,2013-09-12T21:34:41Z,12555778,100917,3228
Behind the scenes of Taylor Swift's week at Staples Center,2013-09-06T16:35:47Z,779223,13736,1017
Taylor Swift on Style: Outtakes,2013-08-16T15:57:47Z,178641,4135,253
Taylor Swift on Style: Part 4,2013-08-14T17:23:18Z,102395,2586,129
Taylor Swift on Style: Part 3,2013-08-12T15:13:58Z,118022,3167,196
"Q&A with Taylor on Taylor By Taylor Swift, the fragrance",2013-08-01T22:14:56Z,238473,5393,415
#HiFromTaylor Teaser,2013-07-30T14:37:58Z,145782,3949,394
Taylor Swift and Carly Simon: You're So Vain,2013-07-29T15:59:25Z,1073686,12180,977
Welcome to the Official Taylor Swift YouTube Channel!,2013-07-25T14:58:57Z,97190,3359,411
Taylor by Taylor Swift Fragrance Video Part 1,2013-07-01T11:07:59Z,637637,9428,1005
Taylor By Taylor Swift commercial: sneak peek,2013-06-13T18:02:25Z,331128,11468,977
Britain's Got Talent performance: Everything Has Changed,2013-06-12T16:20:01Z,2111581,60976,2581
Taylor Swift - Billboard Milestone Award,2013-05-15T17:01:30Z,104205,3442,378
The RED Tour Australia/New Zealand Announcement!,2013-05-08T13:58:36Z,224297,4886,1755
Vote Taylor Swift ACM Entertainer of the Year: VoteACM.com,2013-04-06T00:39:56Z,122236,3778,488
"""Red"" Guitar Solo from RED Tour Opening Night",2013-03-15T21:28:24Z,317043,7944,743
"""Holy Ground"" Live on the RED Tour!",2013-03-15T21:22:06Z,331318,7723,659
"""Sparks Fly"" (acoustic) Live on the RED Tour!",2013-03-15T21:08:37Z,649397,15472,898
What Fans Can Expect on the RED Tour,2013-03-15T20:51:38Z,161159,4437,515
"""I Knew You Were Trouble."" Behind-The-Scenes #1",2013-02-05T21:50:27Z,880313,16874,822
"""I Knew You Were Trouble."" Behind-The-Scenes #3",2013-02-05T21:31:21Z,392263,9311,472
"""I Knew You Were Trouble."" Behind-The-Scenes #2",2013-02-05T21:30:26Z,402129,8955,400
