Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
XXXTENTACION - vice city (Official Audio),2022-01-28T05:00:31Z,7595319,537721,46608
XXXTENTACION – RETURN TO MAKEOUTHILL,2022-01-23T15:00:32Z,5258363,605394,42149
XXXTENTACION NFT Collection - Vice City,2021-05-14T16:00:35Z,8804129,306997,17123
XXXTENTACION NFT Collection - The Revenge Tour,2021-05-13T16:00:19Z,3331942,120257,6722
XXXTENTACION NFT Collection - SoundCloud Singles,2021-05-12T16:05:42Z,1138563,82743,9143
XXXTENTACION NFT Collection - The Supporters,2021-05-11T16:04:13Z,1051097,103639,11052
XXXTENTACION NFT Collection - The Drop,2021-05-10T15:51:56Z,1416170,159604,17852
XXXTENTACION FREE NFT Collection - Exclusive Preview,2021-05-06T12:12:09Z,3087601,267757,34250
XXXTENTACION - CHASE / glass shards (Official Video) (feat. ikabodVEINS),2020-10-16T01:00:09Z,15041996,711728,73536
Glass Shards Bts conversation with John Cunningham & Ikabod Veins,2020-10-16T00:58:44Z,3683446,138316,4549
XXXTENTACION - School Shooters (Official Video) (feat. Lil Wayne),2020-04-10T17:00:11Z,16534922,1044970,62604
XXXTENTACION - Hot Gyal (Official Video) (feat. Mavado & Tory Lanez),2019-12-12T03:05:38Z,19874563,684166,49312
XXXTENTACION feat. Tory Lanez & Mavado - Hot Gyal (Audio),2019-12-09T18:20:40Z,4707030,128446,4325
XXXTENTACION feat. Rick Ross - I Changed Her Life (Audio),2019-12-09T18:20:38Z,3681176,122817,4240
XXXTENTACION feat. blink-182 - IT'S ALL FADING TO BLACK (Audio),2019-12-09T18:20:35Z,4834385,133886,4010
XXXTENTACION - introduction (Audio),2019-12-09T18:20:32Z,2270807,58933,1584
XXXTENTACION feat. Tom G - Kill My Vibe (Audio),2019-12-09T18:20:25Z,4531702,138324,3744
XXXTENTACION feat. Killstation - LIMBO (Audio),2019-12-09T18:20:22Z,6052129,127019,3232
XXXTENTACION feat. Joyner Lucas - NorthStar (Remix) (Audio),2019-12-09T18:20:18Z,3392324,105704,3100
XXXTENTACION - ATTENTION! (Audio),2019-12-09T18:20:11Z,18668774,357951,10398
XXXTENTACION - numb the pain (Audio),2019-12-09T18:20:08Z,2246197,90550,1861
XXXTENTACION feat. Lil Wayne - School Shooters (Audio),2019-12-09T18:19:56Z,2580654,81404,2635
XXXTENTACION feat. ikabodVEINS - CHASE / glass shards (Audio),2019-12-09T18:19:52Z,1106840,35496,1248
XXXTENTACION - the interlude that never ends (Audio),2019-12-09T18:19:49Z,1927378,52787,1820
XXXTENTACION & Kemba feat. Joey Bada$$ - Daemons (Audio),2019-12-09T18:19:42Z,1391495,35865,1354
XXXTENTACION & Craig Xen - THE ONLY TIME I FEEL ALIVE (Audio),2019-12-09T18:19:39Z,1684750,46866,1357
XXXTENTACION - Eat It Up (Audio),2019-12-09T18:19:25Z,1143895,42301,1285
XXXTENTACION - Triumph (Audio),2019-12-09T18:19:22Z,8979893,187970,6733
XXXTENTACION feat. Noah Cyrus - Ecstacy (Audio),2019-12-09T18:19:18Z,2976225,90582,2982
XXXTENTACION - UGLY (Audio),2019-12-09T18:19:15Z,1998604,76730,2991
XXXTENTACION feat. Sauce Walka & Carnage - Voss (Audio),2019-12-09T18:19:12Z,895011,44706,1807
XXXTENTACION - Ex Bitch (Audio),2019-12-09T18:19:06Z,40476154,945575,35987
XXXTENTACION feat. Jimmy Levy - wanna grow old (i won't let go) (Audio),2019-12-09T18:19:03Z,2881649,103996,6087
XXXTENTACION - bad vibes forever (Official Video) (feat. PnB Rock & Trippie Redd),2019-12-05T18:00:11Z,44881756,1584428,95391
XXXTENTACION - Bad Vibes Forever (Teaser),2019-11-22T05:04:18Z,2384962,192748,9711
XXXTENTACION - HEARTEATER (Official Video),2019-10-25T15:00:12Z,7699607,620244,61041
XXXTENTACION - HEARTEATER (Audio),2019-10-22T04:00:04Z,15124907,638610,67500
XXXTENTACION - HEARTEATER (Teaser),2019-10-18T14:25:36Z,3920305,183920,17450
"XXXTENTACION  - Royalty (Official Video) (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel)",2019-10-02T14:00:01Z,12691188,582490,33435
Nocturne (a tribute to XXXTENTACION by Yoko Shimomura),2019-09-06T04:00:12Z,4978810,442840,22520
XXXTENTACION - ? Deluxe 3LP Unboxing,2019-08-12T22:43:01Z,1723056,210167,18717
Craig Xen & XXXTENTACION - RUN IT BACK! (Official Video),2019-07-30T17:58:16Z,9975851,622849,33414
XXXTENTACION - Documentary Trailer,2019-06-18T17:31:57Z,10461810,957896,80444
XXXTENTACION - SAUCE! (Official Video),2019-02-16T00:58:42Z,85557334,2368273,185806
Kid Trunks - Woah (Freestyle) (Audio),2019-01-25T15:41:04Z,1980394,118520,10360
XXXTENTACION Global Mural Project,2019-01-24T01:12:44Z,7423597,462361,32629
"TankHead, Ratchet Roach, Flyboy Tarantino, Cooliecut - MEMBERS ONLY! (Audio)",2019-01-23T06:11:37Z,1189121,48576,3067
"Cooliecut, Craig Xen, Kin$oul & Ski Mask The Slump God - Empty (Audio)",2019-01-23T05:53:36Z,1653594,59731,2794
XXXTENTACION & Killstation - Rebirth (2016) (Audio),2019-01-23T05:52:58Z,2573051,129938,10520
"Cooliecut, Kin$oul & Rawhool Mane - Over the Rainbow (Audio)",2019-01-23T05:52:08Z,1614246,46930,1357
Cooliecut & Kin$oul - Red Pills (Love in the Matrix) (Audio),2019-01-23T05:51:51Z,1050214,36594,1036
"XXXTENTACION, Bass Santana, Kin$oul, Kid Trunks & Flyboy Tarantino - Hi Wendy! (Audio)",2019-01-23T05:51:24Z,2231690,70448,2286
"Ratchet Roach, Bass Santana & Robb Bank$ - Radar (Audio)",2019-01-23T05:50:46Z,655310,22290,620
Craig Xen - PROUD PUPPY LOVER! (Audio),2019-01-23T05:06:21Z,934278,37852,2135
"Bass Santana, XXXTENTACION & Ski Mask The Slump God - Make Eem Run! (Audio)",2019-01-23T05:06:09Z,13103145,364919,20926
"Bass Santana, Kin$oul, Robb Bank$, Bhris & absentwill - You Are Not M.O. (Audio)",2019-01-23T05:05:30Z,740968,26154,848
"Bass Santana, Flyboy Tarantino, Kid Trunks & Craig Xen - Jahseh on my Wrist (Audio)",2019-01-23T05:05:17Z,1036744,36134,1496
Ski Mask The Slump God - He Diddy! (Audio),2019-01-23T05:04:16Z,2180780,89070,3745
"XXXTENTACION, Bass Santana, Kin$oul & Reddz - Touch Eem Body (Audio)",2019-01-23T05:04:08Z,3210981,104124,4510
"Killstation, Cooliecut & Craig Xen - Cold Weather (Audio)",2019-01-23T05:02:58Z,1253736,72717,7577
"Flyboy Tarantino, Craig Xen & Kidway - Now or Never (Audio)",2019-01-23T05:00:41Z,1676276,70285,4578
"Bass Santana, Cooliecut & Kin$oul - Fall in Love with Death (Audio)",2019-01-23T05:00:34Z,1706391,59935,2549
Corey - Corey's Intro (Audio),2019-01-23T05:00:07Z,4643921,164745,12704
"Flyboy Tarantino & Craig Xen - Love Hard, Fall Fast (Audio)",2019-01-23T05:00:05Z,1922292,71735,3684
"Kid Trunks, Flyboy Tarantino & Robb Bank$ - Plottin (Audio)",2019-01-23T05:00:05Z,1831413,80952,6005
"Cooliecut, Craig Xen & Killstation - Nothing (Audio)",2019-01-23T05:00:02Z,3932775,137151,6213
"XXXTENTACION, Flyboy Tarantino, Kid Trunks, Bass Santana & Kin$oul - Gassed Up! (Audio)",2019-01-23T05:00:01Z,4837884,158361,8134
Tankhead & Ikabod Veins - Pick Your Poison (Audio),2019-01-23T05:00:01Z,1339117,53933,3357
XXXTENTACION - BAD! (Official Music Video),2018-12-15T06:58:16Z,165913761,4462973,235189
XXXTENTACION - SKINS Album Release Party,2018-12-10T15:00:05Z,3079479,200660,13713
XXXTENTACION - Introduction (Audio),2018-12-07T05:00:10Z,5804623,168745,8709
XXXTENTACION - One Minute (Audio) (feat. Kanye West),2018-12-07T05:00:04Z,16255680,481479,36582
XXXTENTACION - Guardian angel (Audio),2018-12-07T05:00:04Z,34444298,885968,63452
XXXTENTACION - difference (interlude) (Audio),2018-12-07T05:00:03Z,8454094,314551,11783
XXXTENTACION - whoa (mind in awe) (Audio),2018-12-07T05:00:02Z,98807824,1599005,68110
XXXTENTACION - I don’t let go (Audio),2018-12-07T05:00:01Z,35118536,713448,35628
XXXTENTACION - STARING AT THE SKY (Audio),2018-12-07T05:00:01Z,12700493,336624,17049
XXXTENTACION - what are you so afraid of (Audio),2018-12-07T05:00:01Z,26878519,564493,27781
XXXTENTACION - Train food (Audio),2018-12-07T05:00:00Z,13483021,372059,23383
XXXTENTACION - BAD! (Audio),2018-11-09T05:00:03Z,135593109,3033864,253950
Robb Bank$ - Bad Vibes Forever (Official Video),2018-11-07T23:45:48Z,7493957,581672,50079
XXXTENTACION - MOONLIGHT (OFFICIAL MUSIC VIDEO),2018-10-01T04:00:05Z,941437621,16592278,1186461
