Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Alina Baraz - Maze (Official Lyric Video),2021-10-30T19:39:08Z,570269,11823,366
Alina Baraz - No Interference (Official Lyric Video),2021-10-29T18:25:46Z,247457,5301,193
Alina Baraz - Change My Mind (Official Lyric Video),2021-10-29T18:25:41Z,463017,8715,216
Alina Baraz - Right There (Official Lyric Video),2021-10-29T18:25:34Z,215755,5659,162
Alina Baraz - Between Us (Official Lyric Video),2021-09-25T11:48:37Z,456471,13270,322
Alina Baraz - If You Let Me (Official Lyric Video),2021-09-25T11:48:32Z,382592,9666,216
Alina Baraz - I Could Imagine (Official Lyric Video),2021-09-25T11:48:26Z,330996,11761,334
Alina Baraz - Alone With You (Official Lyric Video),2021-07-23T02:13:00Z,2680646,56489,1700
Alina Baraz - Morocco feat. 6LACK (Devault Remix) [Official Audio],2020-10-07T04:00:03Z,244861,3893,114
Alina Baraz - Off the Grid feat. Khalid (SOFI TUKKER Remix) [Official Audio],2020-08-19T03:59:13Z,358438,2856,87
Alina Baraz - Frank x To Me,2020-08-14T20:00:10Z,3080384,52504,1154
Alina Baraz - Be Good (Official Lyric Video),2020-04-24T20:57:28Z,276642,5614,135
Alina Baraz - The Beginning (Official Lyric Video),2020-04-24T06:25:39Z,304381,5515,205
Alina Baraz - Gimme The Wheel feat. Smino (Official Lyric Video),2020-04-24T06:25:14Z,927493,15565,344
Alina Baraz - Night and Morning (Official Lyric Video),2020-04-24T06:25:14Z,2159930,28964,375
Alina Baraz - Memo Blue (Official Lyric Video),2020-04-24T06:25:14Z,302141,5332,232
Alina Baraz - Take It Home (Official Lyric Video),2020-04-24T06:25:14Z,1655354,20034,357
Alina Baraz - Frank (Official Lyric Video),2020-04-24T06:25:14Z,1492207,18949,429
Alina Baraz - Who Got Me (Official Lyric Video),2020-04-24T06:25:14Z,935353,13703,317
Alina Baraz - Until I Met You feat. Nas (Official Lyric Video),2020-04-24T06:25:14Z,1522077,32177,690
Alina Baraz - My Whole Life (Official Lyric Video),2020-04-24T06:25:14Z,1658074,32530,699
Alina Baraz - Say You Know (Official Lyric Video),2020-04-24T06:25:14Z,638945,8874,225
Alina Baraz - Off the Grid feat. Khalid (Official Lyric Video),2020-04-23T17:06:41Z,4142980,91168,1199
Alina Baraz - Endlessly (Official Lyric Video),2020-04-08T18:38:35Z,4434942,56826,1074
