Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
"Before You Exit, Great Good Fine Ok - Paradise (Official Audio)",2022-04-10T01:20:43Z,29399,2300,203
Before You Exit - Same Sun (Official Audio),2020-07-17T15:23:24Z,452725,22915,753
"Before You Exit - 'love, pain, & retrospect' Video Series",2019-07-31T18:33:51Z,146469,7527,312
Before You Exit - The Butterfly Effect (Official Music Video),2019-07-21T23:58:16Z,221780,14054,588
Before You Exit - We're Gonna Be Alright (Official Audio),2019-07-03T01:13:05Z,240315,10861,252
Before You Exit - Homesick (Official Audio),2019-07-01T01:03:54Z,171780,6529,191
Before You Exit - Safe & Sound (Official Audio),2019-06-29T00:18:35Z,70603,3968,136
Before You Exit - The Butterfly Effect (Official Audio),2019-06-01T02:47:30Z,2470173,93369,1337
Before You Exit - Sinking In (Official Music Video),2019-04-13T23:06:47Z,148427,7673,328
Before You Exit - Solar Eclipse (Official Audio),2019-03-13T01:02:05Z,193325,6268,227
Before You Exit - Painkiller (Official Audio),2019-03-10T23:37:31Z,360155,11929,229
Before You Exit - Sinking In (Official Audio),2019-03-09T22:58:26Z,130687,5045,150
Before You Exit & Lash - Numb (Official Audio),2019-02-02T22:39:51Z,627696,18713,311
Before You Exit - Silence (Official Music Video),2019-01-13T00:58:12Z,354325,20192,872
Before You Exit - Pleasure (Official Audio),2018-11-17T01:54:37Z,193049,5215,142
Before You Exit - Looking Glass (Official Audio),2018-11-17T01:52:09Z,696508,17902,267
Before You Exit - Buzz (Official Audio),2018-11-17T01:51:41Z,258094,7285,149
Before You Exit - Silence (Official Audio),2018-10-20T19:14:58Z,8567903,259934,3442
Before You Exit - Strangers (Official Audio),2017-11-04T02:43:33Z,1594178,37131,661
"Before You Exit, Great Good Fine Ok - Find Yourself (Official Video)",2017-07-07T23:19:24Z,536554,14620,526
"Before You Exit, Great Good Fine Ok - Find Yourself (Official Audio)",2017-05-26T06:10:45Z,763540,20173,491
Before You Exit - Asia Tour 2017,2017-03-30T20:31:21Z,31122,1499,189
Ed Sheeran - Happier Cover by Before You Exit,2017-03-14T01:19:43Z,572296,19384,764
Before You Exit - Clouds (Official Audio),2016-12-14T20:10:09Z,6679628,195846,5659
Before You Exit - Mall of Asia Arena,2016-02-07T01:56:21Z,86254,3423,437
Justin Bieber - Love Yourself Cover by Before You Exit,2016-01-01T23:58:07Z,1278121,31142,1322
Before You Exit - Indonesia Update,2015-12-03T01:10:46Z,27923,1806,186
The Weeknd - Can't Feel My Face Cover by Before You Exit,2015-08-23T01:53:28Z,303532,9797,560
Before You Exit - European Tour Update,2015-03-16T00:13:12Z,40935,1787,149
Before You Exit - Bus Tour in Europe,2015-03-08T00:59:39Z,42404,1881,86
Mark Ronson ft. Bruno Mars - Uptown Funk Cover by Before You Exit,2015-02-21T20:00:01Z,356168,8456,334
Before You Exit - Macy's Thanksgiving Day Parade,2014-12-02T01:25:12Z,44424,1914,99
One Direction - Steal My Girl Cover by Before You Exit,2014-10-07T00:29:25Z,2424950,53013,2599
Before You Exit - iHeartRadio Music Festival,2014-09-23T23:59:53Z,65116,2039,124
Before You Exit - The Dangerous Tour Series (Manila) - Episode 5,2014-06-02T01:00:12Z,109456,2919,335
Before You Exit - The Dangerous Tour Series - Episode 4,2014-05-09T23:59:31Z,40138,1275,77
John Legend - All of Me Cover by Before You Exit,2014-04-23T01:00:20Z,4054760,46744,1828
Before You Exit - The Dangerous Tour Series - Episode 3,2014-04-19T22:59:28Z,37385,1165,66
Before You Exit - The Dangerous Tour Series - Episode 2,2014-04-12T21:59:35Z,29847,1058,46
Before You Exit - The Dangerous Tour Series - Episode 1,2014-04-06T00:29:18Z,46624,1727,112
Before You Exit - Soldier Music Video - Behind The Scenes,2014-02-16T00:05:44Z,71796,2250,91
Before You Exit - Soldier (Official Video),2014-02-12T21:59:11Z,2446497,42995,2366
"Bruno Mars - ""When I Was Your Man"" Cover by Before You Exit",2013-03-03T22:59:22Z,3283889,52324,5002
Fun. - Some Nights Cover by Before You Exit,2012-08-04T20:00:10Z,4014632,57254,6793
One Direction - What Makes You Beautiful Cover by Before You Exit,2012-01-01T22:23:46Z,9901720,121303,13343
