Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Clairo - Wade,2021-07-16T03:59:41Z,175590,6067,267
Clairo - Zinnias,2021-07-16T03:59:41Z,162382,5594,230
Clairo - Just for Today,2021-07-16T03:59:41Z,174915,6382,197
Clairo - Reaper,2021-07-16T03:59:41Z,118743,6153,569
Clairo - Amoeba,2021-07-16T03:59:41Z,3316195,83439,2172
Clairo - Harbor,2021-07-16T03:59:41Z,198056,6526,245
Clairo - Little Changes,2021-07-16T03:59:41Z,95491,4156,165
Clairo - Management,2021-07-16T03:59:41Z,339909,14427,833
Clairo - Bambi,2021-07-16T03:59:41Z,484610,19890,829
Clairo - Joanie,2021-07-16T03:59:41Z,116387,4911,258
Clairo - Partridge,2021-07-16T03:59:41Z,209626,9886,687
Clairo - Blouse,2021-06-11T04:01:15Z,964028,65065,3981
Appleville Clairo (9/12/2020),2020-09-17T20:47:48Z,460758,31249,2064
Brown Trout Blues (Johnny Flynn),2020-05-01T06:37:20Z,346085,16365,
"Everyday, I Don't - Anna Domino (cover)",2020-04-05T05:30:03Z,152899,8378,474
Tame Impala Tour Diary (Part 1),2020-03-25T06:04:24Z,160311,9107,573
"february 15, 2020 london, uk (demo)",2020-02-16T08:05:03Z,112447,7111,434
Clairo - Bags (Japanese Lyric Video),2020-02-04T01:00:01Z,27011,1994,122
IMMUNITY NORTH AMERICAN TOUR W/ BEABADOOBEE & HELLO YELLO,2019-08-29T23:12:38Z,82834,4121,371
Clairo - I Wouldn't Ask You,2019-08-02T04:01:52Z,946539,26530,970
Clairo - Sinking,2019-08-02T04:01:40Z,634064,15319,433
Clairo - Feel Something,2019-08-02T04:01:29Z,1028838,25584,624
Clairo - White Flag,2019-08-02T04:01:16Z,601098,13978,368
Clairo - Softly,2019-08-02T04:01:05Z,1591656,46549,1207
Clairo - North,2019-08-02T04:00:39Z,655001,14281,388
Clairo - Impossible,2019-08-02T04:00:06Z,1234007,23454,650
Clairo - Alewife,2019-08-02T03:59:28Z,1498608,33877,1272
Clairo - Sofia,2019-07-26T03:58:56Z,88475319,1407766,32489
Clairo - Closer To You,2019-06-27T16:09:24Z,1132925,33037,1791
Edge of desire - john mayer,2019-06-18T08:21:32Z,86270,5344,412
Clairo - Bags,2019-05-24T03:59:30Z,14312960,247650,6326
Tirzah - Gladly (cover),2019-05-08T16:47:22Z,111424,5966,371
"mount airy, georgia - october 18th, 2018",2019-05-04T03:05:16Z,253739,18764,1010
girl girl girl (old song),2019-03-26T23:21:17Z,611558,33299,
Clairo - Heaven (Skate Kitchen Soundtrack),2018-09-07T04:00:26Z,3880728,157501,
SG Lewis x Clairo - Better,2018-08-08T14:00:24Z,3646581,139239,3537
Cuco x Clairo - Songs From Scratch,2018-07-31T16:16:10Z,2734541,177335,4859
slow burn - kacey musgraves (cover),2018-05-31T21:54:39Z,199660,10751,621
Clairo - 4EVER,2018-04-27T14:59:58Z,17867910,508356,11170
waste - brockhampton,2018-03-28T03:48:58Z,1173841,54815,1722
Bubble Gum - Clairo - Bedstock,2017-11-28T14:21:40Z,308672,18223,1547
he can only hold her - amy winehouse,2017-11-04T19:40:59Z,786885,35382,1818
sum1 else - Clairo,2017-09-05T01:32:32Z,1506735,43414,
Clairo - Pretty Girl,2017-08-04T16:28:15Z,82731542,2055424,
brite boy - alex g (cover),2017-07-17T22:18:36Z,280013,9020,290
my funny valentine,2017-07-09T01:46:01Z,1891231,79216,2496
Clairo - Flamin Hot Cheetos,2017-06-14T04:23:20Z,21069273,441139,9374
goons and silver spoons,2017-05-24T01:02:03Z,136688,4215,193
c h a n g i n g,2017-05-14T02:21:37Z,490830,18197,594
cake in england,2017-04-22T19:56:52Z,104106,5018,203
natural habitat - artifact - rivs and revs,2016-10-17T02:55:20Z,76877,3039,110
bladeless,2016-06-30T04:12:45Z,219638,9027,204
sea of love - phil phillips,2016-05-27T04:01:06Z,125610,5598,138
me and hen being silly:),2015-12-30T22:59:37Z,53619,,45
in between days,2015-10-30T22:40:29Z,287184,11038,470
i wiiish i was a sailor,2015-10-08T00:04:45Z,569390,22152,588
video diary 1,2015-08-07T07:42:18Z,114804,5758,165
up to the brim,2015-05-20T03:35:39Z,137035,4226,126
heidi cakes,2015-03-20T03:20:18Z,61262,2034,69
ur mother should know,2015-02-10T02:54:36Z,153724,9486,
duet,2014-12-25T06:10:57Z,1130225,43967,1470
