Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
ⁱⁿˢⁱᵈᵉ⁻ᵒᵘᵗ ²⁵ // ᵐᵉᵉᵗ ᵐᵉ ᵃᵗ ᵒᵘʳ ˢᵖᵒᵗ #shorts,2022-04-06T11:00:09Z,7769,462,10
HONNE - Location Unknown ◐ (Live from The Pool),2022-04-01T11:26:23Z,76060,1841,67
HONNE - NOW I'M ALONE (Live from The Pool),2022-03-30T13:00:43Z,50713,1610,77
ⁱⁿˢⁱᵈᵉ⁻ᵒᵘᵗ ²⁴ // ³⁰⁶ #shorts,2022-03-26T12:00:24Z,4194,361,11
ⁱⁿˢⁱᵈᵉ⁻ᵒᵘᵗ ²³ // ᵗʰʳᵉᵉ ˢᵗʳⁱᵏᵉˢ #shorts,2022-03-24T12:00:16Z,2691,210,8
HONNE - no song without you (Live from The Pool),2022-03-23T11:00:34Z,40837,1631,100
ⁱⁿˢⁱᵈᵉ⁻ᵒᵘᵗ ²² // ⁱ ʲᵘˢᵗ ʷᵃⁿⁿᵃ ᵍᵒ ᵇᵃᶜᵏ #shorts,2022-03-22T12:15:03Z,2612,246,4
ⁱⁿˢⁱᵈᵉ⁻ᵒᵘᵗ ²¹ // ᵒⁿᵉ ʷᵃʸ ᵗᵒ ᵗᵒᵏʸᵒ. #shorts,2022-03-19T12:00:35Z,3044,245,9
ⁱⁿˢⁱᵈᵉ⁻ᵒᵘᵗ ²⁰ // ˢᵒᵐᵉᵗⁱᵐᵉˢ…,2022-03-17T12:00:42Z,3799,299,8
HONNE - I'M BLESSED (Live),2022-03-16T14:58:52Z,38213,1690,86
ⁱⁿˢⁱᵈᵉ⁻ᵒᵘᵗ ¹⁹ // ʸᵒᵘ ʷᵉʳᵉ ᵇʸ ᵐʸ ˢⁱᵈᵉ ❤️ #shorts,2022-03-14T12:00:37Z,3490,384,16
ⁱⁿˢⁱᵈᵉ⁻ᵒᵘᵗ ¹⁸ // ⁱ ᵐⁱᵍʰᵗ,2022-03-13T12:00:40Z,3062,302,6
ⁱⁿˢⁱᵈᵉ⁻ᵒᵘᵗ ¹⁷ // ⁱ'ᵐ ᵗʰᵉ ˡᵘᶜᵏʸ ᵒⁿᵉ #shorts,2022-03-10T12:00:41Z,3103,246,4
ⁱⁿˢⁱᵈᵉ⁻ᵒᵘᵗ ¹⁶ // ᶠʳᵉᵉ ˡᵒᵛᵉ. ᵗʰⁱˢ ᵒⁿᵉ ⁱˢ ᶠᵒʳ ᴶʰᵒᵖᵉ & ⱽ ❤️ˣˣ #shorts,2022-03-07T12:02:52Z,5199,676,21
ⁱⁿˢⁱᵈᵉ⁻ᵒᵘᵗ ¹⁵ // ʷʰᵒ ᵏᵉᵉᵖˢ ʸᵒᵘ ʷᵃʳᵐ ᵒⁿ ᵃ ᶜᵒˡᵈ ⁿⁱᵍʰᵗ? #shorts,2022-03-04T12:00:43Z,5175,600,15
HONNE - WHAT WOULD YOU DO? (Live from The Pool),2022-03-02T15:26:00Z,42670,1390,72
ⁱⁿˢⁱᵈᵉ⁻ᵒᵘᵗ ¹⁴ // ˢᵏⁱⁿⁿʸ ˡᵒᵛᵉ ᵇʸ ᵇᵒⁿ ⁱᵛᵉʳ ❤️ #shorts,2022-03-02T12:00:50Z,2973,272,5
ⁱⁿˢⁱᵈᵉ⁻ᵒᵘᵗ ¹³ // ʰᵉᵃʳᵗˢᵒⁿᵍ. ʸᵒᵘ ᵐᵃᵏᵉ ᵐʸ ʰᵉᵃʳᵗ ˢⁱⁿᵍ #shorts,2022-02-28T12:00:34Z,4647,385,14
