Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Kim Petras - Slut Tour (Release Night Recap),2022-02-16T22:08:29Z,68608,4015,310
kimisaslut.com,2022-01-28T20:45:33Z,92030,5658,263
Kim Petras - Coconuts live from the MTV EMAs,2021-11-14T20:33:11Z,59356,2786,170
Kim Petras - Future Starts Now (Behind The Scenes),2021-10-21T18:00:03Z,12097,1007,66
the craziest week of my life - Kim Petras,2021-10-07T19:25:19Z,24403,2339,191
Future Starts Now Music Video Premiere Chat,2021-10-05T17:02:35Z,22838,2057,89
UN… DEUX… TROIS… 3 DAYS 🌟 #shorts,2021-08-24T16:58:44Z,21182,1849,64
BABY DON’T YOU KNOW… THE FUTURE STARTS SOON 🌟 #shorts,2021-08-19T22:59:55Z,28267,2443,85
FUTURE STARTS NOW OUT AUGUST 27TH 🥖 #SHORTS,2021-08-16T20:00:21Z,47992,3745,199
LOLLAPALOOZA TONIGHT 🌟 #SHORTS,2021-07-29T17:00:37Z,32041,2470,83
Kim Petras - Live Performance (Full Show + Q&A),2021-06-26T00:02:05Z,281857,8897,699
Malibu - Kim Petras (Acoustic),2020-07-23T18:01:05Z,89737,5071,327
Malibu - Kim Petras (At Home Edition),2020-05-11T17:00:27Z,3524940,81321,4018
Malibu - Kim Petras (Official Audio),2020-05-07T13:58:33Z,812388,27726,1458
Kim Petras - Reminds Me (Live In London),2020-03-05T17:01:04Z,133623,5932,326
Reminds Me - Kim Petras (Official Audio),2020-02-11T17:12:25Z,490372,14987,1263
KIM PETRAS - CLARITY TOUR NEW YORK,2020-02-03T18:37:35Z,15955,1289,91
Icy - Kim Petras (Behind The Scenes),2019-11-04T20:05:19Z,59743,3029,160
Icy - Kim Petras (Official Music Video),2019-10-15T13:00:11Z,4739549,105658,5332
Purgatory - Kim Petras (Official Audio),2019-10-01T04:19:01Z,616546,10556,303
There Will Be Blood - Kim Petras (Official Audio),2019-10-01T04:16:43Z,2275042,35505,1124
Bloody Valentine - Kim Petras (Official Audio),2019-10-01T04:16:37Z,343387,5306,156
Wrong Turn - Kim Petras (Official Audio),2019-10-01T04:16:31Z,784068,12133,455
Demons - Kim Petras (Official Audio),2019-10-01T04:16:26Z,736415,19434,553
Massacre - Kim Petras (Official Audio),2019-10-01T04:16:21Z,777600,14317,525
Knives - Kim Petras (Official Audio),2019-10-01T04:16:17Z,195065,3918,151
Death By Sex - Kim Petras (Official Audio),2019-10-01T04:16:12Z,1037514,10917,475
Everybody Dies - Kim Petras (Official Audio),2019-10-01T04:16:08Z,319620,5710,243
KIM PETRAS - BROKEN TOUR,2019-08-05T22:11:46Z,15960,1152,93
Shinin' - Kim Petras (Official Lyric Video),2019-07-18T18:53:43Z,144885,4015,192
Meet the Parents - Kim Petras (Official Lyric Video),2019-07-15T22:08:51Z,207570,5326,264
Icy - Kim Petras (Official Lyric Video),2019-06-28T03:58:48Z,803270,20957,1031
Another One - Kim Petras (Official Lyric Video),2019-06-20T04:00:02Z,1815144,15871,675
KIM PETRAS - BROKEN TOUR NEW YORK,2019-06-17T21:52:59Z,26107,1620,112
Personal Hell - Kim Petras (Official Lyric Video),2019-06-13T04:00:02Z,996952,20615,977
Clarity - Kim Petras (Official Lyric Video),2019-06-06T04:00:00Z,823049,17571,744
Do Me - Kim Petras (Official Lyric Video),2019-05-30T04:00:00Z,2929455,61637,3985
All I Do Is Cry - Kim Petras (Official Lyric Video),2019-05-23T04:00:20Z,926016,19868,944
Sweet Spot - Kim Petras (Official Lyric Video),2019-05-13T04:06:25Z,2187612,25313,1006
Blow It All - Kim Petras (Official Lyric Video),2019-05-09T03:58:11Z,4617876,23478,1016
I LEAKED MY BEST FRIENDS NUMBER IN A SONG (NOT CLICKBAIT),2019-05-07T22:43:27Z,138755,3571,127
Got My Number - Kim Petras (Official Lyric Video),2019-05-02T03:57:41Z,960835,25363,1066
Broken - Kim Petras (Official Lyric Video),2019-04-25T03:58:46Z,3493177,30978,1415
Kim Petras - Live At The Troubadour,2019-04-02T16:50:11Z,12373,783,88
