Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
KYGO CLOSING ULTRA MUSIC FESTIVAL 2022 - FULL SET,2022-04-01T15:41:29Z,1097011,24698,901
Kygo - Dancing Feet ft. DNCE (Official Video Sneak Peek),2022-02-22T23:05:41Z,194720,10696,462
Kygo live from Banc of California Stadium / Behind The Scenes,2022-01-14T15:39:53Z,56964,3237,156
The Making of: Undeniable - Kygo ft. X Ambassadors,2021-10-20T21:44:29Z,152720,6021,253
The Making of Love Me Now ft. Zoe Wees,2021-08-27T21:25:39Z,174809,8042,414
Palm Tree Festival // Hamptons August 29th,2021-08-03T16:31:11Z,61678,2509,299
Kygo's 30-Day Music Production Class,2020-12-08T17:30:01Z,329005,15131,1077
Kygo x 360 Reality Audio,2020-11-20T15:00:01Z,215700,7917,325
Kygo x Calm,2020-06-28T08:00:00Z,227715,7678,347
Kygo - Lose Somebody w/ OneRepublic (Official Audio),2020-05-29T04:03:04Z,1348984,25215,515
Kygo - Feels Like Forever w/ Jamie N Commons (Official Audio),2020-05-29T04:02:56Z,2103880,27053,762
Kygo - Freedom w/ Zak Abel (Official Audio),2020-05-29T04:02:45Z,546688,11092,217
Kygo - Beautiful w/ Sandro Cavazza (Official Audio),2020-05-29T04:02:40Z,4014224,56729,1233
Kygo - To Die For w/ St. Lundi (Official Audio),2020-05-29T04:02:32Z,1686247,23476,566
Kygo - Broken Glass w/ Kim Petras (Official Audio),2020-05-29T04:02:23Z,2339014,30457,594
Kygo - How Would I Know w/ Oh Wonder (Official Audio),2020-05-29T04:02:16Z,1448603,27402,408
Kygo - Could You Love Me w/ Dreamlab (Official Audio),2020-05-29T04:02:09Z,1755525,21953,572
Kygo - Higher Love w/ Whitney Houston (Official Audio),2020-05-29T04:02:00Z,314898,5078,119
Kygo - I'll Wait w/ Sasha Sloan (Official Audio),2020-05-29T04:01:54Z,351307,8389,163
Kygo - Don't Give Up On Love w/ Sam Tinnesz (Official Audio),2020-05-29T04:01:46Z,1070857,16020,304
Kygo - Say You Will w/ Patrick Droney & Petey (Official Audio),2020-05-29T04:01:36Z,1255217,20420,306
Kygo - Follow w/ Joe Janiak (Official Audio),2020-05-29T04:01:28Z,927430,12989,345
Kygo - Like It Is w/ Zara Larsson & Tyga (Official Audio),2020-05-29T04:01:21Z,247016,5331,115
Kygo - Someday w/ Zac Brown (Official Audio),2020-05-29T04:01:12Z,1368475,16569,370
Kygo - Hurting w/ Rhys Lewis (Official Audio),2020-05-29T04:01:07Z,631696,11994,287
Kygo - Only Us w/ Haux (Official Audio),2020-05-29T04:01:00Z,894871,16392,457
Kygo - The Truth w/ Valerie Broussard (Official Audio),2020-05-29T04:00:53Z,726434,13598,367
Kids In Love Tour Asia & Oceania (Part II),2020-05-25T20:03:41Z,70181,3370,182
The Kids In Love Tour - Asia & Oceania (Part I),2020-05-25T19:56:22Z,59161,2451,139
Kids In Love Tour - North America,2020-05-25T15:36:18Z,64478,3340,222
"The Making Of: Freedom [Kygo, Zak Abel]",2020-04-27T17:34:06Z,429991,17205,965
Kygo - Coachella 2 Years After (A Behind The Scenes Look),2020-04-20T16:34:37Z,296359,10511,432
The Making Of: I'll Wait #3,2020-04-09T16:38:44Z,491291,21581,1402
"Kygo, Sasha Sloan - I'll Wait (Rob Gronkowski & Camille Kostek)",2020-04-03T19:16:56Z,2992769,54751,1223
#TogetherAtHome - Kygo,2020-03-26T21:16:22Z,235881,11988,584
The Making Of: Forever Yours (Avicii Tribute) #2,2020-01-27T15:54:51Z,404466,13231,173
"Kygo, Avicii, Sandro Cavazza - Forever Yours [Audio]",2020-01-24T08:00:01Z,435692,12757,74
"The Making Of: Higher Love (Kygo, Whitney Houston) #1",2019-10-21T15:24:03Z,2273481,73231,3535
Kygo & Imagine Dragons - Born To Be Yours (Lyric Video),2018-06-15T04:00:03Z,130329442,771989,10531
Kids In Love Tour - North America (Teaser),2018-05-23T10:44:00Z,97125,3120,155
Kygo x Wynn Las Vegas,2018-03-29T16:00:55Z,44079,1036,45
The Kids In Love Tour - Europe,2018-03-02T20:47:11Z,629418,7386,238
Kygo vs U2 -  You're The Best Thing About Me,2017-09-16T11:53:19Z,1599909,9294,192
Kygo Life,2016-08-31T16:16:07Z,611677,16261,633
"Kygo x Spotify - ""Cloud Nine"" - Out Now!",2016-05-18T16:17:10Z,174351,3147,129
Kygo - Barclays,2015-11-19T18:43:18Z,196185,4331,190
"Kygo || The Roundhouse, London || The Greek Theatre, LA",2015-07-09T16:11:34Z,297412,3586,96
Kygo - Stole The Show feat. Parson James [Official Behind the Scenes - YTMAs],2015-03-23T17:00:11Z,540216,3233,96
Kygo - Stole The Show feat. Parson James [Official Music Video - YTMAs],2015-03-23T16:55:04Z,406426794,2162020,37333
Kygo - Stole The Show [Official Teaser - YTMAs],2015-03-18T18:37:06Z,96306,766,18
Marvin Gaye - Sexual Healing (Kygo Remix),2013-11-21T19:45:55Z,19199762,101271,1568
Ellie Goulding - High For This (Kygo Remix),2013-11-16T02:58:18Z,1849408,7710,113
Passenger - Caravan (Kygo Remix),2013-10-07T20:03:18Z,11876699,33573,558
Ed Sheeran & Passenger - No Diggity vs. Thrift Shop (Kygo Remix),2013-10-07T19:25:40Z,441365,4186,89
Henry Green - Electric Feel (Kygo Remix),2013-10-07T01:10:28Z,627889,3994,108
Jakubi - Can't Afford It All (Kygo Remix),2013-10-05T21:47:30Z,688179,4942,130
Passenger - Let Her Go (Kygo Remix),2013-10-05T21:31:27Z,6930699,19855,271
Matt Corby - Resolution (Kygo Edit),2013-05-24T10:46:27Z,902394,6480,151
Rihanna ft. Mikky Ekko - Stay (Kygo Edit),2013-02-17T21:17:27Z,866774,5226,167
