Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Nina Nesbitt - Pressure Makes Diamonds (Official Video),2022-06-06T12:11:56Z,0,113,6
🖤 #shorts,2022-05-17T17:23:12Z,1321,114,3
Nina Nesbitt - Dinner Table (Official Video),2022-04-20T13:00:10Z,324520,2053,118
#shorts,2022-04-12T16:58:50Z,2266,177,12
When You Lose Someone video shoot (Official Behind-The-Scenes),2022-03-21T15:57:14Z,2302,140,12
"Writing ""When You Lose Someone""",2022-03-10T14:18:24Z,3155,274,30
Nina Nesbitt - When You Lose Someone Q&A 🖤,2022-03-01T14:32:20Z,2908,253,18
Nina Nesbitt - When You Lose Someone (Official Video),2022-03-01T14:00:11Z,1496171,49451,838
"1,2,3,4 #newmusic #singersongwriter",2022-02-23T12:14:04Z,2882,272,5
central park is a sad song #newmusic,2022-02-15T13:13:18Z,3606,412,6
Nina Nesbitt - When You Lose Someone (Official Lyric Video),2022-02-11T13:00:06Z,81433,3905,137
"Out of Office, the musical #christmascover",2021-12-17T09:20:53Z,3256,309,14
Nina Nesbitt - Oh Holy Night (Official Video),2021-12-14T16:00:01Z,12738,965,50
I loved last december,2021-12-06T17:09:56Z,2406,205,5
I feel like I’m in a british rom-com walking home to this #lastdecember,2021-12-02T16:31:11Z,2698,240,11
it’s that time again ❤️,2021-12-01T15:55:18Z,2801,287,8
sweet dreams & dynamite out now with Seeb,2021-11-19T13:10:25Z,4948,261,11
Nina Nesbitt - Life's A Bitch (L.A.B) (Acoustic Version),2021-10-29T12:00:17Z,11775,808,44
I have the cold,2021-10-22T14:36:42Z,3668,371,31
someone got a new plug-in #adele,2021-10-19T15:45:30Z,2617,279,13
brb off to the metaverse,2021-10-14T19:21:45Z,17063,676,32
Nina Nesbitt - Life's A Bitch (L.A.B) (Behind The Scenes),2021-10-11T14:39:01Z,4366,216,11
it’s officially sPoOkySeAsOn,2021-10-08T09:51:02Z,5443,165,5
what shall I pick? #autumnfashion,2021-10-06T15:47:26Z,2134,157,8
Life's A Bitch Q&A 🩸,2021-09-24T12:22:03Z,3264,231,10
Nina Nesbitt - Life's A Bitch (L.A.B) (Official Video),2021-09-24T12:00:12Z,987673,9548,251
Nina Nesbitt - Summer Fling (Acoustic Version),2021-08-27T12:26:38Z,26402,1612,88
Nina Nesbitt - Summer Fling (Behind the Scenes),2021-08-11T16:00:00Z,3340,275,25
Summer Fling 💙,2021-07-20T12:16:44Z,4471,387,11
Summer Fling Q&A 💙,2021-07-09T12:29:37Z,10273,468,26
Nina Nesbitt - Summer Fling (Official Video),2021-07-09T12:00:12Z,1479928,19781,535
Nina Nesbitt - Toxic (Winter Trees Session),2019-12-29T12:28:03Z,57991,2098,75
Nina Nesbitt - Last December (Winter Trees Session),2019-12-18T12:00:09Z,35513,1504,56
Nina Nesbitt - Still Waiting To Start (Winter Trees Session),2019-12-06T14:48:56Z,13543,743,38
Nina Nesbitt - Last December (Christmas Version),2019-12-06T00:00:03Z,17637,840,30
Nina Nesbitt - Oh Holy Night (Official Audio),2019-12-02T16:53:58Z,49587,1428,91
Nina Nesbitt - Black & Blue (Winter Trees Session),2019-11-29T10:00:06Z,17227,1168,57
Nina Nesbitt - The Sun Will Come Up (2011 - Now),2019-11-22T13:00:12Z,15759,1232,103
Nina Nesbitt - Ungrateful,2019-11-22T12:08:08Z,32042,1558,70
Nina Nesbitt - Still Waiting To Start,2019-11-22T00:00:00Z,50998,1878,66
Nina Nesbitt - Toxic (Official Audio),2019-10-24T23:00:10Z,126472,5213,185
Nina Nesbitt - Black & Blue (Lyric Video),2019-09-12T23:00:02Z,224068,6851,171
Nina Nesbitt - Is It Really Me You're Missing (Futosé Remix),2019-08-01T23:00:00Z,26070,646,38
Nina Nesbitt - Love Letter (Official Video),2019-04-18T11:57:44Z,465693,17955,574
Album Track by Track: Chloe,2019-04-15T14:00:13Z,3845,282,9
Album Track by Track: Empire,2019-03-18T15:00:06Z,2504,196,9
Album Track by Track: Love Letter,2019-03-15T15:00:07Z,3623,258,14
Nina Nesbitt Fan Q&A at The YouTube Space London,2019-02-26T16:00:00Z,4398,264,26
Album Track by Track: Sacred,2019-02-08T15:00:03Z,4979,306,18
Album Track by Track: Is It Really Me You're Missing,2019-02-06T15:00:03Z,15358,331,23
Nina Nesbitt - Chloe (Official Audio),2019-02-01T15:00:10Z,93058,2221,59
Nina Nesbitt - Last December (Official Audio),2019-02-01T15:00:07Z,241338,4931,144
Nina Nesbitt - Empire (Official Audio),2019-02-01T15:00:04Z,91267,2055,39
Nina Nesbitt - Sacred (Official Audio),2019-02-01T15:00:02Z,157832,4107,89
Nina Nesbitt - Things I Say When You Sleep (Official Audio),2019-02-01T15:00:00Z,185198,4221,89
Nina Nesbitt - Love Letter (Official Audio),2019-02-01T15:00:00Z,224169,4621,114
Nina Nesbitt - Is It Really Me You're Missing (Official Video),2019-02-01T09:58:42Z,767991,24343,898
Album Track by Track: Colder,2019-01-30T16:12:06Z,5707,479,33
Album Track by Track: Loyal To Me,2019-01-29T16:32:53Z,5256,392,32
Album Track by Track: Somebody Special,2019-01-25T15:00:04Z,4075,278,25
Album Track by Track: The Best You Had,2019-01-23T10:00:05Z,5726,486,33
Album Track by Track: The Moments I'm Missing,2019-01-18T17:15:00Z,12627,723,92
Nina Nesbitt - Colder (Official Video),2019-01-08T16:58:18Z,958748,34019,1465
Nina Nesbitt 'Colder' In The Studio with Fraser T Smith,2018-12-21T10:00:05Z,6273,359,28
Nina Nesbitt - Colder (Lyric Video),2018-11-30T09:56:21Z,2474480,40429,847
Nina Nesbitt - Loyal To Me (Acoustic) - In The Studio,2018-10-11T17:00:03Z,33333,1927,111
Nina Nesbitt - Loyal-Tea Hour (Episode 6),2018-10-09T17:00:03Z,4445,443,37
Nina Nesbitt - Loyal-Tea Hour (Episode 5),2018-10-02T14:47:10Z,4005,424,35
Nina Nesbitt - Loyal-Tea Hour (Episode 4),2018-09-25T14:00:07Z,8246,678,53
Nina Nesbitt - Loyal-Tea Hour (Episode 3),2018-09-11T16:00:04Z,9869,773,50
Nina Nesbitt - Loyal To Me (Luca Schreiner Remix),2018-09-07T09:00:06Z,33384,1013,32
Nina Nesbitt - Loyal-Tea Hour (Episode 2),2018-09-04T16:49:30Z,9525,877,50
Nina Nesbitt - Loyal To Me (Vertical Video),2018-09-03T17:02:53Z,28585,1732,59
Nina Nesbitt - Loyal To Me (Behind The Scenes),2018-08-31T10:46:57Z,16645,677,24
Nina Nesbitt - Loyal-Tea Hour (Episode 1),2018-08-28T17:00:03Z,17672,1775,150
Nina Nesbitt - Loyal To Me (Official Video),2018-08-21T14:58:46Z,3890601,94400,2630
Nina Nesbitt - Loyal To Me (Making Of),2018-08-14T15:13:24Z,9912,510,30
Nina Nesbitt - Loyal To Me (Lyric Video),2018-08-10T06:30:00Z,874481,23686,456
Nina Nesbitt live at Heaven,2018-07-26T13:51:45Z,6874,404,24
"Nina Nesbitt - The Sun Will Come Up, The Seasons Will Change (Official Audio)",2018-05-08T17:54:50Z,228057,5751,183
Nina Nesbitt - The Moments I'm Missing (TUNNELZ Remix),2017-11-30T17:42:40Z,5248,51,4
