Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Ruel | Growing Up Is_____ 2022 Tour Diary | Ep 4 (London),2022-05-06T05:30:03Z,13184,1229,50
Ruel | Growing Up Is_____ 2022 Tour Diary | Ep 3 (Manchester),2022-04-30T05:00:13Z,12912,1394,50
Ruel - LET THE GRASS GROW (Acoustic),2022-04-23T02:46:14Z,67959,8379,226
"dublin is consistently a good time, here’s some bts from the show :)",2022-04-18T14:13:02Z,8826,1041,27
Ruel | Growing Up Is_____ 2022 Tour Diary | Ep 2 (Dublin),2022-04-18T13:40:31Z,19828,2243,115
"tour diaries are back, first ep out now",2022-04-02T13:42:25Z,8903,1087,16
Ruel | Growing Up Is_____ 2022 Tour Diary | Ep 1 (New York),2022-04-02T12:30:10Z,21004,2618,144
Ruel - GROWING UP IS _____ (Official Live Video - Behind the Scenes),2022-03-22T13:00:04Z,23800,2721,83
Ruel x Surfrider Interview,2022-03-11T04:48:20Z,11355,1168,69
watch me perform “GROWING UP IS _____” live for the first time. full vid coming soon #ShortsRuel,2021-12-07T22:06:30Z,47821,6110,354
preview my new single “GROWING UP IS _____”. finish the lyric and post with #ShortsRuel,2021-12-01T19:14:42Z,51584,5590,249
RUEL | G.U.I _____ (Coming Soon),2021-12-01T16:58:08Z,36962,7032,490
"did a lil thing with holly humberstone, full vid out tomorrow",2021-11-04T11:29:01Z,17036,1976,41
Ruel - distance - (Official Video - Behind The Scenes),2021-02-02T20:10:14Z,110135,10509,737
Ruel - say it over (Official Video - Behind The Scenes),2020-12-30T12:38:28Z,87043,9534,520
Ruel - as long as you care (Official Video - Behind The Scenes),2020-12-10T15:00:01Z,78238,10238,516
"Ruel - Bright Lights, Red Eyes EP (Behind The Scenes)",2020-12-08T12:49:15Z,84573,12719,740
RuelVision Presents: Red Eyed Ranger,2020-09-24T07:13:45Z,55173,8545,407
RuelVision Presents: As Long As You're Cooked,2020-09-18T09:04:53Z,88062,14129,714
RuelVision Presents: Red Eye Witness News,2020-09-14T21:31:27Z,101283,18339,1002
Ruel - She (Harry Styles acoustic cover),2020-03-20T06:56:12Z,3366654,246378,5685
Ruel | Laneway Festival (Sydney & Perth),2020-03-10T06:44:51Z,107788,10576,461
Ruel | Laneway Festival (New Zealand & Sydney),2020-03-02T07:14:24Z,127362,12726,539
Ruel | Free Time World Tour Diary | Episode 15 (Amsterdam & Bangkok),2020-01-30T08:47:33Z,126101,11373,422
Ruel | Free Time World Tour Diary | Episode 14 (Dublin & Cologne),2020-01-23T08:53:39Z,115684,9993,352
Ruel - Face to Face (Live in NYC),2020-01-17T12:04:47Z,213111,19156,755
"Ruel | Free Time World Tour Diary | Episode 13 (London, Birmingham & Glasgow)",2020-01-16T08:34:24Z,116231,10269,445
Ruel | Free Time World Tour Diary | Episode 12 (Paris & Manchester),2020-01-04T09:09:01Z,121836,11582,494
Ruel | Free Time World Tour Diary | Episode 11 (Copenhagen & Berlin),2019-12-19T08:34:34Z,99980,9096,366
Ruel | Free Time World Tour Diary | Episode 10 (Oslo & Stockholm),2019-12-12T10:03:56Z,113182,9914,326
Ruel | Free Time World Tour Diary | Episode 9 (Los Angeles),2019-12-07T07:31:44Z,106980,10117,379
Ruel - Gospel (Acoustic),2019-12-04T21:33:34Z,680401,39613,1970
Ruel | Free Time World Tour Diary | Episode 8 (Houston & Dallas),2019-11-27T23:11:27Z,166335,14825,668
Ruel | Free Time World Tour Diary | Episode 7 (New York & Atlanta),2019-11-21T09:59:45Z,173135,14023,599
Ruel | Free Time World Tour Diary | Episode 6 (Philadelphia & Washington D.C),2019-11-17T13:19:48Z,144562,11339,494
"Ruel | Free Time World Tour Diary | Episode 5 (Portland, Wyoming & Chicago)",2019-11-07T10:13:30Z,140802,11946,445
Ruel | Free Time World Tour Diary | Episode 4 (San Francisco & Seattle),2019-11-01T00:32:25Z,166665,13322,412
Ruel | Free Time World Tour Diary | Episode 3 (Sydney & Yours+Owls),2019-10-25T09:22:36Z,223231,16764,518
Ruel | Free Time World Tour Diary | Episode 2 (Hobart & Melbourne),2019-10-17T08:14:29Z,224239,17864,661
"Ruel | Free Time World Tour Diary | Episode 1 (Brisbane, Perth & Adelaide)",2019-10-11T07:36:42Z,259763,20559,646
Ruel - Call Out My Name (Acoustic Cover),2019-07-28T03:37:04Z,14553104,665655,13008
Ruel - Painkiller (Official Video - Behind The Scenes),2019-06-06T09:58:45Z,319679,34906,973
"Ready Tour 2019 Pt. 2 (Bangkok, Singapore, Jakarta, Kuala Lumpur)",2019-05-24T11:12:40Z,132348,15025,631
"Ready Tour 2019 Pt. 1 (Manila, Tokyo, Seoul, Hong Kong)",2019-05-15T12:33:31Z,134370,14575,877
SG Lewis - Flames (feat. Ruel),2019-05-10T17:05:33Z,214059,12933,699
PAINKILLER IS COMING,2019-04-29T12:30:10Z,45890,7718,489
Ruel • Don't Tell Me (Live),2018-01-05T07:59:04Z,155557,7914,263
Ruel • Golden Years (Live),2017-10-31T07:42:24Z,156046,6162,157
Ruel • Who Did That To You (Live Cover),2017-09-18T00:25:21Z,493399,17502,424
Ruel  • Don't Tell Me (Acoustic Version),2017-08-24T08:26:20Z,351371,15290,422
Ruel • Don't Tell Me (Behind The Scenes),2017-07-14T07:58:38Z,49923,3249,99
Ruel • Don't Tell Me (Official Audio),2017-07-14T00:00:12Z,1132422,21098,720
M-Phazes x Ruel • Weathered (Like A Version Warm Up),2017-06-23T07:00:11Z,62119,4215,120
