Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
📌Animation process,2022-06-03T11:30:04Z,37311,4855,87
📺GAME OVER,2022-05-27T10:00:19Z,79775,7975,177
📻Jackpot,2022-05-20T10:00:13Z,49956,5458,131
📺Mistakes,2022-05-13T10:00:06Z,196746,7136,136
✨Inspiration✨,2022-05-06T10:00:19Z,193534,30997,264
📺H.A.Y,2022-04-29T10:00:12Z,131698,14420,243
📺(yawn),2022-04-22T10:00:03Z,80967,8801,150
📻Spring Playlist🌸,2022-04-15T10:00:20Z,95377,8816,140
💜 What's your favorite? 🌿,2022-04-08T10:00:25Z,59462,8871,238
🎨New RDR💕,2022-04-01T10:00:31Z,62875,6397,155
📻Night Train,2022-03-25T10:00:20Z,153296,17545,301
📺ON,2022-03-11T10:00:21Z,123376,10182,265
📺Dreams Come True,2022-03-04T10:00:07Z,72606,6597,165
🎨주술회전0 스피드페인팅 (Jujutsu kaisen 0 speed painting),2022-02-25T10:00:27Z,28668,2053,56
Look at this,2022-02-11T10:00:04Z,94304,10099,144
🎨체인소맨 스피드페인팅 (Chainsaw Man speed painting),2022-01-28T10:00:40Z,83073,7678,150
EVANGELION,2022-01-21T10:00:28Z,141017,16584,205
📺Dreamin Chuchu,2022-01-14T10:00:23Z,241058,24364,308
4개의 감정들,2022-01-07T10:00:05Z,86730,8876,46
HAPPY NEW YEAR 2022,2022-01-01T10:00:13Z,45808,5099,184
DIID - ep5,2021-12-17T09:00:13Z,319621,9964,246
DIID - ep4. ATO,2021-12-15T10:00:11Z,72142,8469,167
DIID - ep3. BARI,2021-12-11T10:00:12Z,102966,10274,232
DIID - ep2. MOA,2021-12-08T10:00:12Z,90379,10387,174
DIID - ep1. TAYA,2021-12-04T10:00:12Z,121773,14321,226
[Teaser] Project ‘DIID’,2021-12-01T10:00:33Z,118951,15905,312
📺오늘의 meal,2021-11-27T10:00:22Z,43552,4429,102
🎨마마마 스피드페인팅 (Madoka Magica speed painting),2021-11-19T10:00:31Z,65254,6999,165
KANEDA,2021-11-12T10:00:18Z,154597,15935,154
🎨아케인 징크스 스피드페인팅 (Arcane Jinx speed painting),2021-11-06T10:00:31Z,85843,8560,165
📺Happy Halloween 2021,2021-10-29T10:00:36Z,155836,18799,302
카드의 정석 쿠키체크 with 람다람,2021-10-27T10:00:11Z,67164,7718,230
장패드 출시,2021-10-16T10:00:00Z,85594,9107,272
📺Sailormoon in my style,2021-10-15T10:00:18Z,184729,23502,349
📺NEW PHONE,2021-10-07T10:00:20Z,148008,17333,461
The daily lives of the three,2021-09-17T10:00:06Z,105313,10933,156
📺Friends 2,2021-09-10T10:00:01Z,128923,14315,233
📺지옥사원,2021-08-26T10:00:12Z,93138,9210,278
📺삠삠(BEAM BEAM),2021-07-16T10:00:00Z,408016,33446,520
🎨Draw Your Monster,2021-07-09T10:00:05Z,86856,8142,193
