Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Bad Bunny (ft. Bomba Estéreo) - Ojitos Lindos (360° Visualizer) | Un Verano Sin Ti,2022-05-06T23:23:36Z,13446702,394769,5496
Bad Bunny (ft. Rauw Alejandro) - Party (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:03:24Z,12494032,550925,12267
Bad Bunny - Aguacero (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:03:21Z,5415375,279681,4081
Bad Bunny - Después de la Playa (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:03:16Z,13951135,517944,12944
Bad Bunny - Un Ratito (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:03:13Z,8576800,381899,5207
Bad Bunny (ft. Jhay Cortez) - Tarot (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:03:09Z,8719598,396932,6618
Bad Bunny (ft. The Marias) - Otro Atardecer (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:03:06Z,5081477,240630,3993
Bad Bunny - Me Fui de Vacaciones (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:03:03Z,10095168,537423,8365
Bad Bunny - Yo No Soy Celoso (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:02:59Z,7434600,295214,4461
Bad Bunny - Efecto (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:02:56Z,5358788,253885,3690
Bad Bunny - El Apagón (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:02:41Z,4167632,182983,3582
Bad Bunny - Agosto (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:02:36Z,3658674,193406,2756
Bad Bunny - Un Coco (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:02:28Z,5658869,273340,5218
Bad Bunny - Neverita (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:02:25Z,5344615,252226,3169
Bad Bunny (ft. Buscabulla) - Andrea (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:02:21Z,9359089,355702,7868
Bad Bunny - Enséñame a Bailar (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:02:18Z,4154109,209061,2883
Bad Bunny - Tití Me Preguntó (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:02:13Z,13524006,478700,9561
Bad Bunny - Un Verano Sin Ti (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:02:09Z,6861037,364571,5297
Bad Bunny - Dos Mil 16 (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:02:06Z,7241152,349323,7670
Bad Bunny (ft. Chencho Corleone) - Me Porto Bonito  (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:02:01Z,17609793,692456,10913
Bad Bunny (ft. Tony Dize) - La Corriente (360° Visualizer) | Un Verano Sin Ti,2022-05-06T04:01:57Z,8538417,422343,10734
Bad Bunny - Moscow Mule (Official Video) | Un Verano Sin Ti,2022-05-06T04:00:11Z,36176273,1748537,53727
BAD BUNNY | #shorts Un Verano Sin Ti ❤️🌊☀️🌴,2022-05-04T19:16:33Z,394075,66457,721
"BAD BUNNY | #shorts Ahora sí, empezó el 2022 🌊❤️‍🔥☀️",2022-01-24T18:10:45Z,1886707,130112,1979
"BAD BUNNY | #shorts 2022, lo de ""maldito"" es de cariño",2022-01-21T18:05:27Z,1656593,110352,1112
"THE SIMPSONS, BAD BUNNY - TE DESEO LO MEJOR (Video Oficial)",2021-12-24T17:00:12Z,69766531,2387946,37522
BAD BUNNY - De Museo (Audio Oficial),2021-07-06T04:02:32Z,72138282,1592804,61669
Bad Bunny - Yonaguni (Video Oficial),2021-06-04T04:00:11Z,628461038,6085608,215363
"BAD BUNNY, LUAR LA L - 100 MILLONES [Visualizer]",2021-05-28T04:00:00Z,35185213,833941,38312
BAD BUNNY x ROSALÍA - LA NOCHE DE ANOCHE (Video Oficial),2021-02-14T17:00:20Z,495687270,3435978,95387
BAD BUNNY - BOOKER T (Video Oficial),2021-01-02T18:00:10Z,212769317,2633127,66851
BAD BUNNY - HOY COBRÉ (Video Oficial),2020-12-11T20:00:02Z,102777484,1588895,43261
BAD BUNNY - EL MUNDO ES MÍO | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:13:53Z,40352309,817784,21990
BAD BUNNY - TE MUDASTE | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:13:46Z,126384659,1224968,17503
BAD BUNNY - HOY COBRÉ | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:13:39Z,28291365,510095,12961
BAD BUNNY - MALDITA POBREZA | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:13:34Z,34982507,616311,19146
BAD BUNNY x ROSALÍA - LA NOCHE DE ANOCHE | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:13:27Z,186144685,1690148,33814
BAD BUNNY - TE DESEO LO MEJOR | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:13:20Z,66804971,976319,16553
BAD BUNNY - HACIENDO QUE ME AMAS | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:13:14Z,192955389,1721983,29476
BAD BUNNY - BOOKER T | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:13:08Z,63907032,953884,19572
BAD BUNNY - LA DROGA | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:13:02Z,53846683,732833,11567
BAD BUNNY - TRELLAS | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:12:55Z,22212488,535368,16272
BAD BUNNY x ABRA - SORRY PAPI | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:12:49Z,48277085,554456,10783
BAD BUNNY - 120 | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:12:42Z,102033739,957609,15421
BAD BUNNY - ANTES QUE SE ACABE | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:12:37Z,61008291,917883,22320
TRIO VEGABAJEÑO - CANTARES DE NAVIDAD | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],2020-11-27T04:12:31Z,8277308,416217,19982
BAD BUNNY - YO VISTO ASÍ (Video Oficial),2020-11-27T04:00:10Z,111185510,2239818,83894
BAD BUNNY x JHAY CORTEZ - DÁKITI (Video Oficial),2020-10-30T04:00:11Z,1089963490,7953673,262863
BAD BUNNY x NESI x IVY QUEEN - YO PERREO SOLA REMIX | YHLQMDLG (Audio Oficial),2020-10-15T02:17:21Z,12983159,447972,25989
BAD BUNNY x MORA - UNA VEZ | YHLQMDLG (Video Oficial),2020-09-21T01:01:40Z,163306349,1299308,28720
BAD BUNNY – YouTube Artist Spotlight Stories,2020-07-22T14:45:10Z,12206226,331401,14381
BAD BUNNY – Artist Spotlight Stories (Official Trailer),2020-07-20T18:26:59Z,2974858,194288,11162
BAD BUNNY - SI ELLA SALE | LAS QUE NO IBAN A SALIR (Audio Oficial),2020-05-10T16:08:18Z,21008705,346420,7672
BAD BUNNY x ZION Y LENNOX - MÁS DE UNA CITA | LAS QUE NO IBAN A SALIR (Audio Oficial),2020-05-10T16:08:14Z,35370037,344706,5185
BAD BUNNY - BYE ME FUI | LAS QUE NO IBAN A SALIR (Audio Oficial),2020-05-10T16:08:09Z,61070802,579695,8432
BAD BUNNY x YANDEL - CANCIÓN CON YANDEL | LAS QUE NO IBAN A SALIR (Audio Oficial),2020-05-10T16:08:05Z,112495570,828596,11336
BAD BUNNY x DON OMAR - PA' ROMPERLA | LAS QUE NO IBAN A SALIR (Audio Oficial),2020-05-10T16:08:00Z,35649555,471856,14928
BAD BUNNY x NICKY JAM - BAD CON NICKY | LAS QUE NO IBAN A SALIR (Audio Oficial),2020-05-10T16:07:55Z,40082606,420412,5837
BAD BUNNY - BENDICIONES | LAS QUE NO IBAN A SALIR (Audio Oficial),2020-05-10T16:07:50Z,27651728,339952,6493
BAD BUNNY x JHAY CORTEZ - CÓMO SE SIENTE REMIX | LAS QUE NO IBAN A SALIR (Audio Oficial),2020-05-10T16:07:45Z,213298025,925968,12086
BAD BUNNY - RONCA FREESTYLE | LAS QUE NO IBAN A SALIR (Audio Oficial),2020-05-10T16:07:40Z,16387453,226919,4869
BAD BUNNY FEAT GABRIELA - EN CASITA | LAS QUE NO IBAN A SALIR (Audio Oficial),2020-05-10T16:07:36Z,10000287,218334,6243
BAD BUNNY - YO PERREO SOLA | YHLQMDLG (Video Oficial),2020-03-27T19:00:03Z,546412827,5974088,277893
BAD BUNNY x YAVIAH - BICHIYAL | YHLQMDLG (Video Oficial),2020-03-13T15:00:11Z,126642966,1065029,15886
BAD BUNNY x DUKI x PABLO CHILL-E - HABLAMOS MAÑANA | YHLQMDLG (VHS Version),2020-03-05T15:00:11Z,67533735,937471,26709
BAD BUNNY x DUKI x PABLO CHILL-E - HABLAMOS MAÑANA | YHLQMDLG (Video Oficial),2020-03-04T15:00:10Z,56661360,991270,32958
BAD BUNNY - PERO YA NO | YHLQMDLG (Video Oficial),2020-03-03T15:00:10Z,123747939,1410005,18226
BAD BUNNY - SI VEO A TU MAMÁ | YHLQMDLG (Video Oficial),2020-03-02T15:00:10Z,364866433,3810584,90287
BAD BUNNY - LA DIFÍCIL | YHLQMDLG (Video Oficial),2020-02-29T04:00:10Z,226121278,2111867,38624
BAD BUNNY - SOLÍA | YHLQMDLG [Visualizer],2020-02-29T04:00:07Z,47909823,491215,6574
BAD BUNNY - 🖤 | YHLQMDLG [Visualizer],2020-02-29T04:00:06Z,36918688,660602,14198
BAD BUNNY - SI VEO A TU MAMÁ | YHLQMDLG [Visualizer],2020-02-29T04:00:04Z,138178549,1250439,18231
BAD BUNNY - A TU MERCED | YHLQMDLG [Visualizer],2020-02-29T04:00:04Z,255406474,1260743,13821
BAD BUNNY - PERO YA NO | YHLQMDLG [Visualizer],2020-02-29T04:00:03Z,11154066,284381,3064
BAD BUNNY - YO PERREO SOLA | YHLQMDLG [Visualizer],2020-02-29T04:00:03Z,97708671,976276,13117
BAD BUNNY x ÑENGO FLOW - QUE MALO | YHLQMDLG [Vizualizer],2020-02-29T04:00:02Z,63660162,631071,5555
BAD BUNNY x MORA - UNA VEZ | YHLQMDLG [Visualizer],2020-02-29T04:00:02Z,85255443,696483,8139
BAD BUNNY - LA ZONA | YHLQMDLG [Visualizer],2020-02-29T04:00:02Z,53368245,491355,3940
BAD BUNNY x JOWELL & RANDY x ÑENGO FLOW - SAFAERA | YHLQMDLG [Visualizer],2020-02-29T04:00:02Z,337277217,2520022,55315
BAD BUNNY x ANUEL AA - ESTÁ CABRÓN SER YO | YHLQMDLG [Visualizer],2020-02-29T04:00:02Z,79420903,910808,17898
BAD BUNNY x YAVIAH - BICHIYAL | YHLQMDLG [Visualizer],2020-02-29T04:00:01Z,41859345,346073,3388
