Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Billie Eilish - NDA (Live at Coachella 2022),2022-04-29T19:31:45Z,1168908,103759,4981
"Billie Eilish - Happier Than Ever, The World Tour (Road to Opening Night)",2022-03-03T17:00:09Z,1619532,163681,7515
Billie Eilish - Billie Bossa Nova (Acoustic),2021-12-20T18:45:40Z,6048024,394838,14100
Billie Eilish - Happier Than Ever (Track By Track),2021-10-18T20:24:46Z,2380264,127616,6540
Billie Eilish - Happier Than Ever (Jimmy Kimmel Live 2021),2021-10-15T05:14:23Z,3282044,231117,7846
Billie Eilish - No Time To Die (Live From Life Is Beautiful 2021),2021-09-28T15:00:30Z,2413791,178046,7437
Happier Than Ever: A Love Letter To Los Angeles - Official Trailer | Billie Eilish on Disney+,2021-08-24T16:01:43Z,1536944,154135,6600
Billie Eilish - Happier Than Ever in Spatial Audio on Apple Music,2021-08-11T16:00:38Z,1687261,149734,5297
Billie Eilish - Happier Than Ever (Making Of The Video),2021-08-06T16:03:03Z,2863469,304018,7857
Billie Eilish - my future (Prime Day Show x Billie Eilish),2021-06-17T23:33:41Z,5165038,490457,29983
"Happier Than Ever, The World Tour",2021-05-21T16:00:43Z,3911159,419135,19513
Happier Than Ever,2021-04-26T16:00:27Z,13848411,1415415,70387
"Billie Eilish: ""The World’s A Little Blurry"" - Live Premiere Event",2021-02-28T18:35:45Z,4138915,330539,19909
Billie Eilish: The World’s A Little Blurry — Official Trailer #2 | Apple TV+,2021-02-02T17:00:34Z,2724445,270155,15289
Billie Eilish: The World’s A Little Blurry - Official Trailer | Apple TV+,2020-12-15T17:00:14Z,4475354,427848,20877
Billie Eilish: The World’s A Little Blurry – A Documentary Film,2020-09-28T16:00:26Z,2185028,272639,18062
REGISTER TO VOTE,2020-08-20T01:36:18Z,2547254,,
Billie Eilish - NOT MY RESPONSIBILITY - a short film,2020-05-26T23:52:47Z,36509161,2848100,160348
Billie Eilish - when the party’s over (Live at Coachella 2019),2020-04-13T20:23:36Z,5251875,337788,22150
Billie Eilish - come out and play (LIVE FROM THE STEVE JOBS THEATER),2019-12-19T22:04:37Z,2835538,157968,5437
Billie Eilish - listen before i go (LIVE FROM THE STEVE JOBS THEATER),2019-12-19T22:04:33Z,8995994,334034,12598
Billie Eilish - everything i wanted (LIVE FROM MEXICO CITY),2019-12-12T17:00:16Z,19974565,608146,17844
Our House Is On Fire,2019-09-28T14:08:15Z,5514073,439053,41724
WHERE DO WE GO? WORLD TOUR,2019-09-27T16:10:35Z,1363883,161180,9344
Billie Eilish - bad guy (Vertical Video),2019-08-15T20:58:19Z,22808896,1000405,35318
Billie Eilish - bad guy (with Justin Bieber) [Audio],2019-07-11T19:10:16Z,46230169,2021693,137015
Billie Eilish - A Snippet into Billie's Mind (Artist Spotlight Stories),2019-05-28T19:00:07Z,25501518,333084,15560
A Snippet into Billie's Mind - xanny,2019-04-11T19:00:06Z,4745928,310262,7787
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-27T21:08:17Z,2712341,312330,15963
A Snippet into Billie's Mind - wish you were gay,2019-03-04T18:00:20Z,3660910,257931,7684
A Snippet into Billie’s Mind - bury a friend,2019-02-22T23:25:36Z,5687995,406418,13148
"WHEN WE ALL FALL ASLEEP, TOUR - Verified Fan Ticket Instructions",2019-02-04T15:16:48Z,15328600,1507675,37007
hahahahaha,2019-01-28T22:04:18Z,17636113,1567701,61927
Billie Eilish - COPYCAT (Summer Festival Recap),2018-11-12T17:15:06Z,2650299,149439,4504
Billie Eilish - Lollapalooza 2018,2018-08-21T00:07:31Z,918588,69011,2395
Billie Eilish - you should see me in a crown (Vertical Video),2018-08-10T17:00:15Z,253696683,4231011,163646
"""1 BY 1"" TOUR",2018-07-23T14:21:41Z,1759533,106466,4985
Billie Eilish – Documentary | Up Next,2018-05-07T16:20:18Z,7737428,475786,13952
Billie Eilish - lovely (with Khalid) Audio,2018-04-19T18:10:46Z,18908581,326245,9330
Billie Eilish - WHERES MY MIND TOUR | by Gibson Hazard,2018-04-11T22:39:13Z,1134106,103221,1930
Billie Eilish - Watch (Acoustic) | Up Next,2018-03-28T16:58:12Z,11451046,272036,5661
Billie Eilish - dont smile at me,2017-08-14T18:42:30Z,2090386,177191,2556
Billie Eilish - Six Feet Under,2016-07-01T04:10:33Z,31364355,512105,9756
Billie Eilish - Ocean Eyes (Official Music Video),2016-03-24T15:46:50Z,395263101,5449129,162646
Billie Eilish - Ocean Eyes (Official Audio) - Lyrics In Description,2015-11-30T20:50:31Z,2108121,98485,4709
Billie Eilish and Simone Midby do Aerial Silks at Foshay performance,2014-02-17T00:24:59Z,18353561,806204,32430
