Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Ed Sheeran - 2steppin in a Cork dressing room,2022-05-04T17:59:31Z,348809,25542,1367
Ed Sheeran - 2step (feat. Lil Baby) - [Official Behind The Scenes Video],2022-04-26T17:38:52Z,692565,37333,1604
Ed Sheeran - 2step (feat. Lil Baby) - [Official Video],2022-04-22T04:00:13Z,15731708,495010,15031
Dealing with a lawsuit recently. We won and I wanted to share a few words about it all x,2022-04-06T09:07:01Z,1839949,139805,
J Balvin & Ed Sheeran - Forever My Love [Official Video],2022-03-25T00:00:12Z,12752697,395719,14271
Ed Sheeran - The Joker And The Queen (feat. Taylor Swift) [Official Lyric Video],2022-02-14T18:19:57Z,2284437,65071,2621
Ed Sheeran - The Joker And The Queen (feat. Taylor Swift) [Official Video],2022-02-11T00:00:26Z,37898777,676318,18960
Ed Sheeran – The Joker And The Queen [Live at the BRIT Awards 2022],2022-02-08T23:53:32Z,1585392,59779,2153
Ed Sheeran – Bad Habits (feat. Bring Me The Horizon) [Live at the BRIT Awards 2022],2022-02-08T23:52:21Z,5554236,191117,8192
Fireboy DML & Ed Sheeran - Peru [Official Lyric Video],2022-01-07T12:16:16Z,5835174,81697,2804
Ed Sheeran – Afterglow [Acapella],2021-12-21T12:00:30Z,5292025,196872,5516
"Tell me where you are jamming, with your own #PeruOnShorts video",2021-12-20T18:07:54Z,285759,11487,340
Ed Sheeran & Elton John - Merry Christmas [Official Behind The Scenes Video],2021-12-10T12:00:18Z,2398116,56410,2105
Ed Sheeran & Elton John - Merry Christmas [Official Lyric Video],2021-12-06T10:00:10Z,2699677,68949,2083
Ed Sheeran & Elton John - Merry Christmas [Official Video],2021-12-03T08:00:10Z,42399065,746016,25673
“Merry Christmas” with Elton John is out this Friday. Pre-order it or pre-save it now x #Shorts,2021-11-29T10:02:51Z,1471363,58763,1024
Ed Sheeran - Overpass Graffiti (Live from SNL),2021-11-20T17:00:27Z,875107,22091,864
Ed Sheeran - Shivers (Live from SNL),2021-11-20T17:00:09Z,749744,23758,877
Ed Sheeran - Overpass Graffiti (Live from MTV EMAs 2021),2021-11-19T17:00:41Z,1960930,17163,623
Ed Sheeran - Shivers (Live from MTV EMAs 2021),2021-11-19T17:00:00Z,457790,18100,676
Ed Sheeran - Deezer Session live at the Centre Pompidou,2021-11-17T10:00:53Z,2223653,33875,1706
Ed Sheeran - Overpass Graffiti [Official Behind The Scenes Video],2021-11-05T10:01:22Z,482364,16781,769
Ed Sheeran - Shivers [Jax Jones Remix],2021-11-02T18:06:50Z,799729,21413,1221
Ed Sheeran - Overpass Graffiti [Official Video],2021-10-29T13:00:13Z,50470684,415216,14077
Ed Sheeran - Tides [Official Lyric Video],2021-10-29T04:03:17Z,3443817,61336,1381
Ed Sheeran - First Times [Official Lyric Video],2021-10-29T04:03:00Z,4461864,88963,1960
Ed Sheeran - Bad Habits [Official Lyric Video],2021-10-29T04:02:42Z,3299476,37689,831
Ed Sheeran - Overpass Graffiti [Official Lyric Video],2021-10-29T04:02:24Z,4610413,53475,1257
Ed Sheeran - The Joker And The Queen [Official Lyric Video],2021-10-29T04:02:06Z,3565422,77296,2789
Ed Sheeran - Leave Your Life [Official Lyric Video],2021-10-29T04:01:50Z,2560104,37259,716
Ed Sheeran - Collide [Official Lyric Video],2021-10-29T04:01:25Z,3287699,45117,1230
Ed Sheeran - 2step [Official Lyric Video],2021-10-29T04:01:04Z,4286639,72265,1807
Ed Sheeran - Stop The Rain [Official Lyric Video],2021-10-29T04:00:48Z,2665671,45444,1037
Ed Sheeran - Love In Slow Motion [Official Lyric Video],2021-10-29T04:00:26Z,2193039,38550,850
Ed Sheeran - Visiting Hours [Official Lyric Video],2021-10-29T04:00:07Z,3314237,63537,2262
Ed Sheeran - Sandman [Official Lyric Video],2021-10-29T03:59:44Z,3025044,44666,1729
Ed Sheeran - Be Right Now [Official Lyric Video],2021-10-29T03:59:18Z,1767411,37155,1494
The shorter side = | Out now only on YouTube Shorts,2021-10-25T13:14:03Z,457898,18159,429
Create your own short to Tides using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:03:20Z,6753745,315428,2679
Create your own short to Shivers using #SheeranShorts. Only on YouTube #Shorts.,2021-10-25T13:03:09Z,101142618,2955023,17952
Create your own short to First Times using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:03:00Z,23174001,1015278,3587
Create your own short to Bad Habits using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:02:47Z,69506996,2757901,15683
Create your own short to Overpass Graffiti using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:02:36Z,77794908,2559245,10245
Create your own short to The Joker And The Queen using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:02:26Z,20102768,873021,3547
Create your own short to Leave Your Life using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:02:15Z,6672664,285543,1555
Create your own short to Collide using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:02:03Z,15683713,484430,2109
Create your own short to 2step using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:01:54Z,20531069,927429,4138
Create your own short to Stop The Rain using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:01:45Z,17956364,928499,3866
Create your own short to Love In Slow Motion using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:01:32Z,4143452,170294,896
Create your own short to Visiting Hours using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:01:08Z,2952363,128773,845
Create your own short to Sandman using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:00:55Z,29137000,1231740,9845
Create your own short to Be Right Now using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:00:37Z,10034505,301156,2815
The shorter side = | Out now only on YouTube Shorts,2021-10-25T13:00:10Z,237724,14015,583
Ed Sheeran – Shivers [Official Acoustic Video],2021-10-01T09:00:31Z,7110433,150313,4259
Ed Sheeran - Shivers [Live from the Graham Norton Show],2021-09-25T10:08:59Z,2108980,49582,2041
Ed Sheeran - Shivers [Official Performance Video],2021-09-24T09:00:25Z,16638971,152038,3895
Ed Sheeran - Shivers [Official Behind The Scenes Video],2021-09-17T12:00:31Z,1359141,31962,1152
Ed Sheeran - Shivers [Live at the MTV VMAs 2021],2021-09-16T09:00:22Z,3103579,67154,1973
