Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
50 million subscribers and counting,2022-01-11T17:01:34Z,4076774,412191,10933
"Mom's Spaghetti Restaurant - Opening 9/29/21 - Detroit, MI",2021-09-28T00:02:11Z,2157354,135979,8839
Eminem - Tone Deaf (Lyric Video),2021-03-05T19:40:13Z,18558655,859176,82220
Eminem - Higher (Official Video) Explicit,2021-01-23T19:36:17Z,29150247,1300297,75651
Premonition - Intro [Official Audio],2020-01-28T13:50:21Z,16714926,193202,8412
Unaccommodating (feat. Young M.A) [Official Audio],2020-01-28T13:50:16Z,16263464,174380,10422
"You Gon' Learn (feat. Royce Da 5'9"" & White Gold) [Official Audio]",2020-01-28T13:50:08Z,20629556,187480,7796
In Too Deep [Official Audio],2020-01-28T13:50:00Z,7698352,78145,2553
Those Kinda Nights (feat. Ed Sheeran) [Official Audio],2020-01-28T13:49:56Z,15011466,162721,3624
Godzilla (feat. Juice WRLD) [Official Audio],2020-01-28T13:49:50Z,95010236,1196209,49346
Darkness [Official Audio],2020-01-28T13:49:42Z,6876228,83009,3376
Leaving Heaven (feat. Skylar Grey) [Official Audio],2020-01-28T13:49:37Z,12926342,127836,4549
"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun) [Official Audio]",2020-01-28T13:49:31Z,6436018,61646,3954
Stepdad [Official Audio],2020-01-28T13:49:26Z,6429898,72398,4646
Marsh [Official Audio],2020-01-28T13:49:22Z,10458354,104405,4230
Never Love Again [Official Audio],2020-01-28T13:49:16Z,8507100,144112,3283
Lock It Up (feat. Anderson .Paak) [Official Audio],2020-01-28T13:49:11Z,12578181,139051,6046
Little Engine [Official Audio],2020-01-28T13:47:37Z,6002995,59994,2826
Farewell [Official Audio],2020-01-28T13:47:32Z,5089187,62972,2656
No Regrets (feat. Don Toliver) [Official Audio],2020-01-28T13:47:20Z,7811257,88146,3363
"I Will (feat. KXNG Crooked, Royce da 5'9"" & Joell Ortiz) [Official Audio]",2020-01-28T13:47:12Z,9535549,98626,6441
"‘Shazam' Trailer Ft. ""My Name Is""",2019-03-04T17:23:24Z,5337333,289283,11719
"Eminem - ""Kick Off"" (Freestyle)",2018-12-01T02:26:38Z,6960989,331074,47562
Bodied - Official Feature Film - directed by Joseph Kahn and Produced by Eminem,2018-11-28T17:00:02Z,,,12682
Behind the Scenes - Eminem Jimmy Kimmel Live “Venom” Performance – Presented by Google Pixel 3,2018-10-18T18:33:07Z,1107209,61283,3498
"Eminem Performs ""Venom"" from the Empire State Building on Jimmy Kimmel Live",2018-10-16T13:56:16Z,24177880,785411,32419
Bodied - Uncensored Official Trailer - Produced by Eminem,2018-10-08T16:00:47Z,2218185,79525,5151
Bodied - Official Trailer - Produced by Eminem.,2018-10-08T16:00:37Z,5133768,208635,12962
Eminem x Sway - The Kamikaze Interview (Part 4),2018-09-15T03:20:19Z,4499389,146169,13694
KILLSHOT [Official Audio],2018-09-14T18:55:13Z,427334125,6236469,171087
Eminem x Sway - The Kamikaze Interview (Part 3),2018-09-14T00:00:02Z,6594321,149680,17976
Eminem x Sway - The Kamikaze Interview (Part 2),2018-09-13T00:00:48Z,8948639,209976,29135
Eminem x Sway - The Kamikaze Interview (Part 1),2018-09-12T00:00:10Z,11937840,296440,32560
Fall [Official Audio],2018-08-31T18:11:20Z,14600455,218550,12481
Kamikaze [Official Audio],2018-08-31T05:33:34Z,39511662,610108,32598
Lucky You (Feat. Joyner Lucas) [Official Audio],2018-08-31T05:33:28Z,121045806,1044366,52164
Eminem - River ft. Ed Sheeran (LIVE AT TWICKENHAM 2018),2018-07-19T16:00:17Z,2306483,93492,4314
"""Framed"" (Official Video Trailer)",2018-03-28T16:00:09Z,1345429,20080,1044
Revival Pop Up,2018-01-09T21:28:46Z,326827,13549,787
"""Walk On Water"" (Official Video Teaser)",2017-12-20T22:00:08Z,763812,19793,1333
Revival Album Art Reveal,2017-12-07T19:57:08Z,197253,8354,585
Eminem - Campaign Speech,2016-10-19T16:16:54Z,13272165,263577,38685
Southpaw X Soundtrack,2015-10-27T20:54:01Z,131307,4009,160
"PRhyme ft. Logic ""Mode"" Lyric Video",2015-10-16T17:59:54Z,209256,6755,481
Straight Outta Compton N.W.A's Impact,2015-08-13T19:48:47Z,154831,5577,105
The Southpaw Sessions - Full Interview,2015-07-31T21:25:37Z,187127,4711,423
The Southpaw Sessions - Clip 2,2015-07-30T21:12:24Z,35086,1264,71
The Southpaw Sessions - Clip 3,2015-07-30T21:12:24Z,44890,1453,56
The Southpaw Sessions - Clip 1,2015-07-30T21:12:24Z,50878,1450,43
The Southpaw Sessions Round 3 with Eminem and Jake Gyllenhaal,2015-07-28T16:20:06Z,640472,11093,936
Hitman: Agent 47 ft. Won't Back Down,2015-07-27T17:25:12Z,305326,6701,182
The Southpaw Sessions at the YouTube Space (Teaser 2),2015-07-25T22:11:23Z,234642,5679,161
The Southpaw Sessions Round 2 with Eminem and Jake Gyllenhaal,2015-07-24T15:39:55Z,612499,9674,716
The Southpaw Sessions Round 1 with Eminem and Jake Gyllenhaal,2015-07-23T21:32:41Z,2544784,36436,2215
"Final Southpaw Trailer ft. ""KIngs Never Die""",2015-07-23T01:00:21Z,172796,3477,107
The Southpaw Sessions at the Youtube Space (Teaser),2015-07-22T17:55:08Z,103229,3416,153
Behind the Scenes at Jake Gyllenhaal's Southpaw Training,2015-07-11T04:21:38Z,221578,5080,122
"Southpaw Trailer Featuring ""Kings Never Die""",2015-07-08T14:14:21Z,208486,4977,247
Phenomenal Music Film (Selfie Clip),2015-07-07T17:01:53Z,435215,9735,446
Southpaw Official Trailer #2 Featuring Phenomenal,2015-06-30T00:28:04Z,190669,3830,155
Eminem - Phenomenal (Audio Only),2015-06-02T03:47:50Z,5482833,49461,4981
Southpaw - Official Trailer,2015-03-27T13:27:40Z,4036121,17790,1339
SHADYXV - TV Spot,2014-12-01T23:40:45Z,156760,5767,417
"SHADYXV Quinceañera Episode 3 - ""Birthday Cake""",2014-11-25T21:31:00Z,136553,4337,168
"Eminem - ""Guts Over Fear"" ft. Sia [Official Teaser]",2014-11-21T17:00:16Z,283562,4303,171
"Eminem - ""Lose Yourself"" - The Demo",2014-11-18T20:34:30Z,1433590,27206,1109
"SHADYXV Quinceañera Episode 2 - ""Birthday Girl""",2014-11-13T17:00:13Z,138014,3622,119
Beats x Eminem: Beat by Beat [TEASER],2014-11-12T21:42:00Z,261781,4945,274
"SHADYXV Quinceañera Episode 1 - ""Birthday Clown""",2014-11-06T17:00:52Z,168477,5248,0
Guts Over Fear ft. Sia featured in #Mayhem: Mayweather vs Maidana Trailer,2014-09-09T22:12:04Z,200957,3680,191
The Equalizer Movie – New and Exclusive Online Trailer,2014-09-02T21:49:05Z,987565,3947,208
Rick Rubin ALS Ice Bucket Challenge,2014-08-26T16:15:23Z,291542,4581,285
Eminem #ALSIceBucketChallenge,2014-08-26T16:10:53Z,189131,8689,260
Eminem - Guts Over Fear ft. Sia,2014-08-25T04:19:18Z,8640967,92362,9984
"Exclusive Preview: ""Guts Over Fear"" ft. Sia",2014-08-15T17:05:41Z,690302,7298,464
Headlights Teaser,2014-05-09T20:09:27Z,289109,6914,338
Rap God Official Teaser,2013-11-22T00:25:01Z,1870753,68337,3030
Eminem Celeb Playlist Update,2013-11-09T17:50:47Z,262686,5404,309
Eminem - MTV EMAs,2013-11-08T18:34:54Z,1092889,8797,443
Eminem MMLP 2 - Out Now,2013-11-08T07:13:00Z,753064,11364,423
Call Of Duty: Ghosts X GameStop - MMLP2 Special Offer,2013-11-05T13:06:05Z,1192332,15770,839
Eminem - Rap God (Audio),2013-10-14T21:31:05Z,70078753,617455,112809
Eminem - Berzerk (Lyric Video),2013-09-06T23:50:15Z,12091238,83516,5075
Survival (Audio Only),2013-08-14T20:25:51Z,20813896,200268,28309
Not Afraid by Eminem | Behind The Scenes Pt. 1 | Eminem,2013-02-08T18:42:47Z,249260,2767,158
Not Afraid by Eminem | Behind The Scenes Pt. 2 | Eminem,2013-02-08T18:40:20Z,129169,1151,64
"Shady 2.0 Boys (Detroit) by Eminem, Slaughterhouse, and Yelawolf | Eminem",2013-02-08T18:18:49Z,1750723,24966,1941
Shady Records Hot 97 Summer Jam BBQ | Eminem,2012-06-08T18:40:27Z,198407,1254,202
Shady 2.0 SXSW | Eminem,2012-03-22T01:21:46Z,147915,1825,146
Shady Records Cypher 2011 | Behind The Scenes | Eminem,2011-10-12T08:11:14Z,551194,3863,654
Bad Meets Evil Meets Europe Part 4 | Bad Meets Evil | Eminem,2011-09-12T15:15:20Z,194390,2533,257
Lighters by Bad Meets Evil ft. Bruno Mars | Behind The Scenes | Eminem,2011-09-12T06:37:34Z,309061,3686,538
Bad Meets Evil Meets Europe Part 3 | Bad Meets Evil | Eminem,2011-09-06T18:03:22Z,258698,2263,269
Bad Meets Evil Meets Europe Part 2 | Bad Meets Evil | Eminem,2011-09-03T09:48:06Z,321493,3058,288
Bad Meets Evil Meets Europe Part 1 | Bad Meets Evil | Eminem,2011-08-25T06:36:48Z,296719,2278,266
Hip Hop Playlist | Bad Meets Evil | Eminem,2011-08-21T02:37:12Z,452102,2864,472
Playlist Intro | Bad Meets Evil | Eminem,2011-06-15T06:18:15Z,348507,3071,244
Live Stream | Bad Meets Evil | Eminem,2011-06-14T21:16:46Z,2242802,62149,5024
Live Chat with Bad Meets Evil | Bad Meets Evil | Eminem,2011-06-10T02:02:28Z,1162110,4950,857
Bad Meets Evil | Commercial | Eminem,2011-06-07T01:56:53Z,564954,3865,354
Fast Lane by Bad Meets Evil | Teaser | Eminem,2011-05-28T03:16:09Z,830623,5299,617
No Love by Eminem -  ft. Lil Wayne | Teaser | Eminem,2010-09-30T01:50:42Z,2031611,4877,794
Recovery Testimonial | Eminem,2010-06-17T00:05:28Z,331073,1446,726
Emwow: Vince for Eminem's Recovery (Extended Version) | Commercial | Eminem,2010-06-16T23:52:00Z,472411,6185,655
Emwow: Vince for Eminem's Recovery | Commercial | Eminem,2010-06-15T21:11:36Z,958955,5115,778
Black Ops Remix Ft. Won't Back Down by Eminem HD | Commercial | Eminem,2010-06-14T19:07:43Z,606475,5734,582
My Name Is (Version 1 Dirty Version) by Eminem | Eminem,2009-09-10T23:33:34Z,91418,2714,117
A** Like That (Super Clean Version) by Eminem | Eminem,2009-09-10T23:33:19Z,300587,7797,207
Mosh (Extra Clean Version) by Eminem | Eminem,2009-09-10T23:05:55Z,387353,5002,158
Without Me (MTV Version) by Eminem | Eminem,2009-09-10T23:04:42Z,119983,4254,176
Mosh (Dirty Version) by Eminem | Eminem,2009-09-10T22:34:41Z,2724079,57931,5134
Cleanin' Out My Closet (BET Version) by Eminem | Eminem,2009-09-10T22:05:32Z,233909,5728,166
3 a.m. (Explicit) by Eminem | Eminem,2009-09-10T21:33:37Z,80219,2127,160
Without Me (BET Version) by Eminem | Eminem,2009-09-10T21:10:30Z,79347,2857,112
The Real Slim Shady by Eminem | Eminem,2009-09-10T21:04:47Z,173873,7319,236
Role Model by Eminem | Eminem,2009-09-10T20:20:35Z,73797,2331,119
Like Toy Soldiers (Broadcast Mural Version) by Eminem | Eminem,2009-09-10T20:12:41Z,74992,2216,191
Just Don't Give A F*** (Clean Version) by Eminem | Eminem,2009-09-10T19:58:07Z,61307,1795,121
Just Lose It (Director's Cut) by Eminem | Eminem,2009-09-10T18:03:20Z,258041,6815,183
Without Me by Eminem | Eminem,2009-09-10T16:53:51Z,144737,4855,164
Stan (Long Version) by Eminem ft. Dido | Eminem,2009-09-10T16:29:16Z,107594,3027,138
Mosh (Dirty Version) by Eminem | Eminem,2009-09-10T15:54:39Z,64340,2497,218
Guilty Conscience (Director's Cut) by Eminem ft. Dr. Dre | Eminem,2009-09-10T14:31:27Z,66817,2142,68
The Way I Am (Clean Version) by Eminem | Eminem,2009-09-10T13:18:24Z,121658,3494,151
Mockingbird by Eminem | Eminem,2009-09-10T13:18:10Z,105469,4562,193
Just Lose It (BET Version) by Eminem | Eminem,2009-09-10T12:56:59Z,50322,2034,153
Mosh (No Vote Slate) by Eminem | Eminem,2009-09-10T12:31:49Z,47581,1722,186
Just Lose It (MTV Version) by Eminem | Eminem,2009-09-10T11:57:31Z,60885,2269,114
Mosh (Post Election) by Eminem | Eminem,2009-09-10T11:06:34Z,99429,3270,217
Sing For The Moment by Eminem (Live) | Eminem,2009-09-10T10:55:30Z,496399,16540,600
Mosh (Extra Clean-No Vote Slate) by Eminem | Eminem,2009-09-10T09:58:54Z,48483,1821,170
We Made You by Eminem | Eminem,2009-09-10T08:50:21Z,251807,5629,283
White America (Clean Version) by Eminem | Eminem,2009-09-10T08:06:54Z,1026391,11914,289
Mosh (MTV Version) by Eminem | Eminem,2009-09-10T07:29:52Z,63775,2172,185
Sing For The Moment (Edited) by Eminem | Eminem,2009-09-10T06:07:40Z,1295709,17567,389
Stan by Eminem ft. Dido (Short Version) | Eminem,2009-09-10T06:01:19Z,135119,4126,276
We Made You by Eminem | Eminem,2009-04-07T07:21:53Z,21213294,54352,13391
Lose Yourself by Eminem | Eminem,2007-05-24T21:50:19Z,119544273,681373,53081
