Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
"Felt cute, might delete later #TeFelicito",2022-05-04T14:23:06Z,87189,7147,243
"#TeFelicito ya esta en la calle, Rauw Alejandro y yo te queremos ver!",2022-04-30T15:36:31Z,203252,17225,329
#TeFelicito YA DISPONIBLE / OUT NOW!,2022-04-23T17:23:12Z,116332,8695,215
📺 🤖 #TEFELICITO RAUW ALEJANDRO MAÑANA - TOMORROW / 8:00 PM ET / 5:00 PM PT / 2:00 AM CET,2022-04-20T19:04:44Z,70052,6504,140
¿Por qué tanto ruido con este robot? 🤖 #TeFelicito con RAUW ALEJANDRO 04.22.22,2022-04-14T22:45:15Z,120210,8637,243
"This is a choreo that my little cousins taught me, though I’m not sure I learned it very well 😜",2022-01-04T20:23:03Z,556209,15596,412
👀💥👀💥,2021-11-21T18:04:43Z,725109,24380,588
I just heard that the Hips Don’t Lie video hit a billion views on YouTube! Incredible! ❣️,2021-11-15T21:24:16Z,757992,51323,1067
👀🧐⁉️2️⃣6️⃣💥 #LaundryService,2021-11-11T16:41:07Z,124265,7468,423
aaah-ooooooooooooooh!,2021-11-01T09:48:28Z,194886,11729,363
Shakira x Cosmopolitan,2021-10-07T20:13:00Z,194370,8625,1129
Today’s pancake adventure!,2021-09-12T18:20:33Z,430420,20698,860
I’m back at Wave Garden!,2021-08-28T17:11:56Z,326581,16383,346
Heaven is a bowl except for when you fall!,2021-08-21T19:04:09Z,210218,10122,210
"Shakira Perfumes, 10 years",2021-08-17T20:39:04Z,315066,11822,815
El interior de mi auto!,2021-08-09T18:18:18Z,298997,13877,393
"Getting ready for some interviews! Don’t wait up, it’s gonna take me a while 😜",2021-08-04T16:43:05Z,183933,9672,269
Shakira - Don't Wait Up Behind-The-Scenes Interview,2021-08-04T10:30:43Z,412315,9122,847
And now it’s your turn…. #DontWaitUp #DayToNight #DayNight,2021-07-26T17:14:50Z,329790,19472,797
Flashback to the Don't Wait Up video shoot with my hype girls! #TBT,2021-07-22T21:05:56Z,158752,10397,293
"Shakira - Dance Red Midnight (15"" EN)",2021-05-28T14:22:13Z,905690,25654,1743
"Black Eyed Peas, Shakira - GIRL LIKE ME (TikTok Compilation)",2021-02-18T17:00:50Z,2037702,53241,3515
Shakira & Black Eyed Peas: Girl Like Me (Official BTS Video),2020-12-17T14:56:51Z,17380648,192115,6929
Shakira Perfumes: Virtual Meet & Greet,2020-11-25T13:58:28Z,727872,16747,1481
The Earthshot Prize: a conversation between Prince William & Shakira.,2020-10-08T18:45:26Z,899308,23725,2211
"DANCE MIDNIGHT the new perfume by SHAKIRA (20"")",2020-09-18T14:54:34Z,609513,27464,1313
"DANCE MIDNIGHT, el nuevo perfume de SHAKIRA (20"")",2020-09-18T14:54:10Z,253321,9416,661
The Making Of Shakira's Super Bowl Outfits / Así se hizo el vestuario del show de la Super Bowl,2020-07-23T18:57:34Z,818515,19960,1327
SHAKIRA: CHAMPETA DANCE TUTORIAL,2020-02-04T21:45:07Z,12941865,213461,4595
Componiendo Me Gusta! Composing Me Gusta!,2020-01-22T22:34:10Z,882170,31947,1873
HBO: SHAKIRA IN CONCERT: EL DORADO WORLD TOUR,2020-01-16T15:36:59Z,274926,12335,679
Shakira & Anuel AA – Me Gusta (Lyric Video),2020-01-14T16:44:51Z,62721969,545193,28320
"Shakira, Camilo & Pedro Capó - Ensayos Tutu (Davis Cup)",2019-12-06T00:38:22Z,1732683,23694,881
Shakira - Davis Cup Finals Closing Ceremony (Madrid 2019),2019-11-24T18:50:47Z,19962918,163693,18195
Shakira's speech at #WISE19 (Qatar),2019-11-23T14:06:13Z,1985214,59703,3508
Tomorrow! Mañana! #ShakiraFilm (One night only! Por solamente una noche),2019-11-12T13:42:11Z,178538,9841,429
Shakira in Concert: El Dorado World Tour (documentary snippet),2019-11-05T16:24:56Z,264062,7920,447
Shakira in Concert: Si Te Vas Sing-Along,2019-10-25T20:59:51Z,200468,9226,376
Shakira - La La La / Waka Waka (From 'Shakira In Concert: El Dorado World Tour'),2019-10-11T14:00:11Z,48843997,456295,12701
#ShakiraFilm: She Wolf (teaser),2019-10-09T20:03:42Z,157756,10296,615
Shakira welcomes you all to the new site of ShakiraPerfumes.com,2019-09-18T16:06:03Z,95688,3603,285
Shakira les da la bienvenida a la nueva web de ShakiraPerfumes.com,2019-09-18T16:04:38Z,139291,5032,226
#LaGiraBarcelona: Alejandro Sanz & Shakira (Live from Barcelona June 08 2019),2019-06-09T13:22:34Z,622098,19110,1383
Recordando a Gabriel García Márquez,2019-04-17T21:00:24Z,256490,15675,1351
Making of Dream / Así se hizo Dream,2018-11-28T17:55:13Z,224420,9285,827
Shakira Dream: episodio 3,2018-11-20T21:24:11Z,168717,8373,716
