Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
I really wanted to use the Saved My Life video to highlight the quiet heroes in our lives.,2022-06-03T19:56:25Z,2031,330,13
Saved My Life Acoustic on the Elvis Duran show! #shorts,2022-05-12T21:04:27Z,4460,503,23
Andy Grammer x R3HAB - Saved My Life (Official Video),2022-05-06T13:00:09Z,442747,13654,268
Moms are the realest. #savedmylife #shorts,2022-05-05T19:42:40Z,3467,285,3
Singing Saved My Life to the woman who saved me was one of the most endearing moments of my life.,2022-04-28T18:00:21Z,5937,520,17
LEIGH IS A REAL ONE!!! #shorts,2022-04-28T15:09:45Z,1630,144,6
Dr. Bill Schindler dropping knowledge. Do we look like cousins? #shorts,2022-04-19T19:28:24Z,2414,147,4
The song is called ‘Saved My Life.’ Hope it makes you feel something. #savedmylife #shorts,2022-04-19T19:26:46Z,22226,1418,118
Are there other careers where you cry as a job hazard or just artists? 😭 #shorts,2022-04-19T19:25:14Z,3730,319,35
Send this someone who should know how much you you appreciate them. ❤️ 😇 #shorts,2022-04-19T19:24:35Z,5161,566,20
Def ordering uniforms. #horse #trickshots #glorydays #shorts,2022-04-19T19:23:52Z,1342,101,3
Her little voice 😭 #izzygrammer #shorts,2022-03-28T16:19:32Z,5364,492,20
There’s something special about a crowd full of strangers singing in unison.. Love is the new 💰,2022-03-21T19:21:02Z,5379,446,14
Isaac. I believe we are not tested beyond our capacity. #shorts,2022-03-14T20:17:10Z,4868,565,12
💰 isn’t everything @logic #shorts,2022-03-13T06:07:05Z,3449,413,0
“Joy” in a Billy Joel sweatshirt… love you mom 💕 #shorts,2022-03-02T22:17:10Z,3926,299,12
Side steppin with Salt Lake City #shorts,2022-03-02T17:27:40Z,2208,156,4
Love spreading the love. ❤️ #shorts,2022-03-02T17:25:20Z,3633,235,13
Side steppin with Salt Lake City #centurydancechallenge #shorts,2022-02-28T16:01:09Z,1927,158,7
Love spreading the love. ❤️,2022-02-25T22:42:44Z,5161,433,17
Yes. Yes I do. #shorts,2022-02-24T00:32:36Z,4019,256,6
We’re sorry for being so hott. #dropchallenge #joy #theartofjoytour #shorts,2022-02-16T18:55:05Z,3816,299,0
Oh snap that headlock was totally mad awesome🔥 🤦🏻‍♂️ #shorts,2022-02-16T18:53:34Z,2703,163,1
Things that bring me joy. ❤️ #shorts,2022-02-11T20:57:58Z,5864,605,0
In my feelings this morning. Joy is out today. #joy,2022-01-29T00:00:25Z,8383,856,64
Andy Grammer - Joy (Lyric Video),2022-01-28T17:20:33Z,115145,3247,103
Andy Grammer - Joy,2022-01-28T06:00:04Z,104396,2831,134
Andy Grammer - The Art Of Joy Tour Trailer,2022-01-19T20:03:17Z,6890,418,24
Aggressively searching for JOY in all ways possible ❄️😀❄️😃,2022-01-11T03:32:04Z,11874,684,26
Andy Grammer - Love Myself (Acoustic),2021-12-20T18:42:04Z,22370,1455,106
Andy Grammer - Love Myself (Official Audio),2021-12-10T05:00:31Z,258565,8617,227
Andy Grammer - Damn It Feels Good To Be Me (feat. Trans Chorus of Los Angeles),2021-11-18T21:59:44Z,21021,1006,83
Andy Grammer - Damn It Feels Good To Be Me (Official Video),2021-09-30T16:00:11Z,422012,9535,339
Nothing worse than being thirsty 🥤... #shorts,2021-09-08T17:28:03Z,16877,859,25
Andy Grammer - Damn It Feels Good To Be Me (Official Lyric Video),2021-09-08T04:00:11Z,1365807,14661,444
Andy Grammer - Lease On Life Afterparty,2021-08-04T23:26:27Z,,396,7
Andy Grammer - Lease On Life (Official Music Video),2021-08-04T23:00:09Z,314201,10865,393
Andy Grammer - Lease On Life (Music Video),2021-07-19T16:00:16Z,184417,8039,337
Andy Grammer - Lease On Life (Official Lyric Video),2021-06-28T03:59:54Z,647939,13143,483
6.28...Experimenting with a new glam squad #leaseonlife,2021-06-11T18:58:22Z,10410,828,35
R3HAB x Andy Grammer - Close To You (Teaser),2021-04-08T18:32:21Z,38508,1004,91
"Andy Grammer - ""Wish You Pain"" [Official Music Video]",2020-08-10T16:17:15Z,780465,14266,436
"""Don't Give Up On Me"" x CNN The Fourth in America Performance (LIVE AT THE ROSE BOWL)",2020-07-06T19:23:50Z,92766,3582,181
Thousand Faces | Don Diablo & Andy Grammer (Official Audio),2020-06-24T01:57:25Z,108899,3295,129
Dinner w/ The Grammer’s | Feat. Chris Sullivan (From THIS IS US) & his wife Rachel Sullivan,2020-04-26T01:14:24Z,16213,345,17
GOOD EXAMPLE w/ R3HAB [OFFICIAL LYRIC VIDEO],2020-04-06T22:04:15Z,76025,2173,66
"PALESTINIAN & ISRAELI YOUTH COME TOGETHER FOR A SPECIAL PERFORMANCE OF ""Don't Give Up On Me""",2020-03-23T16:25:38Z,18310,886,60
