Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Chase Atlantic - STRANGER THINGS (Official Visualizer),2022-05-03T04:00:10Z,610444,44572,1974
Chase Atlantic - COLD NIGHTS (Official Visualizer),2022-05-03T04:00:09Z,416958,32674,1579
Chase Atlantic - CHXSE (Official Visualizer),2022-05-03T04:00:07Z,771666,44362,1912
Chase Atlantic - ESCORT (OFFICIAL LYRIC VIDEO),2021-10-14T04:00:09Z,3766397,143808,4879
ONE MILLION SUBSCRIBERS ❤️ #shorts,2021-09-09T23:11:10Z,166628,26625,525
Chase Atlantic - OHMAMI with Maggie Lindemann (Official Visualizer),2021-09-01T04:00:03Z,8597815,191072,5979
LIVE NOW: Chase Atlantic | The Wiltern Livestream Series,2021-07-10T01:16:52Z,79987,6778,152
Chase Atlantic - OHMAMI (Official Lyric Video),2021-06-25T04:00:11Z,11714890,382672,24004
Chase Atlantic - MOLLY (Live),2021-03-12T19:04:08Z,325865,21900,1243
Chase Atlantic – ALEYUH (Official Visualizer),2021-03-09T15:06:45Z,697760,22852,557
Chase Atlantic - BEAUTY IN DEATH (Official Visualizer),2021-03-09T15:05:46Z,762312,23638,618
Chase Atlantic - CALL ME BACK (Official Visualizer),2021-03-09T15:04:13Z,897238,21787,523
Chase Atlantic - I THINK I'M LOST AGAIN (Official Visualizer),2021-03-09T15:02:45Z,654734,19196,436
Chase Atlantic - PARANOID (Official Visualizer),2021-03-09T15:01:44Z,2191730,57555,1273
Chase Atlantic - PLEASEXANNY (Official Visualizer),2021-03-09T15:00:18Z,491904,19183,569
Chase Atlantic - PLEASE STAND BY (Official Visualizer),2021-03-09T14:58:07Z,523054,14570,649
Chase Atlantic - WASTED (Official Visualizer),2021-03-09T14:56:50Z,333116,12176,597
Chase Atlantic - EMPTY (Official Lyric Video),2021-02-19T04:59:58Z,3519744,86360,2712
Chase Atlantic - MOLLY (Official Lyric Video),2020-10-08T04:00:10Z,1164188,50103,2073
Chase Atlantic - TOO LATE (Official Music Video),2019-10-03T14:00:13Z,2043484,67742,2227
Chase Atlantic - ANGELS (Official Music Video),2019-08-22T21:00:13Z,860415,40098,3174
Chase Atlantic - HEAVEN AND BACK (Official Music Video),2019-07-11T17:01:37Z,2294851,66304,1980
I NEVER EXISTED,2019-07-03T20:00:08Z,458908,11321,283
NO RAINBOWS,2019-07-03T20:00:07Z,395293,10959,222
HEAVEN AND BACK,2019-07-03T20:00:05Z,293973,9337,269
PHASES,2019-07-03T20:00:03Z,263104,7843,125
TOO LATE,2019-07-03T20:00:02Z,170961,5999,156
INTRO,2019-07-03T20:00:01Z,150283,3821,103
EVEN THOUGH I'M DEPRESSED,2019-07-03T20:00:01Z,239905,7467,153
ANGELS,2019-07-03T20:00:00Z,244255,8426,202
I DON'T LIKE DARKNESS,2019-07-03T20:00:00Z,258995,7957,187
Chase Atlantic - LOVE IS (NOT) EASY (Official Music Video),2019-06-13T16:57:47Z,545278,35486,1249
LOVE IS (NOT) EASY (Official Audio),2019-06-07T08:00:00Z,452295,18742,775
Chase Atlantic - STUCKINMYBRAIN (Official Lyric Video),2019-05-24T04:00:09Z,1950090,51738,1675
Chase Atlantic - HER (Official Music Video),2019-05-10T04:00:05Z,2083909,65694,2251
Chase Atlantic - WHAT U CALL THAT (Lyrics),2019-02-13T17:00:05Z,3968334,70729,1696
Chase Atlantic - LIKE A ROCKSTAR (Official Music Video),2019-01-10T15:21:43Z,2902162,80158,2868
LIKE A ROCKSTAR (OFFICIAL AUDIO),2018-12-07T17:00:01Z,566994,17228,1026
Chase Atlantic - Tidal Wave (Official Lyric Video),2018-07-09T15:51:02Z,2344271,50018,1552
Chase Atlantic - Tour Diary Pt. 2,2018-05-11T16:59:42Z,44745,3758,193
Chase Atlantic - Tour Diary Pt. 1,2018-04-27T17:00:01Z,53450,5611,310
Chase Atlantic - Numb to the Feeling (Official Music Video),2018-04-06T15:59:48Z,4516939,116402,2776
"Chase Atlantic - ""SWIM"" (Official Music Video)",2018-02-21T20:00:39Z,35989621,745004,12606
Chase Atlantic - Angeline [Visualizer],2017-10-17T15:19:28Z,495913,18221,713
"Chase Atlantic - ""Okay"" (Official Music Video)",2017-10-06T14:00:03Z,4020181,120853,2499
"Chase Atlantic - ""Ozone"" (Official Audio)",2017-10-04T20:53:23Z,729818,17706,319
"Chase Atlantic - ""Uncomfortable"" (Official Audio)",2017-10-04T20:53:23Z,1592446,23691,380
"Chase Atlantic - ""The Walls"" (Official Audio)",2017-10-04T20:53:21Z,1382501,31049,497
"Chase Atlantic - ""Dancer In the Dark"" (Official Audio)",2017-10-04T20:53:21Z,821572,16561,343
"Chase Atlantic - ""Consume"" feat. Goon Des Garcons (Official Audio)",2017-10-04T20:53:21Z,1088492,23253,423
"Chase Atlantic - ""Drugs & Money"" (Official LIVE Music Video)",2017-09-29T18:00:02Z,426732,16588,579
"Chase Atlantic - ""Keep It Up"" (Official Music Video)",2017-08-11T04:02:07Z,961254,20026,862
"Chase Atlantic - ""Keep It Up"" (Official Audio)",2017-07-21T23:12:51Z,105803,3702,177
"Chase Atlantic - ""Drugs & Money"" (Official Audio)",2017-07-21T23:12:39Z,1034234,25928,419
"Chase Atlantic - ""23"" (Official Audio)",2017-07-21T23:12:26Z,613512,14000,260
"Chase Atlantic - ""No Friends"" feat. ILoveMakonnen & K Camp (Official Audio)",2017-07-21T23:12:06Z,519061,12415,375
"Chase Atlantic - ""Why Stop Now"" (Official Music Video)",2017-07-14T14:59:52Z,793563,23457,1319
"Chase Atlantic - ""Cassie"" (Official Music Video)",2017-06-15T14:00:02Z,1732086,39765,1226
"Chase Atlantic ""Church"" (Official LIVE Music Video)",2017-05-12T16:00:24Z,903301,27987,578
"Chase Atlantic - ""Triggered"" (Official Music Video)",2017-04-21T19:00:04Z,6796248,143841,3273
"Chase Atlantic - ""Into It"" (Official LIVE Music Video)",2017-04-07T22:00:02Z,11828468,242025,3469
"Chase Atlantic - ""Cassie"" (Official Audio)",2017-03-31T03:30:48Z,269892,5830,204
"Chase Atlantic - ""Triggered"" (Official Audio)",2017-03-31T03:30:17Z,265819,6843,157
"Chase Atlantic - ""Why Stop Now"" (Official Audio)",2017-03-31T03:29:58Z,142564,4472,107
"Chase Atlantic - ""Right Here"" (Official LIVE Music Video)",2017-03-24T13:59:26Z,5188252,104883,1675
Chase Atlantic - THE PART ONE VISUAL EXPERIENCE,2017-03-15T22:00:03Z,50152,3910,320
Chase Atlantic - Into It (Official Music Video),2017-03-06T23:01:29Z,281896,12974,303
"Chase Atlantic - ""Right Here"" (Official Audio)",2017-01-27T21:36:07Z,2468707,39331,433
"Chase Atlantic - ""Into It"" (Official Audio)",2017-01-27T21:33:43Z,3037893,63087,987
"Chase Atlantic - ""Church"" (Official Music Video)",2017-01-27T16:34:09Z,4602760,112053,2038
Chase Atlantic - OBSESSIVE,2016-01-29T00:00:00Z,917405,24673,1036
