Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
KILLER out june 16th pre-save now… https://fkatwigs.lnk.to/killer #fkakiller,2022-06-06T18:57:27Z,5849,746,26
i wanted to die i’m just being honest…thank you song caprivid out now,2022-05-04T19:46:19Z,17088,1392,33
FKA twigs - thank you song,2022-05-04T14:00:55Z,253200,17022,691
thank you song caprivid out tomorrow 3pm bst 💕,2022-05-03T21:36:56Z,12057,600,16
TWIGLETS ASSEMBLE!! the caprivid for which way feat Dystopia is out now!,2022-04-26T22:34:08Z,4576,522,5
FKA twigs - which way feat. Dystopia,2022-04-25T14:00:15Z,328551,9804,326
CAPRISONGS ALERT!! TWIGLETS ASSEMBLE!! honda caprivid is out now 💫 honda baby!,2022-04-22T19:55:34Z,8769,839,21
FKA twigs - honda feat. Pa Salieu,2022-04-22T15:00:11Z,379697,20353,508
CAPRISONGS ALERT!! TWIGLETS ASSEMBLE!! the caprivid for oh my love is out now 💕,2022-04-19T15:03:15Z,6888,798,21
FKA twigs - oh my love,2022-04-19T14:00:10Z,521347,25197,745
CAPRISONGS ALERT! TWIGLETS ASSEMBLE! papi bones caprivid is out now! comment 🐐 when you’ve watched,2022-04-14T14:52:17Z,9102,692,32
FKA twigs - papi bones feat. Shygirl,2022-04-14T14:00:16Z,374326,28748,908
PLAYSCAPE for the international #WoolmarkPrize 2022. watch the full film on my youtube,2022-04-12T15:41:59Z,4019,334,7
"""PLAYSCAPE"" by FKA twigs for the International Woolmark Prize 2022",2022-04-12T07:30:01Z,37657,3118,143
#bambam x #fkatwigs x #yunglean,2022-04-11T17:48:11Z,21675,983,29
bliss on bliss on bliss yung lean video out now !,2022-04-08T14:38:14Z,11149,1093,20
⬅️⬆️⬇️➡️,2022-04-05T14:38:42Z,13476,1426,27
erasing fine lines with juliano nunes,2022-03-23T18:23:51Z,67256,4239,195
"ur not alone, i’ll wait til the end of time 🌱 rehearsal for darjeeling caprivid w/ maji claire",2022-03-17T22:03:51Z,11652,899,17
🌱 nme awards ! go watch full performance 💕,2022-03-08T22:21:46Z,12292,1376,24
🌱 @nme !,2022-03-07T17:40:34Z,12154,1038,28
omg why am i like this. also how talented is maji claire for choreographing darjeeling?!,2022-02-27T21:21:16Z,34229,2122,91
darjeeling bts 💕 did you watch the caprivid yet?,2022-02-26T18:29:30Z,12388,819,16
the caprivid for darjeeling is up! cute lil hand performance w/ maji claire 💕 director aidan zamiri,2022-02-25T19:02:39Z,7751,537,12
