Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
dropping my debut album,2022-05-27T22:49:51Z,78821,8267,407
Tate McRae - what would you do? (official teaser),2022-05-11T20:46:57Z,116903,10777,543
big announcement tomorrow 👀,2022-03-31T17:06:17Z,69333,6110,126
Tate McRae - she’s all i wanna be (bts at my fan-created performance) | #SetTheStageWithTate,2022-03-29T17:18:19Z,25450,2589,143
Tate McRae - Stop For Nothing - Episode 1,2022-03-14T19:00:01Z,77636,8175,254
Tate McRae - she’s all i wanna be (a music video i made with my fans),2022-03-11T18:59:47Z,118822,8864,343
the music video :) Out now!!,2022-02-12T16:18:12Z,90056,8439,137
she’s all I wanna be music video out feb 11! song out everywhere tomorrow!  #shorts,2022-02-03T17:21:20Z,96846,7928,105
someone come over and teach me how to work the app. also song comes out in 2 days friends,2022-02-03T00:39:33Z,80729,5948,69
working on the album…..🤭,2022-01-28T22:05:50Z,72923,7138,168
FEBRUARY 4TH she’s all i wanna be IS OUT🤯 go presave rn!,2022-01-25T18:35:11Z,125234,10726,217
basically sums up me at rehearsals hahahahah,2022-01-18T21:52:40Z,69974,5186,58
sumth new i just wrote …. 🥰,2022-01-16T04:10:10Z,169212,18979,378
sneak peak of rehearsals for tour….🤭,2022-01-14T07:02:50Z,89534,5010,61
It’s rehearsal time,2022-01-08T02:28:20Z,45613,4726,88
sneak peak of my next song….😈,2022-01-05T04:51:41Z,125938,12724,351
lil workout on christmas eve 💞,2021-12-24T20:21:20Z,75901,4687,83
grwm on winter break !!!,2021-12-21T20:28:18Z,354128,15282,151
this is where im meant to be,2021-12-17T04:39:04Z,54480,5002,49
Tate McRae – iHeartRadio & Capital One Jingle Ball Live Artist Session (Full Performance),2021-12-15T17:00:05Z,107970,5573,216
YALL SANG EVERY WORD im dying i love you so much,2021-12-14T02:37:05Z,59424,4551,42
MADISON SQUARE GARDEN!!!!!!!!!!!,2021-12-11T06:32:29Z,52364,3836,65
drew barrymore 🥲,2021-12-11T04:37:25Z,46746,3801,47
Tate McRae – feel like shit Live iHeartRadio & Capital One Jingle Ball Artist Session,2021-12-09T18:00:19Z,91479,7065,296
mike i love you soooooo much ✨,2021-12-05T17:59:42Z,61196,6148,131
soundcheck 4 you broke me first🖤,2021-12-04T07:27:02Z,88422,9854,155
my first arena show!!!,2021-12-01T04:49:17Z,77848,6037,103
Tate McRae Live with Grubhub Sound Bites,2021-11-22T18:13:36Z,151129,9329,223
tate mcrae and jeremy zucker talk “that way”!!!!,2021-09-03T04:03:40Z,97987,5414,199
rubberband - original song by tate mcrae,2021-03-14T22:33:37Z,404485,34099,1843
Tate McRae - you broke me first (An Immersive CGI Version),2021-03-11T16:00:11Z,548059,15299,852
talking n singing,2020-12-23T00:23:02Z,140593,12971,762
singing some unreleased songs for u guys,2020-09-17T22:26:28Z,278191,23663,1517
Artist on the Rise: Tate McRae,2020-09-08T15:00:11Z,1645123,11863,778
Tate McRae – you broke me first (Live Performance) | Artist on the Rise,2020-08-27T16:00:03Z,332699,27182,1212
don't be sad - original song by tate mcrae,2020-08-16T18:01:58Z,1265779,82614,3378
Tate McRae – vicious (Live Performance) | Artist on the Rise,2020-08-13T15:00:09Z,962189,17465,926
Artist on the Rise LIVE with Tate McRae,2020-08-10T15:05:32Z,70659,7312,305
look u made me something vicious - by tate mcrae,2020-05-30T15:30:03Z,567709,41769,1877
"Tate McRae - Stupid (February, 27, 2020 - Live at Youtube NYC)",2020-05-25T15:56:16Z,178680,9019,463
"Tate McRae - One Day (February, 27, 2020 - Live at Youtube NYC)",2020-04-23T18:10:06Z,213877,14520,1076
you broke me first - tate mcrae,2020-04-12T18:48:49Z,3016772,163967,4664
dear brother - original song by tate mcrae,2020-03-22T18:33:13Z,1587625,76208,3609
Tate McRae - stupid (behind the scenes),2020-03-13T14:03:23Z,122805,5496,207
everything i wanted cover,2020-03-06T22:36:25Z,366893,26381,1293
EUROPE TOUR (tate's tour diary),2020-02-18T17:56:17Z,68460,3750,324
if the world was ending cover,2020-02-18T16:32:54Z,1492801,81132,3673
tate's tour diary (TORONTO SHOW),2020-02-04T13:02:39Z,36491,2363,130
tate's tour diary (CHICAGO SHOW),2020-02-02T19:36:56Z,46623,2675,165
Tate McRae - happy face (Lyrics),2020-01-24T05:00:01Z,1889161,34618,1032
Tate McRae - that way (Lyrics),2020-01-24T05:00:00Z,2836447,54745,1110
happy face - original song by tate mcrae,2020-01-21T02:09:12Z,534969,38727,1771
"10 years of my life in 4 minutes... (So you think you can dance, Teen choice, record label, etc)",2020-01-02T19:02:42Z,130462,12557,738
friends don't look at friends that way,2019-12-20T20:59:59Z,1489554,84957,1884
im so stupid for u - original song by tate mcrae,2019-11-29T20:18:02Z,1873612,96949,3436
dance monkey cover by tate mcrae,2019-11-27T19:56:04Z,279573,22693,1385
ANSWERING UR QUESTIONS IN LONDON,2019-11-16T00:22:43Z,43306,3486,
i can't stop thinking about u - an original song by tate mcrae,2019-11-02T21:27:27Z,1232164,69455,2060
Tate McRae - all my friends are fake (Acoustic),2019-10-21T15:06:02Z,328934,20598,929
Tate McRae - all my friends are fake (Official Video),2019-10-18T15:24:28Z,11061978,341204,11909
we the messed up generation - original song by tate mcrae,2019-10-11T17:14:59Z,1855342,85164,2513
all my friends are fake - original song by tate mcrae,2019-09-29T17:40:07Z,3409783,147276,5503
Tate McRae - tear myself apart (acoustic video),2019-09-16T19:59:31Z,410592,24163,913
dear U... original song by tate mcrae,2019-09-10T01:24:40Z,1165668,63877,2379
Tate McRae - tear myself apart (Official Video),2019-08-28T16:34:52Z,5373354,189091,7571
what my summer looked like,2019-08-25T18:06:57Z,81922,6437,425
xanny cover by tate mcrae,2019-08-18T22:02:50Z,129430,12055,812
a sad love song ahhhhh - original by tate mcrae,2019-08-13T06:14:45Z,1984050,80634,2451
HI GUYS,2019-08-07T00:26:26Z,144700,8948,889
jealous cover by tate mcrae,2019-07-29T20:52:08Z,565870,37947,2139
11:11 an original song in a car when it's raining,2019-07-21T00:20:05Z,7799243,311433,7746
somebody else (1975 cover) - tate mcrae,2019-07-12T00:47:22Z,431321,25390,824
if vsco was a song - tate mcrae,2019-06-27T18:11:22Z,1410431,74562,3167
dear person who doesn't understand me,2019-06-13T17:43:53Z,6268914,217070,7544
a week at the recording studio in new york,2019-06-03T01:55:08Z,61806,3298,289
the one that got away - tate mcrae cover,2019-05-26T22:30:26Z,1561847,83950,2876
dont fall in love lol - original song by tate mcrae,2019-05-13T22:00:46Z,2518820,171034,3464
dear teenagers - original song by tate mcrae,2019-05-05T23:54:14Z,1972708,102587,2570
bad guy - billie eilish cover,2019-04-28T05:51:17Z,329816,24133,1383
a rlly sad cover of i love you,2019-04-20T22:03:52Z,2031612,146007,4966
behind the scenes: tate mcrae - kids are alright,2019-04-12T21:54:40Z,94675,5617,357
i wrote a song... (kids are alright),2019-03-29T15:29:08Z,1279680,58190,2099
