Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Tessa Violet - BREAKDOWN (Official Audio),2022-05-25T04:00:10Z,87330,7978,351
redying my hair and talking about gurugossip,2022-05-24T21:52:11Z,19583,1785,125
YES MOM Release Countdown,2022-02-16T05:01:18Z,54285,2151,73
Tessa Violet - YES MOM (Official Audio),2022-02-16T05:00:11Z,1133266,45378,991
Tessa Violet - Crush (live from Bad Ideas: The Experience),2022-02-14T22:00:09Z,41232,3112,114
Tessa Violet - I Like (the idea of) You and Prelude (live from Bad Ideas: The Experience),2022-02-13T21:55:32Z,46323,3503,159
Tessa Violet - Bad Ideas (live from Bad Ideas: The Experience),2022-02-11T20:00:08Z,52447,4199,134
Tessa Violet - Honest (live from Bad Ideas: The Experience),2022-02-10T20:00:16Z,82812,5390,222
i am obsessed with this song,2022-01-01T03:23:40Z,153459,6459,300
honk,2022-01-01T00:42:39Z,774924,32793,502
don’t you want to become a cult leader?,2021-12-30T04:56:44Z,54501,3372,107
this song is the only song,2021-12-29T03:47:37Z,68796,3781,84
listen…,2021-12-28T04:56:38Z,63229,4853,184
i am woman,2021-12-26T20:34:49Z,40217,1657,41
sleigh ride with the pup,2021-12-25T16:55:36Z,35505,1674,77
too niche?,2021-12-24T03:35:39Z,30653,1145,56
everything i said today in the vocal booth (but without the singing) part 2!,2021-12-22T21:31:41Z,31738,1684,34
lil christmas original for you,2021-12-19T18:15:40Z,41882,3516,115
wearing my coat open,2021-12-16T18:34:53Z,34561,1940,208
MCU,2021-12-08T22:38:02Z,45492,1781,86
everything i said today in the vocal booth (but without the singing),2021-12-03T00:47:30Z,23954,1314,31
am i a theater kid,2021-12-01T17:25:16Z,34057,2017,91
sunset lamps,2021-11-30T22:43:20Z,40180,1891,91
i wanna write songs but i’m afraid i’m bad at it,2021-11-29T21:03:35Z,57465,5944,215
Tessa Violet & lovelytheband - Games (The Punk AF Matt Squire Mix) Official Music Video,2021-07-07T19:00:10Z,288741,15134,709
Tessa Violet & lovelytheband - Games (The Punk AF Matt Squire Mix) (Official Audio),2021-06-25T04:00:05Z,45935,2976,211
Tessa Violet - Wishful Drinking (live from Bad Ideas: The Experience),2021-05-10T22:17:26Z,266433,15159,463
Games Music Video Countdown,2021-04-17T19:45:00Z,29206,1785,36
Tessa Violet & lovelytheband - Games (Official Music Video),2021-04-17T19:00:12Z,2837792,137137,3739
Tessa Violet & lovelytheband - Games (Acoustic),2021-04-12T20:17:58Z,35535,2621,163
Tessa Violet & lovelytheband - Games (Official Lyric Video),2021-04-08T04:01:34Z,256955,9282,390
first time playing Stardew Valley | Tessa Violet,2021-03-17T19:24:50Z,54218,3558,226
Playing Among Us with Fans | Tessa Violet,2021-03-07T18:44:33Z,44911,2866,245
Tessa Violet - Wishful Drinking (Official Music Video),2020-12-05T20:00:04Z,572526,26605,778
internet detox day 1,2020-10-31T20:16:03Z,84020,5537,611
"Tessa Violet & chloe moriondo - ""Words Ain't Enough"" (Official Music Video)",2020-10-23T17:30:10Z,710631,53384,1388
Tessa Violet and Chloe Moriondo Words Ain't Enough Music Video Countdown,2020-10-23T17:29:46Z,30982,2074,42
Tessa Violet w/ Chloe Moriondo count down to Word Ain't Enough,2020-10-16T04:04:07Z,23853,2198,51
Tessa Violet & chloe moriondo - Words Ain't Enough (Official Lyric Video),2020-10-16T04:02:17Z,136093,12628,406
TESSA VIOLET RADIO 🎙,2020-09-01T10:15:20Z,34358,1968,71
The Final Something To Look Forward To Show,2020-08-09T22:37:23Z,61217,3153,82
