Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
WOODZ(조승연) - 4th MINI ALBUM [COLORFUL TRAUMA] Showcase (FULL ver.),2022-05-30T11:00:07Z,11590,2588,109
WOODZ(조승연) - '난 너 없이 (I hate you)' Special Performance Video (School-Rock ver.),2022-05-27T11:00:34Z,28670,5346,291
WOODZ(조승연) - 'Dirt on my leather' Showcase Stage Video,2022-05-23T11:00:31Z,26486,5129,193
WOODZ(조승연) - 요WOODZM (YOWOODZM) S5. EP.02,2022-05-20T11:00:22Z,13544,2314,110
WOODZ(조승연) - '난 너 없이 (I hate you)' Showcase Stage Video,2022-05-16T11:00:23Z,23776,4714,163
"HOW : how ordinary, we're #6",2022-05-14T11:00:15Z,10573,2225,129
WOODZ(조승연) - 요WOODZM (YOWOODZM) S5. EP.01,2022-05-13T11:22:04Z,10540,2053,109
WOODZ(조승연) - '난 너 없이 (I hate you)' M/V Commentary,2022-05-12T11:00:16Z,14143,2885,117
WOODZ(조승연) - '난 너 없이 (I hate you)' Dance Practice Video,2022-05-11T11:00:00Z,69310,8406,257
WOODZ(조승연) - '난 너 없이 (I hate you)' M/V Behind,2022-05-10T11:00:01Z,18281,3503,150
WOODZ(조승연) - 4th MINI ALBUM [COLORFUL TRAUMA] Album Jacket Behind,2022-05-09T11:00:33Z,16623,3423,147
"HOW : how ordinary, we're #Teaser",2022-05-07T11:00:16Z,15459,4015,168
WOODZ(조승연) - '난 너 없이' 응원법(Cheering Guide),2022-05-05T03:00:31Z,22177,4394,322
"WOODZ LIKE｜Eat, Play, Love",2022-05-02T09:00:21Z,32052,4092,217
WOODZ(조승연) - 4th MINI ALBUM [COLORFUL TRAUMA] Highlight Medley,2022-04-28T15:00:39Z,98637,17091,1114
WOODZ CLOSET｜Album Track Spoiler #OOTD,2022-04-28T09:00:05Z,24328,5166,295
WOODZ PLAYLIST｜난 너 없이 살 수 있을까,2022-04-22T09:00:30Z,79423,11757,668
WOODZ LIVE 2021 'The_Invisible_City' Behind,2022-01-05T11:00:29Z,21978,3986,236
WOODZ(조승연) - 2022 SEASON'S GREETING BEHIND,2021-12-16T09:00:20Z,25019,4629,240
WOODZ LIVE 2021 'The_Invisible_City' Spoiler #3 In the Chaotic City,2021-12-10T15:00:03Z,7839,1631,57
WOODZ LIVE 2021 'The Invisible City' Spoiler #2 Alone,2021-12-09T15:00:19Z,8184,1924,69
"WOODZ LIVE 2021 'The Invisible City' Spoiler #1 Dream, Real?!",2021-12-08T15:00:29Z,8106,2061,96
WOODZ LIVE 2021 'The Invisible City' (ENG),2021-12-07T11:00:11Z,8287,2044,92
WOODZ LIVE 2021 'The Invisible City' (KOR),2021-12-07T11:00:03Z,4671,1064,47
WOODZ LIVE 2021 'The Invisible City' (KOR),2021-11-29T11:00:16Z,7234,1837,93
WOODZ LIVE 2021 'The Invisible City' (ENG),2021-11-29T11:00:09Z,7963,2206,137
WOODZ(조승연) - 'WAITING' Dance Performance (vampire ver.),2021-11-18T10:00:05Z,90468,12550,525
WOODZ - 요WOODZM (YOWOODZM) S4. EP.02,2021-10-21T11:00:01Z,19895,2884,171
WOODZ(조승연) - 3rd Mini Album [ONLY LOVERS LEFT]  LIVE CLIP BEHIND,2021-10-16T13:00:01Z,19153,3715,157
"HOW : how ordinary, we're #5-2",2021-10-15T13:16:53Z,14843,2600,152
WOODZ - 요WOODZM (YOWOODZM) S4. EP.01,2021-10-14T13:00:10Z,21700,3506,234
WOODZ (조승연) - 'Kiss of fire' LIVE CLIP,2021-10-12T13:00:35Z,781607,44752,1452
WOODZ (조승연) - 'WAITING' LIVE CLIP,2021-10-12T13:00:30Z,157661,18599,579
WOODZ (조승연) - 'Chaser' LIVE CLIP,2021-10-12T13:00:29Z,545001,31097,1141
WOODZ(조승연) - 'WAITING' MV Reaction,2021-10-11T13:00:03Z,23656,4526,248
WOODZ(조승연) - 3rd Mini Album [ONLY LOVERS LEFT] M/V BEHIND,2021-10-09T13:00:15Z,21114,4220,169
"HOW : how ordinary, we're #5-1",2021-10-08T09:00:17Z,17763,3297,216
WOODZ(조승연) - 'WAITING' 응원법(Cheering Guide),2021-10-07T06:00:15Z,21214,4518,384
WOODZ(조승연) - 3rd Mini Album [ONLY LOVERS LEFT] Highlight Medley,2021-10-03T09:00:20Z,120291,17326,1411
WOODZ(조승연) - 'ONLY LOVERS LEFT' ALBUM INTRODUCTION,2021-10-02T09:00:17Z,19956,4395,268
"HOW : how ordinary, we're #Teaser",2021-10-01T09:00:08Z,22249,5273,269
WOODZ(조승연) - 'ONLY LOVERS LEFT' ALBUM MOOD CLIP,2021-09-29T09:00:13Z,31237,7301,372
WOODZ(조승연) - 2021 추석 인사 메세지,2021-09-21T01:00:08Z,16504,3906,275
WOODZ(조승연) - August 5th Behind the scenes,2021-08-09T09:00:01Z,25355,4875,328
[ENG] WOODZ - 요WOODZM (YOWOODZM) S3. EP.10,2021-06-09T11:05:08Z,19651,2631,252
[ENG] WOODZ - 요WOODZM (YOWOODZM) S3. EP.09,2021-06-02T11:05:11Z,14798,2234,158
[ENG] WOODZ - 요WOODZM (YOWOODZM) S3. EP.08,2021-05-19T11:06:31Z,16498,2345,178
[ENG] WOODZ - 요WOODZM (YOWOODZM) S3. EP.07,2021-05-12T11:05:01Z,15368,2162,157
[ENG] WOODZ - 요WOODZM (YOWOODZM) S3. EP.06,2021-05-06T11:05:02Z,15559,2396,174
WOODZ(조승연) - HAPPY MOODZ DAY,2021-05-05T14:55:40Z,42574,9371,1311
[ENG] WOODZ - 요WOODZM (YOWOODZM) S3. EP.05,2021-04-28T11:05:46Z,14654,2307,214
[ENG] WOODZ - 요WOODZM (YOWOODZM) S3. EP.04,2021-04-21T11:05:03Z,15008,2524,176
[ENG] WOODZ - 요WOODZM (YOWOODZM) S3. EP.03,2021-04-14T11:05:11Z,14567,2381,153
WOODZ(조승연) - 'FEEL LIKE' Dance Practice,2021-04-13T09:00:08Z,86226,10141,418
WOODZ(조승연) - 'FEEL LIKE' Dance Practice (MV ver.),2021-04-10T09:00:26Z,62093,10300,452
[ENG] WOODZ - 요WOODZM (YOWOODZM) S3. EP.02,2021-04-07T11:05:01Z,15843,2759,188
[ENG] WOODZ - 요WOODZM (YOWOODZM) S3. EP.01,2021-03-31T11:05:03Z,19075,3482,278
WOODZ(조승연) - FEEL LIKE 응원법(Cheering Guide),2021-03-22T03:00:10Z,19992,4264,299
[ENG] WOODZ(조승연) - Single Album [SET] JACKET BEHIND,2021-03-19T06:15:31Z,16472,3369,212
[ENG] WOODZ(조승연) - Single Album [SET] M/V BEHIND,2021-03-19T06:15:01Z,19243,3966,294
[ENG] WOODZ(조승연) - 방구석에서 하는 스포일러 #2,2021-03-13T13:00:06Z,19117,2870,198
[ENG] WOODZ(조승연) - 방구석에서 하는 스포일러 #1,2021-03-10T13:00:05Z,31626,4536,371
WOODZ(조승연) - Single Album [SET] Highlight Medley,2021-03-09T15:00:01Z,76373,13038,1033
[ENG] WOODZ(조승연) - FEEL LIKE MV Teaser Reaction,2021-03-09T11:10:06Z,37009,8028,560
"[ENG] HOW : how ordinary, we're #4-1",2021-03-02T10:15:16Z,26991,4269,502
[ENG] WOODZ(조승연) - 3분 가수 (3minute singer),2021-02-28T10:00:18Z,36784,6090,758
[ENG] WOODZ(조승연) - Single Album [SET] introduction,2021-02-27T10:00:03Z,29101,4946,576
WOODZ(조승연) - 2021 설날 인사 메세지,2021-02-12T01:00:00Z,30859,6006,254
WOODZ - 요WOODZM (YOWOODZM) S2. EP.12,2021-02-10T11:05:03Z,23764,3123,242
WOODZ - 요WOODZM (YOWOODZM) S2. EP.11,2021-02-03T11:05:01Z,25916,3517,385
WOODZ - 요WOODZM (YOWOODZM) S2. EP.10,2021-01-27T11:05:02Z,18487,2907,196
WOODZ - 요WOODZM (YOWOODZM) S2. EP.09,2021-01-20T11:05:01Z,21670,3350,200
WOODZ (조승연) - Horizon Live (Tide),2021-01-18T14:17:01Z,244964,21786,1258
WOODZ - 요WOODZM (YOWOODZM) S2. EP.08,2021-01-13T11:04:59Z,20392,3211,225
WOODZ(조승연) - 끌레드벨(Cledbel) BEHIND THE SCENES,2021-01-12T09:00:09Z,19211,3722,262
WOODZ - 요WOODZM (YOWOODZM) S2. EP.07,2021-01-06T11:05:02Z,19277,2926,173
WOODZ(조승연) - 2021 새해 인사 메세지,2021-01-01T01:00:02Z,15244,3976,254
WOODZ - 요WOODZM (YOWOODZM) S2. EP.06,2020-12-30T11:05:01Z,17351,2802,138
"WOODZ(조승연) - Merry Christmas, MOODZ",2020-12-24T15:00:08Z,20398,5685,350
2021 WOODZ(조승연) Season's Greetings [JO'S DAY] Preview,2020-12-24T12:00:23Z,20180,4328,228
WOODZ - 요WOODZM (YOWOODZM) S2. EP.05,2020-12-23T11:05:01Z,14511,2578,152
WOODZ - 요WOODZM (YOWOODZM) S2. EP.04,2020-12-16T11:05:09Z,18360,2971,173
WOODZ(조승연) - 'BUMP BUMP' Dance Practice,2020-12-13T03:00:07Z,115907,15009,632
WOODZ - 요WOODZM (YOWOODZM) S2. EP.03,2020-12-09T11:04:59Z,20797,3245,199
2020 WOODZ : NOT JUST A CONCERT - W BOX [VOD],2020-12-08T09:00:06Z,8359,1871,85
WOODZ(조승연) - 'BUMP BUMP' M/V Reaction,2020-12-07T09:00:04Z,25000,5392,444
WOODZ - 요WOODZM (YOWOODZM) S2. EP.02,2020-12-02T11:05:03Z,18958,3189,167
WOODZ - 요WOODZM (YOWOODZM) S2. EP.01,2020-11-25T11:05:08Z,28745,4717,349
WOODZ(조승연) - BUMP BUMP 응원법(Cheering Guide),2020-11-19T03:00:20Z,33799,7115,576
WOODZ(조승연) - The 2nd Mini Album [WOOPS!]  M/V BEHIND,2020-11-18T05:14:57Z,29356,4808,229
WOODZ(조승연) - The 2nd Mini Album [WOOPS!] Jacket BEHIND,2020-11-18T05:13:42Z,19474,3991,162
"HOW : how ordinary, we're #3-2",2020-11-17T01:00:51Z,23709,3464,297
WOODZ(조승연) - 나 엄마랑 산다2 (I live with my mom) EP.02 (feat.전참시),2020-11-14T15:00:12Z,67627,6499,363
WOODZ(조승연) - 나 엄마랑 산다2 (I live with my mom) EP.01,2020-11-13T15:00:09Z,117678,12300,723
WOODZ(조승연) - The 2nd Mini Album [WOOPS!] Highlight Medley,2020-11-12T15:00:15Z,108006,16548,1154
WOODZ(조승연) - BUMP BUMP MV Teaser Reaction,2020-11-12T09:00:05Z,38985,8241,383
"HOW : how ordinary, we're #3-1",2020-11-09T14:35:16Z,27665,4778,404
WOODZ(조승연) - 매니저가 잠든 후에 #2,2020-11-07T15:00:08Z,32460,4910,313
WOODZ(조승연) - 매니저가 잠든 후에 #1,2020-11-06T15:00:11Z,53151,7742,665
