Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments
Cavetown - Fall In Love With A Girl (feat. beabadoobee),2022-02-25T17:00:11Z,1164809,69221,2348
"Cavetown - ""squares"" + ""y 13"" (Official Music Video)",2022-01-14T17:00:10Z,297606,44856,1823
Cavetown - I Want To Meet Ur Dog [Fan Video],2021-11-23T20:00:03Z,102956,14818,692
"Cavetown & Chloe Moriondo - ""Teenage Dirtbag"" (Acoustic)",2021-11-03T22:09:44Z,288325,25493,1052
hanging out with chloe !!!,2021-10-22T20:11:29Z,65904,5977,152
Cavetown - Teenage Dirtbag (Feat. Chloe Moriondo),2021-10-22T04:00:33Z,720599,46285,1651
Cavetown - There is Light Live Show,2021-09-30T19:06:09Z,166623,15235,1011
Trying Not To Cry,2021-08-31T20:01:30Z,917110,64031,3503
"talking about ""idea of her"" video!",2021-08-09T20:49:23Z,91347,9437,207
Cavetown - Idea of Her,2021-07-28T18:00:09Z,1535205,90256,2885
Cavetown - Idea of Her (Lyric Video),2021-07-01T21:30:37Z,374228,27750,1154
"Cavetown - ""Idea of Her""",2021-06-04T04:00:16Z,357710,25758,1395
"Cavetown - ""I Want to Meet Ur Dog""",2021-06-04T04:00:15Z,212307,16510,883
"Cavetown - ""Guilty""",2021-06-04T04:00:09Z,596175,29469,1518
Cavetown - Ur Gonna Wish U Believed Me,2021-05-14T14:00:15Z,1452339,76391,3837
Cavetown - Sweet Tooth (Demo),2021-03-26T04:00:09Z,359568,20498,1025
Cavetown - Telescope (Demo),2021-03-26T04:00:08Z,94079,9328,713
Cavetown - PJ Pants (Demo),2021-03-26T04:00:06Z,108165,9940,817
Cavetown - Mum (Demo),2021-03-26T04:00:02Z,79946,8543,836
Cavetown - Paul,2021-02-26T05:00:11Z,539026,34776,3213
Cavetown - Sharpener’s Calling Me Again (feat. Kina),2021-01-29T05:00:22Z,323482,21152,1503
Cavetown - Let Me Feel Low (feat. Miloe) [Fan Video],2020-12-18T13:01:25Z,238588,22334,1124
Cavetown - Let Me Feel Low (feat. Miloe),2020-11-13T15:00:02Z,1438123,60030,4516
Cavetown - Sharpener [Official Music Video],2020-10-16T14:00:08Z,1816022,85309,5700
Vibing,2020-08-22T18:13:56Z,239071,21117,1287
Dyeing half my hair blonde,2020-08-13T19:02:19Z,484849,59278,3277
Singing Smoke Signals in the Backyard,2020-07-27T17:00:23Z,511826,39836,2088
The Japanese House - Chewing Cotton Wool,2020-07-19T17:00:05Z,729000,56345,3811
C A V E  C O,2020-07-13T17:08:43Z,88428,14611,1073
Cavetown - Smoke Signals (ft. Tessa Violet) [Official Music Video],2020-07-10T14:00:10Z,1613153,86362,4891
Soccer Mommy - circle the drain (Cover),2020-05-20T18:17:47Z,238113,19388,1706
Building a Minecraft Cave house with @MyKey,2020-05-16T19:36:42Z,172337,13121,802
Cavetown - I Miss My Mum [Official Music Video],2020-05-06T14:00:30Z,890144,53212,4831
Telescope (Live at The Fonda Theatre),2020-04-29T18:00:00Z,192940,9291,698
Snail w/ chloe moriondo (Live at The Showbox),2020-04-22T16:08:05Z,276654,16006,1010
Building a Mushroom Cafe in Minecraft :),2020-04-19T18:22:57Z,186983,19959,806
Painting Haul,2020-04-15T19:37:49Z,133465,21445,1348
I followed a Bob Ross painting tutorial,2020-04-05T06:08:12Z,529502,82351,5006
Cavetown - Trying,2020-03-27T04:00:37Z,1303326,56651,2700
Cavetown - Wishing Well,2020-03-27T04:00:34Z,393521,17045,864
Cavetown - Pyjama Pants,2020-03-27T04:00:30Z,667856,24246,1402
Cavetown - Snail (feat. chloe moriondo),2020-03-27T04:00:26Z,935452,31498,1672
Cavetown - Empty Bed,2020-03-27T04:00:16Z,471886,33645,2846
Come Sing #WithMe !!!,2020-03-24T21:29:44Z,189194,21623,663
Cavetown - I Miss My Mum,2020-03-20T04:00:03Z,970511,55566,4763
Takin pictures of me for tmrw Magazine,2020-03-19T18:01:43Z,68187,11932,862
Cavetown - Sweet Tooth [Official Music Video],2020-03-11T14:00:02Z,3288720,114753,8435
Cavetown - Sweet Tooth [Official Music Video],2020-02-14T05:01:53Z,3180080,98707,5256
Tasting Oat Milks (dog in video),2020-01-16T19:10:54Z,118641,14419,1301
Talking About Fig's Belly at YouTube Space NYC,2020-01-05T18:59:55Z,67247,7533,727
Sing-Sanging at YouTube Space NYC,2019-12-29T19:01:54Z,175850,16925,1324
Elephant + Bug = ??,2019-12-18T19:00:05Z,90632,12123,784
You’ve Got a Friend In Me (Cavetown Cover),2019-12-13T05:00:01Z,1040637,59600,3175
Dear (Live at Hoxton Hall),2019-11-29T05:00:13Z,116376,3889,198
Devil Town (Live at Hoxton Hall),2019-11-29T05:00:08Z,281533,8030,306
Just Add Water (Live at Hoxton Hall),2019-11-29T05:00:07Z,59694,2568,157
Home (Live at Hoxton Hall),2019-11-29T05:00:07Z,118910,4278,265
Juliet (Live at Hoxton Hall),2019-11-29T05:00:07Z,111457,4002,203
Talk to Me (Live at Hoxton Hall),2019-11-29T05:00:04Z,103911,3750,212
Green (Live at Hoxton Hall),2019-11-29T05:00:04Z,109768,3667,201
Cavetown - Boys Will Be Bugs [Official Live at Hoxton Hall],2019-11-29T05:00:04Z,7713740,363818,10023
Advice (Live at Hoxton Hall),2019-11-21T15:00:00Z,246043,13047,615
888 (Live at Hoxton Hall),2019-11-19T02:11:37Z,113124,3846,510
Cavetown - Things That Make It Warm (Live),2019-11-07T15:00:02Z,262163,12457,843
Cavetown - Things That Make It Warm (Audio),2019-11-01T04:10:14Z,822262,35363,2285
Cavetown – Telescope,2019-10-01T04:00:01Z,2103340,69865,3529
Cavetown - Telescope (Audio),2019-09-13T04:01:34Z,581207,38182,2250
Lemon Boy (Live at Hoxton Hall),2019-08-21T15:26:11Z,2221562,106998,3545
Cavetown - Feb 14,2019-08-09T04:00:05Z,901529,28628,2547
Feb 14 (Live at Hoxton Hall),2019-08-09T04:00:02Z,458799,12003,755
Music Production 4 Dummies,2019-07-25T16:41:33Z,732938,60302,2483
